;2021;2022;2023;2024;2025;LTM
Дата отчета;11.10.2024;11.10.2024;11.10.2024;24.04.2025;15.04.2026;25.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB
Продажи лекарств, млн уп;;;284.0;321.0;339.5;340.3
Выручка, млрд руб;17.7;19.0;19.7;25.6;31.6;28.9
Операционная прибыль, млрд руб;5.44;5.50;6.15;7.94;10.8;8.82
EBITDA, млрд руб;6.04;7.19;7.08;9.07;12.2;10.0
Чистая прибыль, млрд руб;3.95;3.65;4.00;4.61;6.17;4.64
Операционный денежный поток, млрд руб;2.77;-0.994;4.66;5.83;3.25;2.91
CAPEX, млрд руб;1.19;0.682;0.706;4.28;3.98;4.85
FCF, млрд руб;1.26;-1.72;3.83;1.24;-0.302;-2.24
Див.выплата, млрд руб;;;;;1.21;1.18
Дивиденд, руб/акцию;;;;;1.07;1,06
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;2.1%;2.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;20%;25%
Опер. расходы, млрд руб;3.44;2.28;2.40;3.11;3.77;3.54
Себестоимость, млрд руб;8.86;9.48;10.8;13.9;16.5;16.1
Амортизация, млрд руб;0.6;0.7;0.9;1.1;1.2;1.2
НИОКР, млрд руб;;;;0.325;0.641;0.401
Расх на персонал, млрд руб;2.08;2.42;2.76;4.22;5.20;
Процентные расходы, млрд руб;0.570;1.000;1.15;2.48;3.90;1.71
Активы, млрд руб;29.7;34.1;34.4;49.5;53.2;51.3
Чистые активы, млрд руб;12.8;14.7;16.0;25.3;33.2;30.7
Долг, млрд руб;7.91;11.4;9.26;15.5;11.8;13.1
Наличность, млрд руб;1.37;1.11;0.950;5.59;2.84;2.52
Чистый долг, млрд руб;6.53;10.3;8.31;9.94;8.98;10.6
Цена акции ао, руб;35.0;35.0;35.0;41.5;51.5;52.5
Число акций ао, млн;1 000;1 000;1 000;1 099;1 168;1 168
Free Float, %;;;;7.70%;20.0%;13.0%
Капитализация, млрд руб;35.0;35.0;35.0;45.6;60.1;61.3
EV, млрд руб;41.5;45.3;43.3;55.5;69.1;71.9
Баланс стоимость, млрд руб;12.7;14.4;15.7;18.5;23.7;30.7
EPS, руб;3.95;3.65;4.00;4.20;5.28;3.98
FCF/акцию, руб;1.26;-1.72;3.83;1.13;-0.26;-1.91
BV/акцию, руб;12.7;14.4;15.7;16.9;20.3;26.3
Рентаб EBITDA, %;34.2%;37.9%;35.9%;35.5%;38.6%;34.7%
Чистая рентаб, %;22.4%;19.3%;20.3%;18.0%;19.5%;16.1%
Доходность FCF, %;3.6%;-4.9%;10.9%;2.7%;-0.5%;-3.6%
ROE, %;30.8%;24.9%;25.1%;18.2%;18.6%;15.1%
ROA, %;13.3%;10.7%;11.6%;9.3%;11.6%;9.0%
P/E;8.87;9.58;8.74;9.88;9.74;13.2
P/FCF;27.7;-20.4;9.14;36.7;-199.0;-27.4
P/S;1.98;1.85;1.77;1.78;1.90;2.12
P/BV;2.76;2.42;2.23;2.46;2.53;2.00
EV/EBITDA;6.88;6.29;6.12;6.12;5.67;7.19
Долг/EBITDA;1.08;1.43;1.17;1.10;0.74;1.06
Персонал, чел;1 958;2 112;1 982;3 005;3 153;
Производительность труда, млн руб/чел/год;9.01;8.98;9.95;8.51;10.0;
Расходы/чел/год, тыс.р;1 060;1 145;1 391;1 404;1 648;
R&D/CAPEX, %;0.00%;0.00%;0.00%;7.59%;16.11%;8.27%
CAPEX/Выручка, %;7%;4%;4%;17%;13%;17%
Инсайдерское владение , %;;;;;37.7%;
