;2021;2022;2023;2024;2025;LTM
Дата отчета;28.06.2024;28.06.2024;28.06.2024;23.04.2025;20.04.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;13.2;13.5;15.8;21.5;37.6;27.3
Операционная прибыль, млрд руб;4.62;5.35;5.60;6.90;13.7;8.86
EBITDA, млрд руб;5.03;5.95;6.28;8.23;15.3;10.3
Чистая прибыль, млрд руб;3.38;3.97;2.97;2.88;7.04;4.25
Операционный денежный поток, млрд руб;2.04;2.96;-1.19;0.093;0.267;0.822
CAPEX, млрд руб;3.24;6.64;4.43;4.06;4.56;4.12
FCF, млрд руб;-1.35;-3.68;-5.71;-4.17;-4.64;-2.23
Див доход, ао, %;;;;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;3.88;4.16;4.41;7.28;11.4;9.05
Себестоимость, млрд руб;4.68;3.96;5.81;7.25;12.2;9.28
Амортизация, млрд руб;0.4;0.6;1.0;1.1;1.4;1.1
Расх на персонал, млрд руб;2.46;3.01;2.93;3.95;7.22;5.19
Процентные расходы, млрд руб;0.400;0.740;1.59;3.24;4.17;3.63
Активы, млрд руб;16.3;25.9;34.8;53.1;71.0;57.4
Чистые активы, млрд руб;7.00;10.3;13.0;19.3;26.3;20.7
Долг, млрд руб;4.67;11.2;16.2;20.5;25.9;22.7
Наличность, млрд руб;0.260;2.14;0.620;4.08;4.21;2.60
Чистый долг, млрд руб;4.41;9.03;15.6;16.4;21.7;20.1
Цена акции ао, руб;;;;355.3;406.0;411.5
Число акций ао, млн;;212.5;200.0;212.5;212.5;212.5
Free Float, %;;;;;7.00%;7.00%
Капитализация, млрд руб;0.00;0.00;0.00;75.5;86.3;87.4
EV, млрд руб;4.41;9.03;15.6;91.9;108.0;107.5
Баланс стоимость, млрд руб;5.28;6.65;8.24;13.9;19.0;14.8
EPS, руб;;18.7;14.9;13.5;33.1;20.0
FCF/акцию, руб;;-17.3;-28.6;-19.6;-21.8;-10.5
BV/акцию, руб;;31.3;41.2;65.2;89.3;69.8
Рентаб EBITDA, %;38.0%;44.1%;39.7%;38.4%;40.6%;37.7%
Чистая рентаб, %;25.5%;29.5%;18.8%;13.4%;18.7%;15.5%
Доходность FCF, %;;;;-5.5%;-5.4%;-2.6%
ROE, %;48.3%;38.4%;22.9%;14.9%;26.8%;20.5%
ROA, %;20.7%;15.3%;8.5%;5.4%;9.9%;7.4%
P/E;0.00;0.00;0.00;26.2;12.3;20.6
P/FCF;0.00;0.00;0.00;-18.1;-18.6;-39.2
P/S;0.00;0.00;0.00;3.52;2.30;3.20
P/BV;0.00;0.00;0.00;5.45;4.55;5.90
EV/EBITDA;0.88;1.52;2.48;11.2;7.07;10.4
Долг/EBITDA;0.88;1.52;2.48;1.99;1.42;1.95
Персонал, чел;;;;2 215;2 826;
Производительность труда, млн руб/чел/год;;;;9.68;13.3;
Расходы/чел/год, тыс.р;;;;1 781;2 553;
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;24%;49%;28%;19%;12%;15%
Див.выплата, млрд руб;;;;;;
Дивиденд, руб/акцию;;;;;;
