;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025;LTM
Дата отчета;09.07.2018;09.07.2018;;30.06.2018;04.05.2018;30.04.2019;06.05.2020;30.04.2021;;;;30.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;5.49;4.93;5.09;5.58;5.93;5.94;5.87;6.00;;;;10.7;4.16
Операционная прибыль, млрд руб;;;;;;;;;;;;1.30;0.043
EBITDA, млрд руб;0.278;0.390;0.426;0.875;1.52;1.05;0.940;1.30;;;;0.027;0.406
Чистая прибыль, млрд руб;-1.22;-6.91;-0.861;-0.476;0.566;-3.42;3.70;0.480;;;;0.442;0.202
Чистая прибыль н/с, млрд руб;;;-4.92;2.05;;;;;;;;;
Операционный денежный поток, млрд руб;;;;;;;;;;;;1.78;0.283
CAPEX, млрд руб;;;0.283;0.271;0.333;0.462;0.350;0.400;;;;0.618;0.296
FCF, млрд руб;;;;;;;;;;;;1.81;0.320
Див.выплата, млрд руб;;;0.000;0.000;;;;;;;;;
Дивиденд, руб/акцию;;;0;0;;;;;;;;;
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;;;;0%;0
Опер. расходы, млрд руб;;;;;;;;;;;;4.35;1.82
Себестоимость, млрд руб;2.76;2.75;2.64;2.63;2.93;3.04;3.20;3.10;;;;4.89;2.23
Амортизация, млрд руб;;;;;;;;;;;;0.8;0.4
Расх на персонал, млрд руб;;;1.23;1.22;1.41;1.44;1.56;1.60;;;;4.48;2.12
Процентные расходы, млрд руб;;;0.877;0.979;0.848;0.551;0.320;0.540;;;;1.44;0.602
Активы, млрд руб;;;;;;;5.27;5.60;;;14.4;16.4;14.3
Чистые активы, млрд руб;-4.51;-11.4;-16.0;-14.0;-13.4;-17.0;-13.3;-12.8;;;1.23;4.19;1.43
Долг, млрд руб;7.90;13.7;17.5;15.2;14.5;18.4;15.4;15.3;;;7.65;4.98;7.74
Наличность, млрд руб;0.428;0.214;0.522;0.678;0.593;0.682;0.690;1.50;;;3.95;4.20;2.95
Чистый долг, млрд руб;7.48;13.4;17.0;14.5;13.9;17.7;14.7;13.8;0.00;0.00;3.69;0.79;4.79
Цена акции ао, руб;;;4.70;7.68;5.77;3.88;3.44;3.47;3.73;2.59;10.7;11.4;11.4
Число акций ао, млн;365.6;365.6;365.6;365.6;365.6;365.6;365.6;365.6;365.6;365.6;365.6;365.6;365.6
Капитализация, млрд руб;0.00;0.00;1.72;2.81;2.11;1.42;1.26;1.27;1.36;0.95;3.92;4.18;4.17
EV, млрд руб;7.48;13.4;18.7;17.3;16.0;19.1;16.0;15.1;1.36;0.95;7.61;4.96;8.96
Баланс стоимость, млрд руб;-4.51;-11.4;-17.7;-15.6;-15.0;-18.5;-14.7;-14.1;0.00;0.00;-2.04;1.20;-1.68
EPS, руб;-3.34;-18.9;-2.35;-1.30;1.55;-9.35;10.1;1.31;0.00;0.00;0.00;1.21;0.55
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.96;0.88
BV/акцию, руб;-12.3;-31.2;-48.4;-42.6;-40.9;-50.6;-40.1;-38.6;0.00;0.00;-5.57;3.27;-4.58
Рентаб EBITDA, %;5.1%;7.9%;8.4%;15.7%;25.6%;17.6%;16.0%;21.7%;;;;0.3%;9.8%
Чистая рентаб, %;-22.2%;-140.0%;-16.9%;-8.5%;9.6%;-57.6%;63.0%;8.0%;;;;4.1%;4.9%
Доходность FCF, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;43.4%;7.7%
ROE, %;27.1%;60.5%;5.4%;3.4%;-4.2%;20.2%;-27.9%;-3.8%;;;0.0%;10.6%;14.1%
ROA, %;;;;;;;70.2%;8.6%;;;0.0%;2.7%;1.4%
P/E;0.00;0.00;-2.00;-5.90;3.73;-0.41;0.34;2.64;;;;9.45;20.6
P/FCF;;;;;;;;;;;;2.30;13.0
P/S;0.00;0.00;0.34;0.50;0.36;0.24;0.21;0.21;;;;0.39;1.00
P/BV;0.00;0.00;-0.10;-0.18;-0.14;-0.08;-0.09;-0.09;;;-1.92;3.49;-2.49
EV/EBITDA;26.9;34.5;43.9;19.8;10.6;18.2;17.0;11.6;;;;183.7;22.1
Долг/EBITDA;26.9;34.5;39.8;16.6;9.17;16.9;15.6;10.6;;;;29.1;11.8
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;;;0.00%;0
CAPEX/Выручка, %;0%;0%;6%;5%;6%;8%;6%;7%;;;;6%;7%
