;2019;2020;2021;2022;2023;2024;2025
Дата отчета;30.04.2021;30.04.2021;;31.03.2025;31.03.2025;30.04.2025;30.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Чистый операц доход, млрд руб;;;;2.32;2.70;2.62;2.67
Чист. проц. доходы, млрд руб;;;;1.54;1.98;1.86;1.74
Чист. комисс. доход, млрд руб;;;;0.373;0.548;0.525;0.620
Доходы по цб, млрд руб;;;;0.403;0.171;0.234;0.135
Операционная прибыль, млрд руб;;;;0.353;0.660;0.889;0.329
Чистая прибыль, млрд руб;0.159;0.245;;0.292;0.531;0.737;0.279
Див.выплата, млрд руб;0.102;0.165;0.168;0.209;0.240;;0.260
Дивиденд, руб/акцию;6,73;10,92;11,08;11;15,85;;4.75
Див доход, ао, %;1.6%;5.0%;5.5%;7.4%;9.2%;0.0%;3.9%
Дивиденд ап, руб/акцию;;0,1;;;;;
Дивиденды/прибыль, %;64%;67%;;72%;45%;0%;93%
Опер. расходы, млрд руб;;;;1.34;1.49;1.78;2.15
Создание резервов, млрд руб;;;;0.751;0.522;0.033;0.095
Наличность, млрд руб;2.78;1.93;;1.56;2.65;3.11;
Чистый долг, млрд руб;-2.78;-1.93;0.00;-1.56;-2.65;-3.11;
Активы банка, млрд руб;;;;35.9;37.9;43.0;51.3
Капитал, млрд руб;;;;2.85;3.39;3.75;4.78
Кредитный портфель, млрд руб;;;;18.0;19.5;21.8;24.1
Кредиты юрлицам, млрд руб;;;;17.3;18.4;20.6;22.9
Кредиты физлицам, млрд руб;;;;0.719;1.11;1.24;1.19
Депозиты, млрд руб;;;;31.0;30.9;33.2;44.7
Депозиты юрлиц, млрд руб;;;;17.3;16.0;16.2;19.8
Депозиты физлиц, млрд руб;;;;13.6;14.9;17.0;24.9
Резервы под обесценивание, млрд руб;;;;1.10;1.36;1.38;1.12
Дост. общ капитала, %;;;;11.9%;12.7%;11.7%;
Loan-to-deposit ratio, %;;;;58%;63%;66%;54%
Цена акции ао, руб;415.0;220.0;202.0;148.0;172.0;133.5;123.0
Число акций ао, млн;15.2;15.2;15.2;15.2;15.2;15.2;27.5
Капитализация, млрд руб;6.29;3.33;3.06;2.24;2.61;2.02;5.80
EV, млрд руб;3.51;1.40;3.06;0.69;-0.04;-1.09;5.80
EPS, руб;10.5;16.2;0.00;19.3;35.0;48.6;10.1
ROA, %;0.8%;1.0%;;;;;
Рентабельность банка, %;;;;12.6%;19.7%;28.2%;10.4%
P/E;39.6;13.6;;7.68;4.91;2.75;20.8
P/B;;;;0.79;0.77;0.54;1.21
Див доход, ап , %;;;;;;;0.0%
Расх на персонал , млрд руб;;;;;;;1.18
Цена акции ап , руб;;;;;;;2 202
Число акций ап , млн;;;;;;;1.10
Персонал , чел;;;;;;;318
Произв.труда , млн руб/чел/год;;;;;;;8.40
Расходы/чел/год , тыс.р;;;;;;;3 701
