;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;09.07.2018;09.07.2018;30.06.2018;30.06.2018;09.07.2018;30.04.2019;13.05.2020;29.04.2021;29.04.2022;28.04.2023;15.04.2024;09.04.2025;29.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Добыча меди, тыс т;;;;;;;;;;;;2.05;2.38;
Выручка, млрд руб;5.22;2.42;1.02;4.51;5.11;8.58;8.56;2.76;5.95;6.00;6.28;7.46;9.18;8.45
Операционная прибыль, млрд руб;;;;;-0.091;0.085;-0.332;-0.081;2.23;0.047;-1.06;-2.84;-3.70;-3.48
EBITDA, млрд руб;0.394;-0.002;0.038;0.226;-0.070;0.210;-0.166;0.454;2.89;1.38;1.34;0.692;1.19;0.756
Чистая прибыль, млрд руб;0.297;0.003;0.003;0.016;-0.080;-0.244;-0.400;-0.426;0.955;-0.280;-1.03;-2.37;-3.12;-2.67
Операционный денежный поток, млрд руб;;;;;-0.312;1.14;-1.15;-0.790;1.89;2.37;4.64;-2.93;-4.84;-6.11
CAPEX, млрд руб;;;0.624;0.149;0.250;0.704;1.12;1.53;1.66;2.47;3.67;4.00;3.22;3.96
FCF, млрд руб;;;;;1.34;-0.684;-1.43;-2.34;0.190;-0.111;0.820;-7.06;-8.09;-10.1
Див.выплата, млрд руб;;;;;;0.000;;;;;;;;
Дивиденд, руб/акцию;;;;;;0;;;;;;;;
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;5.06;2.38;0.861;4.13;0.000;0.400;0.586;0.650;0.614;1.60;2.08;3.81;1.66;0.709
Себестоимость, млрд руб;;;;;5.42;8.10;12.9;2.19;3.10;4.35;5.26;6.49;8.69;7.90
Амортизация, млрд руб;;;;;;;;;;0.8;1.5;1.4;2.4;1.9
Расх на персонал, млрд руб;;;0.115;0.187;0.370;0.770;0.870;1.03;1.20;2.08;2.07;3.04;3.60;3.34
Процентные расходы, млрд руб;;;;;0.303;0.310;0.442;0.374;0.396;0.363;0.205;1.28;1.92;1.18
Активы, млрд руб;;;;;8.67;10.8;11.0;13.8;15.9;20.6;24.7;34.6;37.2;36.7
Чистые активы, млрд руб;3.19;3.28;3.31;3.32;1.71;1.78;4.13;3.96;5.35;6.42;4.79;6.29;0.817;3.40
Долг, млрд руб;2.94;3.54;4.60;3.30;2.44;3.19;2.55;5.55;5.33;5.35;6.09;13.0;21.8;18.3
Наличность, млрд руб;0.001;0.009;0.002;0.005;0.287;0.317;0.084;0.250;0.170;0.191;0.980;0.435;0.096;0.089
Чистый долг, млрд руб;2.94;3.53;4.60;3.30;2.15;2.87;2.47;5.30;5.16;5.16;5.11;12.5;21.7;18.2
Цена акции ао, руб;;;1.04;3.50;3.26;2.50;4.06;7.84;8.16;7.37;1.23;0.579;0.517;0.655
Число акций ао, млн;3 000;3 000;3 000;3 000;3 000;3 000;3 000;3 000;3 000;3 000;30 000;30 000;30 000;30 000
Капитализация, млрд руб;0.00;0.00;3.12;10.5;9.78;7.50;12.2;23.5;24.5;22.1;36.9;17.4;15.5;19.6
EV, млрд руб;2.94;3.53;7.72;13.8;11.9;10.4;14.6;28.8;29.6;27.3;42.0;29.9;37.2;37.8
Баланс стоимость, млрд руб;3.19;3.28;2.61;2.62;1.71;1.78;4.13;3.96;5.35;6.42;4.79;6.29;0.81;3.40
EPS, руб;0.10;0.00;0.00;0.01;-0.03;-0.08;-0.13;-0.14;0.32;-0.09;-0.03;-0.08;-0.10;-0.09
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.45;-0.23;-0.48;-0.78;0.06;-0.04;0.03;-0.24;-0.27;-0.34
BV/акцию, руб;1.06;1.09;0.87;0.87;0.57;0.59;1.38;1.32;1.78;2.14;0.16;0.21;0.03;0.11
Рентаб EBITDA, %;7.6%;-0.1%;3.7%;5.0%;-1.4%;2.4%;-1.9%;16.4%;48.6%;23.0%;21.3%;9.3%;13.0%;8.9%
Чистая рентаб, %;5.7%;0.1%;0.3%;0.3%;-1.6%;-2.8%;-4.7%;-15.4%;16.1%;-4.7%;-16.4%;-31.8%;-33.9%;-31.5%
Доходность FCF, %;;;0.0%;0.0%;13.7%;-9.1%;-11.7%;-9.9%;0.8%;-0.5%;2.2%;-40.6%;-52.1%;-51.6%
ROE, %;9.3%;0.1%;0.1%;0.5%;-4.7%;-13.7%;-9.7%;-10.8%;17.9%;-4.4%;-21.5%;-37.7%;-381.4%;-78.4%
ROA, %;;;;;-0.9%;-2.3%;-3.6%;-3.1%;6.0%;-1.4%;-4.2%;-6.9%;-8.4%;-7.3%
P/E;0.00;0.00;1 156;677.4;-122.3;-30.7;-30.5;-55.2;25.6;-79.0;-35.8;-7.33;-4.98;-7.37
P/FCF;;;;;7.30;-11.0;-8.52;-10.1;128.8;-199.2;44.9;-2.46;-1.92;-1.94
P/S;0.00;0.00;3.07;2.33;1.91;0.87;1.42;8.52;4.11;3.69;5.87;2.33;1.69;2.32
P/BV;0.00;0.00;1.20;4.00;5.71;4.21;2.95;5.94;4.58;3.44;7.69;2.77;19.1;5.78
EV/EBITDA;7.47;-1 763;203.1;61.0;-170.5;49.4;-88.2;63.5;10.3;19.8;31.3;43.2;31.2;50.0
Долг/EBITDA;7.47;-1 763;121.0;14.6;-30.8;13.7;-14.9;11.7;1.79;3.74;3.81;18.1;18.2;24.0
Персонал, чел;;;;;;;;;895;1 058;1 098;1 259;1 234;
Производительность труда, млн руб/чел/год;;;;;;;;;6.65;5.67;5.72;5.92;7.44;
Расходы/чел/год, тыс.р;;;;;;;;;1 341;1 966;1 885;2 418;2 919;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;61%;3%;5%;8%;13%;55%;28%;41%;58%;54%;35%;47%
