;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;10.07.2018;10.07.2018;;10.07.2018;10.07.2018;30.04.2019;06.05.2020;20.05.2021;29.04.2022;19.10.2024;02.05.2024;30.04.2025;17.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;30.1;32.7;;38.0;40.4;42.8;44.0;44.0;48.6;50.0;53.7;60.1;66.9;62.8
Операционная прибыль, млрд руб;;;;;0.502;0.685;1.52;0.933;1.41;2.34;2.94;0.182;4.53;1.34
EBITDA, млрд руб;0.471;0.891;;0.289;0.502;0.685;1.52;0.933;1.41;2.39;3.00;0.284;4.67;1.46
Чистая прибыль, млрд руб;0.135;0.480;;-0.150;0.119;0.092;0.750;0.207;0.870;1.69;2.31;1.10;3.88;2.18
Операционный денежный поток, млрд руб;;;;;0.107;0.294;1.10;0.464;2.13;2.33;2.19;1.97;1.94;2.23
CAPEX, млрд руб;;;;;0.104;0.053;0.042;0.010;0.187;0.191;0.326;0.298;0.814;0.512
FCF, млрд руб;;;;;0.005;0.260;1.04;0.442;1.94;2.16;2.25;1.91;2.46;2.02
Див.выплата, млрд руб;;;;;;0.154;;;0.332;0.332;;0.950;0.806;0.000
Дивиденд, руб/акцию;;;;;;0,017;;;0,03667;0,03502;;0,10492;0.08405;0
Див доход, ао, %;;;;0.0%;0.0%;4.3%;0.0%;0.0%;5.6%;5.9%;0.0%;4.4%;2.4%;0.0%
Дивиденд ап, руб/акцию;;;;;;0,017;;;0,03667;0,05121;;0,10492;0.13284;0
Див доход, ап, %;;;;0.0%;0.0%;7.3%;0.0%;0.0%;6.9%;8.6%;0.0%;8.8%;8.7%;0.0%
Дивиденды/прибыль, %;0%;0%;;0%;0%;167%;0%;0%;38%;20%;0%;86%;21%;0
Опер. расходы, млрд руб;34.9;37.7;;44.0;47.2;49.0;49.0;48.7;54.2;55.0;58.7;66.4;73.3;68.7
Амортизация, млрд руб;;;;;;;;;;0.0;0.1;0.1;0.1;0.1
Расх на персонал, млрд руб;;;;;1.07;0.840;0.933;0.910;0.912;0.953;1.11;1.36;1.48;1.40
Процентные расходы, млрд руб;;;;;0.583;0.642;0.671;0.571;0.452;0.419;0.089;0.000;0.000;0.000
Активы, млрд руб;;;;;9.50;8.60;9.16;9.40;8.30;8.55;10.6;11.2;15.4;13.0
Чистые активы, млрд руб;0.090;0.494;;-0.436;-0.336;-1.63;-1.74;-1.48;-0.500;0.720;4.54;3.49;7.51;6.01
Долг, млрд руб;5.12;4.06;;5.20;5.20;4.95;5.14;4.94;3.00;1.55;0.000;0.000;0.000;0.000
Наличность, млрд руб;0.104;0.157;;0.310;0.250;0.197;0.390;0.620;0.643;1.000;1.39;2.88;5.35;3.79
Чистый долг, млрд руб;5.02;3.90;0.00;4.89;4.95;4.75;4.75;4.32;2.36;0.55;-1.39;-2.88;-5.35;-3.79
Цена акции ао, руб;;;;0.286;0.334;0.398;0.345;0.480;0.652;0.596;3.61;2.37;3.49;3.63
Число акций ао, млн;8 129;8 129;8 129;8 129;8 129;8 129;8 129;8 129;8 129;8 129;8 129;8 129;8 129;8 129
Цена акции ап, руб;;;;0.269;0.222;0.232;0.220;0.477;0.529;0.593;1.34;1.19;1.52;1.69
Число акций ап, млн;925.7;925.7;925.7;925.7;925.7;925.7;925.7;925.7;925.7;925.7;925.7;925.7;925.7;925.7
Капитализация, млрд руб;0.00;0.00;0.00;2.57;2.92;3.45;3.01;4.34;5.79;5.39;30.5;20.4;29.8;31.1
EV, млрд руб;5.02;3.90;0.00;7.47;7.87;8.20;7.76;8.66;8.15;5.94;29.2;17.5;24.4;27.3
Баланс стоимость, млрд руб;0.09;0.49;0.00;-0.44;-0.38;-1.66;-1.77;-1.51;-0.53;0.68;4.50;3.46;7.48;5.98
