;2025
Дата отчета;24.04.2026
Валюта отчета;RUB
Выручка, млрд руб;0.149
Чистая прибыль, млрд руб;-0.269
Опер.денежный поток, млрд руб;0.715
CAPEX, млрд руб;0.041
FCF, млрд руб;0.673
Див доход, ао, %;0.0%
Дивиденды/прибыль, %;0%
Опер. расходы, млрд руб;0.278
Амортизация, млрд руб;0.0
Расх на персонал, млрд руб;0.130
Активы, млрд руб;3.53
Чистые активы, млрд руб;3.30
Наличность, млрд руб;1.21
Чистый долг, млрд руб;-1.21
Цена акции ао, руб;66.7
Число акций ао, млн;109.0
Капитализация, млрд руб;7.27
EV, млрд руб;6.06
Баланс стоимость, млрд руб;3.21
EPS, руб;-2.47
FCF/акцию, руб;6.17
BV/акцию, руб;29.5
Рентаб EBITDA, %;0.0%
Чистая рентаб, %;-180.5%
Доходность FCF, %;9.3%
ROE, %;-8.1%
ROA, %;-7.6%
P/E;-27.0
P/FCF;10.8
P/S;48.8
P/BV;2.26
Персонал, чел;41
Произв.труда, млн руб/чел/год;3.63
Расходы/чел/год, тыс.р;3 171
R&D/CAPEX, %;0.00%
CAPEX/Выручка, %;28%
