;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;;;;20.04.2022;20.04.2022;20.04.2023;05.04.2024;07.04.2025;30.03.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;;;;10.6;11.6;12.2;13.2;13.6;15.4;14.1
Операционная прибыль, млрд руб;;;;;;;0.393;0.610;0.950;1.16;0.974;1.16;0.927
EBITDA, млрд руб;;;;;;;0.519;0.733;1.04;1.18;1.03;1.23;0.988
Чистая прибыль, млрд руб;;;;;;;0.323;0.507;0.831;0.982;0.903;0.982;0.876
Операционный денежный поток, млрд руб;;;;;;;0.435;0.572;0.678;0.836;0.774;0.883;0.708
CAPEX, млрд руб;;;;;;;0.019;0.031;0.013;0.150;0.081;0.215;0.232
FCF, млрд руб;;;;;;;0.435;0.578;0.763;0.798;0.899;0.906;0.720
Див.выплата, млрд руб;;;;0.075;0.110;0.127;0.300;0.497;0.744;0.872;0.814;;0.000
Дивиденд, руб/акцию;;;;0,36;0,53;0,615;1,45;2,4;3,5959;4,2158;3,9385;;0
Див доход, ао, %;;;0.0%;11.1%;17.4%;13.1%;14.8%;13.5%;18.9%;13.4%;13.5%;0.0%;0.0%
Дивиденды/прибыль, %;;;;;;;93%;98%;90%;89%;90%;0%;0
Опер. расходы, млрд руб;;;;;;;10.2;11.0;11.2;12.0;12.6;14.3;13.1
Амортизация, млрд руб;;;;;;;0.0;0.0;0.0;0.0;0.1;0.1;0.1
Расх на персонал, млрд руб;;;;;;;0.343;0.345;0.370;0.440;0.456;0.521;0.476
Активы, млрд руб;;;;;;;1.72;2.08;2.47;2.76;2.80;3.32;2.31
Чистые активы, млрд руб;;;;;;;0.698;0.926;1.27;1.52;1.57;1.76;1.18
Долг, млрд руб;;;;;;;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Наличность, млрд руб;;;;;;;0.688;0.973;1.24;1.30;1.33;1.42;0.698
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;-0.69;-0.97;-1.24;-1.30;-1.33;-1.42;-0.70
Цена акции ао, руб;;;2.19;3.23;3.04;4.69;9.80;17.7;19.1;31.4;29.2;34.5;39.8
Число акций ао, млн;206.9;206.9;206.9;206.9;206.9;206.9;206.9;206.9;206.9;206.9;206.9;206.9;206.9
Капитализация, млрд руб;0.00;0.00;0.45;0.67;0.63;0.97;2.03;3.67;3.94;6.50;6.04;7.14;8.24
EV, млрд руб;0.00;0.00;0.45;0.67;0.63;0.97;1.34;2.70;2.70;5.20;4.71;5.72;7.54
Баланс стоимость, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.70;0.93;1.27;1.52;1.57;1.76;1.18
EPS, руб;0.00;0.00;0.00;0.00;0.00;0.00;1.56;2.45;4.02;4.75;4.36;4.75;4.23
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;2.10;2.79;3.69;3.86;4.34;4.38;3.48
BV/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;3.37;4.47;6.14;7.35;7.60;8.49;5.70
Рентаб EBITDA, %;;;;;;;4.9%;6.3%;8.5%;9.0%;7.6%;8.0%;7.0%
Чистая рентаб, %;;;;;;;3.0%;4.4%;6.8%;7.5%;6.7%;6.4%;6.2%
Доходность FCF, %;;;0.0%;0.0%;0.0%;0.0%;21.4%;15.7%;19.3%;12.3%;14.9%;12.7%;8.7%
ROE, %;;;;;;;46.3%;54.8%;65.4%;64.6%;57.4%;55.9%;74.2%
ROA, %;;;;;;;18.8%;24.4%;33.6%;35.6%;32.3%;29.6%;37.9%
P/E;;;;;;;6.28;7.24;4.75;6.62;6.69;7.27;9.40
P/FCF;;;;;;;4.66;6.35;5.17;8.14;6.72;7.88;11.4
P/S;;;;;;;0.19;0.32;0.32;0.49;0.45;0.46;0.58
P/BV;;;;;;;2.91;3.96;3.11;4.27;3.84;4.07;6.98
EV/EBITDA;;;;;;;2.58;3.68;2.60;4.39;4.57;4.66;7.63
Долг/EBITDA;;;;;;;-1.33;-1.33;-1.19;-1.10;-1.29;-1.16;-0.71
Персонал, чел;;;;;;;467;472;449;460;442;;
Производительность труда, млн руб/чел/год;;;;;;;22.7;24.6;27.3;28.6;30.7;;
Расходы/чел/год, тыс.р;;;;;;;734.5;730.9;824.1;956.5;1 032;;
R&D/CAPEX, %;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;;;;;;;0%;0%;0%;1%;1%;1%;2%
