;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;09.07.2018;09.07.2018;09.07.2018;;;;;11.05.2022;11.05.2022;02.05.2023;03.05.2024;12.05.2025;04.05.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;40.2;38.1;34.6;;;;;39.7;39.8;40.8;44.6;47.5;52.6
Операционная прибыль, млрд руб;;;;;;;;0.750;1.08;1.10;2.00;1.71;1.53
EBITDA, млрд руб;-0.181;0.385;0.431;;;;;1.26;1.60;1.71;2.46;2.13;1.97
Чистая прибыль, млрд руб;-0.344;0.004;0.073;;;;;0.607;0.815;1.12;1.78;2.14;1.89
Операционный денежный поток, млрд руб;;;;;;;;1.08;1.24;1.57;1.40;0.173;0.526
CAPEX, млрд руб;;;;;;;;0.330;0.380;0.343;0.280;0.516;0.572
FCF, млрд руб;;;;;;;;0.860;0.880;1.52;1.48;0.546;1.09
Див.выплата, млрд руб;;;;;;0.000;;;;0.528;0.950;;
Дивиденд, руб/акцию;;;;;;0;;;;0,13;0,234;;
Див доход, ао, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;10.7%;7.8%;0.0%;0.0%
Дивиденд ап, руб/акцию;;;;;;0;;;;0,13;0,234;;
Див доход, ап, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;10.5%;7.8%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;;;;;0%;0%;47%;53%;0%;0%
Опер. расходы, млрд руб;;;;;;;;2.16;2.11;2.54;2.22;2.59;21.7
Себестоимость, млрд руб;38.8;36.1;32.3;;;;;36.8;36.6;37.1;40.1;43.1;29.5
Амортизация, млрд руб;;;;;;;;;;0.5;0.5;0.4;0.4
Расх на персонал, млрд руб;;;;;;;;0.880;0.920;1.02;1.24;1.42;1.67
Активы, млрд руб;;;;;;;8.15;8.85;9.21;10.3;11.5;13.2;15.2
Чистые активы, млрд руб;1.68;1.40;1.47;;;;4.10;4.70;5.52;6.38;7.66;8.90;9.89
Долг, млрд руб;2.80;2.99;1.88;;;;;;;;0.000;0.000;0.000
Наличность, млрд руб;0.724;0.925;0.329;;;;1.30;2.16;3.03;4.30;5.27;5.28;5.47
Чистый долг, млрд руб;2.08;2.07;1.55;0.00;0.00;0.00;-1.30;-2.16;-3.03;-4.30;-5.27;-5.28;-5.47
Цена акции ао, руб;;;;0.288;0.275;0.338;0.372;0.588;1.17;1.21;3.01;3.05;2.73
Число акций ао, млн;3 539;3 539;3 539;3 539;3 539;3 539;3 539;3 539;3 539;3 539;3 539;3 481;3 481
Цена акции ап, руб;;;;0.295;0.265;0.330;0.366;0.442;1.20;1.24;3.00;2.87;2.62
Число акций ап, млн;522.0;522.0;522.0;522.0;522.0;522.0;522.0;522.0;522.0;522.0;522.0;364.9;364.9
Капитализация, млрд руб;0.00;0.00;0.00;1.17;1.11;1.37;1.51;2.31;4.77;4.93;12.2;11.6;10.5
EV, млрд руб;2.08;2.07;1.55;1.17;1.11;1.37;0.21;0.15;1.74;0.63;6.95;6.36;4.99
Баланс стоимость, млрд руб;1.68;1.40;1.47;0.00;0.00;0.00;4.10;4.70;5.52;6.38;7.50;8.75;9.72
EPS, руб;-0.10;0.00;0.02;0.00;0.00;0.00;0.00;0.17;0.23;0.32;0.50;0.61;0.54
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.24;0.25;0.43;0.42;0.16;0.31
BV/акцию, руб;0.48;0.40;0.42;0.00;0.00;0.00;1.16;1.33;1.56;1.80;2.12;2.51;2.79
Рентаб EBITDA, %;-0.5%;1.0%;1.2%;;;;;3.2%;4.0%;4.2%;5.5%;4.5%;3.7%
Чистая рентаб, %;-0.9%;0.0%;0.2%;;;;;1.5%;2.0%;2.7%;4.0%;4.5%;3.6%
Доходность FCF, %;;;;0.0%;0.0%;0.0%;0.0%;41.3%;21.2%;35.4%;13.9%;5.2%;11.4%
ROE, %;-20.5%;0.3%;5.0%;;;;0.0%;12.9%;14.8%;17.6%;23.2%;24.0%;19.1%
ROA, %;;;;;;;0.0%;6.9%;8.8%;10.9%;15.4%;16.2%;12.4%
P/E;0.00;0.00;0.00;;;;;3.81;5.86;4.41;6.86;5.45;5.53
P/FCF;;;;;;;;2.69;5.42;3.25;8.26;21.3;9.64
P/S;0.00;0.00;0.00;;;;;0.06;0.12;0.12;0.27;0.25;0.20
P/BV;0.00;0.00;0.00;;;;0.37;0.49;0.86;0.77;1.63;1.33;1.08
EV/EBITDA;-11.5;5.37;3.59;;;;;0.12;1.09;0.37;2.82;2.99;2.53
Долг/EBITDA;-11.5;5.37;3.59;;;;;-1.71;-1.89;-2.51;-2.14;-2.49;-2.78
Персонал, чел;;;;;;;;;1 056;1 066;1 090;1 104;1 100
Производительность труда, млн руб/чел/год;;;;;;;;;37.7;38.2;40.9;43.1;47.8
Расходы/чел/год, тыс.р;;;;;;;;;871.2;956.8;1 138;1 285;1 520
R&D/CAPEX, %;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;0%;0%;0%;;;;;1%;1%;1%;1%;1%;1%
