;2018;2019;2020;2022;2023;2024;2025
Дата отчета;;;;26.03.2024;26.03.2024;31.03.2025;30.03.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;21.9;23.7;24.9;28.1
Операционная прибыль, млрд руб;;;;0.210;0.770;0.988;0.945
EBITDA, млрд руб;;;;0.270;0.861;1.10;1.10
Чистая прибыль, млрд руб;;;;0.120;0.640;0.948;0.926
Операционный денежный поток, млрд руб;;;;1.000;0.790;1.15;1.01
CAPEX, млрд руб;;;;0.138;0.196;0.205;0.367
FCF, млрд руб;;;;0.862;0.594;0.871;0.558
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Див доход, ап, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;;0%;0%;0%;0%
Опер. расходы, млрд руб;;;;21.3;23.1;24.2;27.4
Амортизация, млрд руб;;;;0.1;0.1;0.1;0.2
Расх на персонал, млрд руб;;;;0.740;0.830;0.888;1.07
Процентные расходы, млрд руб;;;;0.034;0.000;0.000;0.000
Активы, млрд руб;;;2.85;2.50;3.06;4.49;5.63
Чистые активы, млрд руб;;;-0.346;-0.006;0.640;1.59;2.51
Долг, млрд руб;;;0.687;0.000;0.000;0.000;0.000
Наличность, млрд руб;;;0.001;0.430;1.000;1.86;2.43
Чистый долг, млрд руб;0.00;0.00;0.69;-0.43;-1.00;-1.86;-2.43
Цена акции ао, руб;0.117;0.118;0.119;0.108;0.518;0.378;0.550
Число акций ао, млн;4 865;4 865;4 865;4 865;4 865;4 865;4 865
Цена акции ап, руб;0.076;0.079;0.096;0.106;0.281;0.237;0.390
Число акций ап, млн;1 493;1 493;1 493;1 493;1 493;1 493;1 493
Капитализация, млрд руб;0.68;0.69;0.72;0.68;2.94;2.19;3.26
EV, млрд руб;0.68;0.69;1.41;0.25;1.94;0.33;0.83
Баланс стоимость, млрд руб;0.00;0.00;-0.40;-0.08;0.50;1.42;2.36
EPS, руб;0.00;0.00;0.00;0.02;0.13;0.19;0.19
FCF/акцию, руб;0.00;0.00;0.00;0.18;0.12;0.18;0.11
BV/акцию, руб;0.00;0.00;-0.08;-0.02;0.10;0.29;0.48
Рентаб EBITDA, %;;;;1.2%;3.6%;4.4%;3.9%
Чистая рентаб, %;;;;0.5%;2.7%;3.8%;3.3%
Доходность FCF, %;0.0%;0.0%;0.0%;164.1%;23.6%;47.4%;20.9%
ROE, %;;;0.0%;-2 000.0%;100.0%;59.7%;36.9%
ROA, %;;;0.0%;4.8%;20.9%;21.1%;16.4%
P/E;;;;5.70;4.59;2.31;3.52
P/FCF;;;;0.79;4.95;2.52;5.84
P/S;;;;0.03;0.12;0.09;0.12
P/BV;;;-1.80;-8.66;5.88;1.54;1.38
EV/EBITDA;;;;0.94;2.25;0.30;0.76
Долг/EBITDA;;;;-1.59;-1.16;-1.69;-2.21
Персонал, чел;;;;728;705;699;
Производительность труда, млн руб/чел/год;;;;30.1;33.7;35.6;
Расходы/чел/год, тыс.р;;;;1 016;1 177;1 270;
R&D/CAPEX, %;;;;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;;;1%;1%;1%;1%
