;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;26.04.2021;26.04.2021;26.04.2021;23.04.2021;23.04.2021;31.03.2022;31.03.2023;22.03.2024;28.04.2025;16.04.2026;27.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Доля продаж на экспорт, %;;;;;;;72.0%;67.0%;67.0%;;
Выручка, млрд руб;42.8;43.7;57.9;58.5;69.0;92.4;96.9;88.5;101.9;89.2;94.2
Операционная прибыль, млрд руб;;3.95;8.56;7.99;11.2;22.4;9.00;-4.30;-4.16;-50.6;-15.5
EBITDA, млрд руб;8.40;7.20;13.2;14.0;17.4;29.3;23.2;9.28;10.0;-36.1;2.27
Чистая прибыль, млрд руб;1.70;-0.400;-0.020;4.75;-1.35;15.3;5.56;-16.7;-22.3;-88.3;-39.5
Чистая прибыль н/с, млрд руб;;;;;;15.3;5.56;;;;
Операционный денежный поток, млрд руб;;2.56;8.50;7.41;14.7;13.1;-0.010;-9.91;-12.7;-26.4;-21.2
CAPEX, млрд руб;;11.2;6.80;6.43;11.8;23.1;10.2;7.76;9.99;5.29;6.98
FCF, млрд руб;;-8.44;1.48;0.372;2.13;-30.2;-28.6;-20.0;-18.8;-30.8;-20.3
Див.выплата, млрд руб;;;1.50;3.80;4.00;16.7;;;;;
Дивиденд, руб/акцию;;;;;;1,06;;;;;
Див доход, ао, %;;;0.0%;0.0%;0.0%;9.6%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;80%;0%;109%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;7.40;11.7;11.1;12.3;17.1;20.9;25.2;29.4;28.2;28.0
Себестоимость, млрд руб;;32.3;37.7;39.4;45.5;53.0;67.0;67.6;76.7;76.9;77.2
Амортизация, млрд руб;;3.3;4.6;6.0;6.3;6.9;14.6;13.7;14.2;14.5;14.5
Расх на персонал, млрд руб;;9.40;11.2;11.5;13.5;18.8;23.8;25.2;29.0;28.3;
Процентные расходы, млрд руб;;2.69;2.42;2.65;2.10;2.55;10.5;13.6;17.1;19.1;17.2
Активы, млрд руб;;61.6;73.9;76.6;89.4;209.3;228.1;208.2;206.6;141.7;196.3
Чистые активы, млрд руб;;14.3;13.5;13.7;8.74;46.2;42.1;23.4;1.10;0.236;56.2
Долг, млрд руб;;38.2;41.5;42.5;53.3;73.7;123.8;133.2;152.4;70.1;73.9
Наличность, млрд руб;;4.76;3.00;3.20;3.70;12.6;22.9;10.7;4.64;3.01;12.6
Чистый долг, млрд руб;0.00;33.4;38.5;39.3;49.6;61.1;101.0;122.5;147.8;67.0;61.2
Цена акции ао, руб;;;7.75;7.75;8.10;11.1;4.58;3.74;1.30;1.20;1.25
Число акций ао, млн;11 940;11 940;11 940;11 940;11 940;15 690;15 690;15 690;15 690;78 450;78 450
Free Float, %;;;0.000%;0.000%;23.9%;23.9%;;;25.0%;8.00%;5.00%
Инсайдерское владение, %;;;;1.70%;2.38%;;;;;;
Капитализация, млрд руб;0.00;0.00;92.5;92.5;96.7;174.1;71.8;58.6;20.4;93.8;98.2
EV, млрд руб;0.00;33.4;131.0;131.9;146.3;235.2;172.8;181.1;168.1;160.9;159.4
Баланс стоимость, млрд руб;0.00;11.1;13.1;12.7;6.48;39.8;36.2;17.7;-4.48;-4.40;51.1
EPS, руб;0.14;-0.03;0.00;0.40;-0.11;0.97;0.35;-1.06;-1.42;-1.13;-0.50
FCF/акцию, руб;0.00;-0.71;0.12;0.03;0.18;-1.93;-1.82;-1.27;-1.20;-0.39;-0.26
BV/акцию, руб;0.00;0.93;1.10;1.07;0.54;2.53;2.31;1.13;-0.29;-0.06;0.65
Рентаб EBITDA, %;19.6%;16.5%;22.8%;23.9%;25.3%;31.6%;24.0%;10.5%;9.8%;-40.5%;2.4%
Чистая рентаб, %;4.0%;-0.9%;0.0%;8.1%;-2.0%;16.5%;5.7%;-18.9%;-21.8%;-99.0%;-41.9%
Доходность FCF, %;;;1.6%;0.4%;2.2%;-17.4%;-39.8%;-34.0%;-92.2%;-32.8%;-20.7%
ROE, %;;-2.8%;-0.1%;34.6%;-15.4%;33.1%;13.2%;-71.5%;-2 030.1%;-37 432.2%;-70.2%
ROA, %;;-0.6%;0.0%;6.2%;-1.5%;7.3%;2.4%;-8.0%;-10.8%;-62.3%;-20.1%
P/E;0.00;0.00;-4 627;19.5;-71.6;11.4;12.9;-3.51;-0.92;-1.06;-2.49
P/FCF;;0.00;62.5;248.8;45.4;-5.76;-2.51;-2.94;-1.08;-3.05;-4.84
P/S;0.00;0.00;1.60;1.58;1.40;1.88;0.74;0.66;0.20;1.05;1.04
P/BV;;0.00;7.06;7.26;14.9;4.38;1.99;3.31;-4.55;-21.3;1.92
EV/EBITDA;0.00;4.64;9.93;9.43;8.39;8.04;7.44;19.5;16.8;-4.45;70.4
Долг/EBITDA;0.00;4.64;2.92;2.81;2.84;2.09;4.35;13.2;14.8;-1.86;27.0
Персонал, чел;;;;;13 100;13 800;20 100;19 500;18 900;18 020;
Производительность труда, млн руб/чел/год;;;;;5.27;6.70;4.82;4.54;5.39;4.95;
Расходы/чел/год, тыс.р;;;;;1 027;1 361;1 184;1 294;1 536;1 569;
R&D/CAPEX, %;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;26%;12%;11%;17%;25%;11%;9%;10%;6%;7%
