;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;09.07.2018;09.07.2018;09.07.2018;09.07.2018;25.04.2019;22.04.2020;08.04.2021;11.04.2022;07.04.2023;08.04.2024;11.04.2025;10.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;7.74;8.59;9.77;8.23;8.73;9.27;9.80;10.9;12.5;14.2;15.4;18.0;16.5
Операционная прибыль, млрд руб;;;;;-0.025;2.41;1.83;-0.434;1.69;-4.83;2.60;-8.86;5.27;-7.12
EBITDA, млрд руб;;1.21;-0.187;1.49;0.407;2.77;3.38;4.56;5.72;3.58;5.51;-5.88;7.83;-4.33
Чистая прибыль, млрд руб;;0.046;-1.09;0.521;-0.374;1.69;1.16;-2.65;-0.002;-6.30;1.70;-9.60;5.40;-8.00
Операционный денежный поток, млрд руб;;;;;1.72;1.90;4.11;3.74;5.13;1.78;6.31;7.56;8.39;8.35
CAPEX, млрд руб;;;;;1.50;1.85;2.50;3.06;3.20;5.03;9.90;10.2;6.05;9.50
FCF, млрд руб;;;;;0.188;0.045;1.39;-0.686;0.230;-4.58;-7.29;-0.108;-1.96;-0.947
Див.выплата, млрд руб;;;;;;0.000;;;;;;;;
Дивиденд, руб/акцию;;;;;;0;;;;;;;;
Див доход, ао, %;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;7.93;8.41;8.93;9.85;10.2;10.6;12.3;12.4;14.5;18.0;17.2;19.3;17.5
Амортизация, млрд руб;;;;;0.4;0.6;1.6;2.0;2.2;2.1;2.9;3.0;2.6;2.8
Расх на персонал, млрд руб;;;;;3.50;3.64;3.32;3.44;3.62;4.36;4.77;5.13;5.93;5.41
Процентные расходы, млрд руб;;;;;0.215;0.130;0.026;0.134;0.151;0.341;0.675;1.62;0.000;1.27
Активы, млрд руб;;;;;7.46;11.7;33.6;32.3;38.7;28.9;36.4;35.6;40.6;37.3
Чистые активы, млрд руб;;0.623;-0.522;-0.023;-0.099;1.93;5.34;2.71;9.81;11.5;16.9;7.68;13.5;10.3
Долг, млрд руб;;4.93;3.88;3.45;3.24;3.20;3.30;3.32;2.67;5.64;8.03;13.5;15.9;14.0
Наличность, млрд руб;;0.734;0.547;0.500;0.688;1.29;2.64;1.95;3.05;2.02;0.320;1.09;1.93;0.619
Чистый долг, млрд руб;0.00;4.19;3.33;2.95;2.55;1.91;0.66;1.37;-0.38;3.62;7.71;12.4;13.9;13.4
Цена акции ао, руб;;;;;4.99;4.30;4.31;5.04;3.74;3.04;5.04;3.30;3.19;3.60
Число акций ао, млн;294.2;294.2;294.2;294.2;294.2;294.2;530.2;530.2;1 237;1 237;1 237;2 237;2 237;2 237
Капитализация, млрд руб;0.00;0.00;0.00;0.00;1.47;1.26;2.29;2.67;4.62;3.75;6.24;7.37;7.14;8.05
