;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;;;;;;;;29.04.2022;29.04.2022;28.04.2023;26.04.2024;30.04.2025;30.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;;;;;;;;19.5;21.1;22.3;24.6;27.4;32.1;29.6
Операционная прибыль, млрд руб;;;;;;;;;;;0.516;0.547;0.888;0.763;1.32;1.31;1.48
EBITDA, млрд руб;;;;;;;;;;;;0.593;0.946;0.853;1.44;1.49;1.64
Чистая прибыль, млрд руб;;;;;;;;;;;0.228;0.298;0.530;0.655;1.43;1.34;1.62
Операционный денежный поток, млрд руб;;;;;;;;;;;0.391;0.781;1.01;0.856;1.50;1.32;1.75
CAPEX, млрд руб;;;;;;;;;;;0.025;0.040;0.158;0.324;0.471;0.352;0.493
FCF, млрд руб;;;;;;;;;;;0.366;0.741;0.536;0.527;1.19;0.963;1.42
Див.выплата, млрд руб;;;;;0.013;0.000;0.006;0.006;0.007;0.008;0.016;0.022;0.044;0.350;0.123;0.928;0.123
Дивиденд, руб/акцию;;;;;;;0;0;0;0;0;0;0;0,31217;0;0.8279243;
Див доход, ао, %;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;14.8%;0.0%;21.6%;0.0%
Дивиденд ап, руб/акцию;0,06313;0,02409;0;0,0012;0,04968;0;0,022893;0,024349;0,024845;0,028747;0,0627653;0,08461;0,1695389;0,31217;0,4703035;0.8279243;
Див доход, ап, %;;;;;;;10.4%;7.4%;10.1%;8.9%;19.2%;14.1%;23.5%;12.8%;12.5%;15.4%;0.0%
Дивиденды/прибыль, %;;;;;;;;;;;7%;7%;8%;53%;9%;69%;8%
Опер. расходы, млрд руб;;;;;;;;;;;19.0;20.8;21.5;23.7;26.1;30.8;28.1
Амортизация, млрд руб;;;;;;;;;;;;0.0;0.1;0.1;0.1;0.2;0.2
Расх на персонал, млрд руб;;;;;;;;;;;;;0.612;0.790;0.831;0.881;0.891
Процентные расходы, млрд руб;;;;;;;;;;;0.135;0.093;0.070;0.087;0.156;0.147;0.172
