;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;;;;;;29.04.2022;29.04.2022;28.04.2023;26.04.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;;;;;;19.5;21.1;22.3;24.6;27.4;29.6
"Операционная прибыль, млрд руб";;;;;;;;;;;0.516;0.547;0.888;0.763;1.32;1.48
"EBITDA, млрд руб";;;;;;;;;;;;0.593;0.946;0.853;1.44;1.64
"Чистая прибыль, млрд руб";;;;;;;;;;;0.228;0.298;0.530;0.655;1.43;1.62
"Операционный денежный поток, млрд руб";;;;;;;;;;;0.391;0.781;1.01;0.856;1.50;1.75
"CAPEX, млрд руб";;;;;;;;;;;0.025;0.040;0.158;0.324;0.471;0.493
"FCF, млрд руб";;;;;;;;;;;0.366;0.741;0.536;0.527;1.19;1.42
"Див.выплата, млрд руб";;;;;0.013;0.000;0.006;0.006;0.007;0.008;0.016;0.022;0.044;0.350;0.123;0.123
"Дивиденд, руб/акцию";;;;;;;0;0;0;0;0;0;0;0,31217;0;
"Див доход, ао, %";;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;14.8%;0.0%;0.0%
"Дивиденд ап, руб/акцию";0,06313;0,02409;0;0,0012;0,04968;0;0,022893;0,024349;0,024845;0,028747;0,0627653;0,08461;0,1695389;0,31217;0,4703035;
"Див доход, ап, %";;;;;;;10.4%;7.4%;10.1%;8.9%;19.2%;14.1%;23.5%;12.8%;12.5%;0.0%
"Дивиденды/прибыль, %";;;;;;;;;;;7%;7%;8%;53%;9%;8%
"Опер. расходы, млрд руб";;;;;;;;;;;19.0;20.8;21.5;23.7;26.1;28.1
"Амортизация, млрд руб";;;;;;;;;;;;0.0;0.1;0.1;0.1;0.2
"Расх на персонал, млрд руб";;;;;;;;;;;;;0.612;0.790;0.831;0.891
"Процентные расходы, млрд руб";;;;;;;;;;;0.135;0.093;0.070;0.087;0.156;0.172
"Активы, млрд руб";;;;;;;;;;3.87;3.91;3.85;4.02;4.69;6.39;7.50
"Чистые активы, млрд руб";;;;;;;;;;0.635;0.852;1.22;1.73;2.39;3.47;4.00
"Долг, млрд руб";;;;;;;;;;1.47;1.10;0.926;0.500;0.500;0.500;0.575
"Наличность, млрд руб";;;;;;;;;;0.034;0.085;0.100;0.188;0.683;1.54;2.42
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.44;1.02;0.83;0.31;-0.18;-1.04;-1.84
"Цена акции ао, руб";;;;;;;0.359;0.319;0.243;0.355;0.523;0.691;0.763;2.11;3.37;4.91
"Число акций ао, млн";859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1;859.1
"Цена акции ап, руб";;;;;;;0.221;0.330;0.247;0.324;0.327;0.600;0.723;2.44;3.76;6.28
"Число акций ап, млн";262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1;262.1
"Free Float, %";;;;;;;;;;;;;6.25%;;;
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.36;0.27;0.39;0.54;0.75;0.84;2.45;3.88;5.86
"EV, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.36;0.27;1.83;1.55;1.58;1.16;2.27;2.84;4.02
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.64;0.85;1.22;1.73;2.39;3.46;4.00
"EPS, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.27;0.35;0.62;0.76;1.66;1.89
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.43;0.86;0.62;0.61;1.39;1.65
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.74;0.99;1.42;2.01;2.78;4.03;4.65
"Рентаб EBITDA, %";;;;;;;;;;;0.0%;2.8%;4.2%;3.5%;5.3%;5.5%
"Чистая рентаб, %";;;;;;;;;;;1.2%;1.4%;2.4%;2.7%;5.2%;5.5%
"Доходность FCF, %";;;;;;;0.0%;0.0%;0.0%;0.0%;81.5%;124.9%;81.8%;29.1%;41.2%;33.6%
"ROE, %";;;;;;;;;;0.0%;26.8%;24.4%;30.6%;27.4%;41.2%;40.6%
"ROA, %";;;;;;;;;;0.0%;5.8%;7.7%;13.2%;14.0%;22.4%;21.7%
P/E;;;;;;;;;;;2.35;2.52;1.59;3.74;2.72;3.61
P/FCF;;;;;;;;;;;1.46;1.01;1.58;4.65;3.25;4.13
P/S;;;;;;;;;;;0.03;0.04;0.04;0.10;0.14;0.20
P/BV;;;;;;;;;;0.61;0.63;0.62;0.49;1.03;1.12;1.47
EV/EBITDA;;;;;;;;;;;;2.66;1.22;2.66;1.97;2.46
Долг/EBITDA;;;;;;;;;;;;1.39;0.33;-0.21;-0.72;-1.13
"Персонал, чел";;;;;;;;;;;;;721;717;760;730
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;;31.0;34.3;36.0;40.6
"Расходы/чел/год, тыс.р";;;;;;;;;;;;;848.8;"1 102";"1 093";"1 221"
"R&D/CAPEX, %";;;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;;;;;;;0%;0%;1%;1%;2%;2%
