;2019;2020;2021;2022;2023;2024
"Дата отчета";27.03.2020;14.04.2021;;;;
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";0.241;0.319;;;;
"EBITDA, млрд руб";0.087;0.129;;;;
"Чистая прибыль, млрд руб";0.041;0.066;;;;
"CAPEX, млрд руб";0.084;0.126;;;;
"Див.выплата, млрд руб";;0.029;;0.012;0.002;0.033
"Дивиденд, руб/акцию";;0,84;;0,4707;0,6;0,1
"Див доход, ао, %";0.0%;1.1%;0.0%;2.7%;2.4%;0.6%
"Дивиденд ап, руб/акцию";;4,21;;;;4,22
"Див доход, ап, %";;;;;;18.7%
"Дивиденды/прибыль, %";0%;44%;;;;
"Себестоимость, млрд руб";0.081;0.183;;;;
"Активы, млрд руб";0.280;0.482;;;;
"Долг, млрд руб";;0.198;;;;
"Наличность, млрд руб";;0.141;;;;
"Чистый долг, млрд руб";0.00;0.06;0.00;0.00;0.00;0.00
"Цена акции ао, руб";80.0;80.0;77.6;17.5;25.0;17.3
"Число акций ао, млн";22.3;22.3;22.3;24.8;24.8;24.8
"Цена акции ап, руб";;;;;;22.6
"Число акций ап, млн";2.48;2.48;2.48;2.48;2.48;2.48
"Free Float, %";;10.0%;;;;
"Капитализация, млрд руб";1.79;1.79;1.73;0.43;0.62;0.48
"EV, млрд руб";1.79;1.84;1.73;0.43;0.62;0.48
"Баланс стоимость, млрд руб";-0.16;-0.17;0.00;0.00;0.00;0.00
"EPS, руб";1.84;2.96;0.00;0.00;0.00;0.00
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00
"BV/акцию, руб";-7.03;-7.79;0.00;0.00;0.00;0.00
"Рентаб EBITDA, %";36.1%;40.4%;;;;
"Чистая рентаб, %";17.0%;20.7%;;;;
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"ROA, %";14.6%;13.7%;;;;
P/E;43.6;27.1;;;;
P/S;7.41;5.60;;;;
P/BV;-11.4;-10.3;;;;
EV/EBITDA;20.5;14.3;;;;
Долг/EBITDA;0.00;0.44;;;;
"R&D/CAPEX, %";0.00%;0.00%;;;;
"CAPEX/Выручка, %";35%;39%;;;;
