;2022;2023;2024;2025;LTM
Дата отчета;25.03.2024;25.03.2024;28.03.2025;27.03.2026;26.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;5.88;6.17;6.50;7.48;6.86
Операционная прибыль, млрд руб;0.273;0.317;0.370;0.299;0.394
EBITDA, млрд руб;0.298;0.355;0.426;0.379;0.462
Чистая прибыль, млрд руб;0.261;0.317;0.467;0.461;0.537
Операционный денежный поток, млрд руб;0.286;0.407;0.537;0.276;0.532
CAPEX, млрд руб;0.085;0.093;0.087;0.137;0.086
FCF, млрд руб;0.202;0.312;0.443;0.456;0.509
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%
Див доход, ап, %;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0
Опер. расходы, млрд руб;5.73;5.85;6.24;7.26;6.59
Амортизация, млрд руб;0.0;0.0;0.1;0.1;0.1
Расх на персонал, млрд руб;0.318;0.331;0.406;0.450;0.405
Активы, млрд руб;1.62;1.95;2.43;3.06;2.53
Чистые активы, млрд руб;0.805;1.13;1.60;2.06;1.82
Наличность, млрд руб;0.803;1.12;1.56;2.02;1.64
Чистый долг, млрд руб;-0.80;-1.12;-1.56;-2.02;-1.64
Цена акции ао, руб;0.475;1.72;1.28;1.31;1.69
Число акций ао, млн;1 526;1 526;1 526;1 526;1 526
Цена акции ап, руб;0.360;0.940;0.746;0.924;1.06
Число акций ап, млн;218.0;218.0;218.0;218.0;218.0
Капитализация, млрд руб;0.80;2.82;2.12;2.20;2.80
EV, млрд руб;0.00;1.71;0.56;0.18;1.16
Баланс стоимость, млрд руб;0.77;1.07;1.53;2.01;1.77
EPS, руб;0.17;0.21;0.31;0.30;0.35
FCF/акцию, руб;0.13;0.20;0.29;0.30;0.33
BV/акцию, руб;0.51;0.70;1.01;1.32;1.16
Рентаб EBITDA, %;5.1%;5.8%;6.6%;5.1%;6.7%
Чистая рентаб, %;4.4%;5.1%;7.2%;6.2%;7.8%
Доходность FCF, %;27.9%;11.9%;22.6%;22.8%;19.8%
ROE, %;32.4%;28.2%;29.3%;22.4%;29.5%
ROA, %;16.1%;16.2%;19.2%;15.1%;21.2%
P/E;3.07;8.91;4.54;4.77;5.22
P/FCF;3.97;9.05;4.79;4.83;5.51
P/S;0.14;0.46;0.33;0.29;0.41
P/BV;1.04;2.63;1.38;1.09;1.58
EV/EBITDA;0.00;4.81;1.33;0.48;2.51
Долг/EBITDA;-2.69;-3.14;-3.65;-5.32;-3.55
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;1%;2%;1%;2%;1%
Персонал, чел;;;;278;
Произв.труда, млн руб/чел/год;;;;26.9;
Расходы/чел/год, тыс.р;;;;1 619;
