;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;01.09.2022;01.09.2022;01.09.2022;01.09.2022;01.09.2022;01.07.2018;01.07.2018;02.05.2018;01.07.2017;04.05.2018;14.03.2019;12.03.2020;11.03.2021;11.03.2022;04.08.2023;16.05.2024;23.06.2025;29.05.2026;09.11.2023
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;6.28;6.35;6.28;6.84;6.87;7.24;7.16;7.06;6.85;6.95;6.95;6.92;6.93;6.89;6.91;6.94;6.94;6.93;6.93
Установл. тепл. мощность, Гкал/ч;;;15.0;15.0;14 368;14 616;14 497;14 234;14 152;14 142;14 298;13 646;13 745;13 485;13 481;13 521;13 569;12 434;12 331;12 331;12 331
Выработка электроэнергии, ТВт*ч;;;26.9;26.8;27.2;28.4;30.4;29.3;26.4;25.8;27.7;29.5;29.3;28.3;27.9;30.1;29.8;29.7;29.7;29.7;29.7
Ср. цена реализации э/э, руб/кВт*ч;;;;;;;;;;940.3;940.5;0.957;1.03;1.09;0.946;1.21;;;;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;28.2;30.7;32.0;33.0;35.0;33.7;29.5;29.0;30.6;32.6;32.6;31.0;30.3;33.5;34.5;33.0;31.9;31.7;
Отпуск тепл.энергии, млн Гкал;;;25.3;25.7;28.0;26.3;26.7;25.7;24.5;23.0;24.4;24.9;24.9;24.2;23.2;26.1;25.7;25.1;25.5;24.8;24.8
Реализация мощности, ГВт;;;;;;;;;;3.49;5.39;5.42;5.50;5.39;5.37;5.48;5.56;5.55;5.61;5.66;
КИУМ, %;;;48.9%;48.5%;49.3%;48.1%;49.6%;46.1%;41.7%;41.5%;45.7%;48.5%;48.2%;46.6%;45.9%;49.9%;49.2%;49.0%;48.8%;49.0%;
Выручка, млрд руб;;;33.6;41.4;50.5;60.3;62.2;69.9;69.0;69.4;78.9;89.4;92.5;97.3;88.9;102.3;;;;125.0;72.5
Операционная прибыль, млрд руб;;;;;8.38;7.02;9.88;9.89;6.50;10.0;8.60;12.0;12.9;12.2;10.8;9.51;;;;5.89;6.40
EBITDA, млрд руб;;;;;11.8;11.8;15.5;16.3;13.2;17.2;16.3;20.4;20.9;22.5;21.9;21.2;;;;16.3;14.7
Чистая прибыль, млрд руб;;;1.10;8.50;6.50;3.90;6.26;6.77;3.98;5.92;5.45;7.48;10.3;7.99;8.25;7.11;6.71;;;1.58;7.24
Операционный денежный поток, млрд руб;;;;;;;;;;;14.2;17.2;18.3;22.2;21.3;17.9;;;;5.19;11.3
CAPEX, млрд руб;;;;;;;;;8.28;9.63;9.22;9.52;11.4;13.6;13.9;17.1;;;;13.8;12.4
FCF, млрд руб;;;;;;;;;;;5.20;7.24;7.20;7.10;5.88;-0.767;;;;-1.47;-0.600
Див.выплата, млрд руб;0.302;0.083;0.000;0.168;0.180;0.188;0.470;0.644;0.869;0.936;1.33;1.89;2.49;4.00;4.13;0.000;;;3.19;;
Дивиденд, руб/акцию;0,000103369;0,00002839307;0;0,0000436687;0,000046791;0,000048741;0,000121805;0,000166988;0,000225403;0,000243004;0,000345336;0,0004898;0,00064;0,001;0,001;0;;;0,00083;;
Див доход, ао, %;;0.1%;0.0%;0.3%;0.2%;0.5%;1.8%;2.5%;5.0%;5.8%;2.3%;4.1%;8.0%;7.8%;8.9%;0.0%;0.0%;0.0%;10.9%;0.0%;0.0%
Дивиденды/прибыль, %;;;0%;2%;3%;5%;8%;10%;22%;16%;24%;25%;24%;50%;50%;0%;0%;;;0%;0
Опер. расходы, млрд руб;;;;;42.1;53.2;52.3;60.0;60.7;61.0;70.3;75.4;77.4;85.6;76.9;93.0;;;;119.9;65.9
Себестоимость, млрд руб;;;;;;;;;;;;;;;;;;;;;8.29
Расх на персонал, млрд руб;;;;;;;;;;0.349;5.15;5.40;8.07;9.07;9.93;10.2;;;;15.0;8.95
Процентные расходы, млрд руб;;;;;;;;;2.63;2.55;2.39;1.79;1.02;1.68;1.17;1.22;;;;6.12;1.73
Активы, млрд руб;;;;;;;;;;154.9;159.8;163.8;167.9;182.5;190.8;194.7;207.2;;;199.8;202.4
Чистые активы, млрд руб;;;;;;;;88.8;92.1;97.2;101.7;107.8;115.9;122.8;128.3;132.0;138.7;;;132.0;142.8
Долг, млрд руб;;;;;;;;32.7;40.2;29.8;27.2;24.7;19.1;17.3;17.3;17.3;22.9;;;35.9;16.7
Наличность, млрд руб;;;;;;;;0.243;2.27;1.70;3.36;6.98;6.87;10.9;15.9;13.5;13.7;;;0.525;7.00
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.5;37.9;28.1;23.8;17.7;12.2;6.37;1.40;3.75;9.15;0.00;0.00;35.4;9.70
Цена акции ао, руб;;0.032;0.003;0.017;0.022;0.009;0.007;0.007;0.005;0.004;0.015;0.012;0.008;0.013;0.011;0.010;0.007;0.009;0.008;0.007;0.008
