;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;;;;;07.02.2024;10.07.2018;01.07.2018;28.04.2018;28.04.2018;30.04.2019;29.04.2020;30.04.2021;29.04.2022;02.05.2023;02.05.2024;31.03.2025;;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
Установленная мощность, ГВт;;;;;;;;;;;2.56;2.56;;;;;2.23;2.23;2.23;;
Установл. тепл. мощность, Гкал/ч;;;;;;;;;;;9 236;9 236;;;;;8.69;8.54;8.00;;
Выработка электроэнергии, ТВт*ч;;;;;;;;;;;;;;;8.39;9.12;8.82;8.54;8.79;;
Отпуск тепл.энергии, млн Гкал;;;;;;;;;;;;;;;13.8;16.0;15.3;14.9;14.9;;
Выручка, млрд руб;;;;;;;;29.7;30.2;31.2;33.9;36.6;37.7;41.6;43.9;47.0;47.4;52.1;56.7;;60.8
Операционная прибыль, млрд руб;;;;;;;;;;;;2.92;3.42;6.00;0.503;-0.381;2.67;0.730;1.43;;1.05
EBITDA, млрд руб;;;;;;;;2.91;2.16;3.37;4.13;6.38;6.11;8.85;3.70;3.33;5.10;3.95;4.10;;3.38
Чистая прибыль, млрд руб;;;;;;;;-1.23;-2.71;-3.25;-0.446;4.94;2.50;2.10;-1.24;-3.10;0.800;-15.5;-3.48;;-0.589
Операционный денежный поток, млрд руб;;;;;;;;;;;;6.86;-0.450;6.46;8.23;7.26;2.06;11.9;12.4;;9.19
CAPEX, млрд руб;;;;;;;;;;;;0.629;2.09;1.50;1.57;1.73;1.05;1.48;1.99;;2.34
FCF, млрд руб;;;;;;;;;;;;4.25;-3.84;2.61;4.10;3.63;-0.910;1.18;7.77;;3.96
Див.выплата, млрд руб;;;;;;;;;;0.000;0.000;0.000;0.000;;;;;;;;
Дивиденд, руб/акцию;;;;;;;;;;0;0;0;0;;;;;;;;
Див доход, ао, %;;;;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%
Дивиденд ап, руб/акцию;;;;;;;;;;0;0;0;0;;;;;;;;
Див доход, ап, %;;;;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%
Дивиденды/прибыль, %;;;;;;;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;0
Опер. расходы, млрд руб;;;;;;;;29.6;29.3;29.3;31.8;31.5;33.6;37.5;43.6;47.4;46.2;51.2;52.8;;57.2
Амортизация, млрд руб;;;;;;;;;;;;;;;;;2.4;3.2;2.7;;2.3
Расх на персонал, млрд руб;;;;;;;;;;;3.60;3.87;4.11;5.40;6.50;6.19;6.25;6.73;7.40;;7.82
Процентные расходы, млрд руб;;;;;;;;;;2.45;2.10;1.59;1.68;1.72;1.59;1.41;1.78;1.96;2.54;;2.83
Активы, млрд руб;;;;;;;;;;51.3;54.3;56.3;54.8;66.6;73.0;75.4;82.9;59.2;49.2;;46.8
Чистые активы, млрд руб;;;;;;;;14.2;12.5;9.98;10.5;15.4;11.2;17.6;27.7;31.0;37.9;19.6;7.88;;10.7
Долг, млрд руб;;;;;;;;16.6;15.8;15.6;14.6;12.8;17.5;16.1;13.2;10.2;12.3;11.8;13.8;;13.3
Наличность, млрд руб;;;;;;;;0.195;0.090;0.070;0.114;0.193;0.175;0.380;0.270;0.711;0.690;0.940;1.67;;0.953
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.4;15.7;15.5;14.5;12.6;17.4;15.7;12.9;9.51;11.6;10.8;12.2;;12.4
Цена акции ао, руб;;;;;;;;;;0.001;0.002;0.004;0.002;0.002;0.004;0.004;0.004;0.010;0.007;;0.008
Число акций ао, млн;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;1 458 405;;1 458 405
Цена акции ап, руб;;;;;;;;;;0.003;0.003;0.007;0.004;0.004;0.007;0.007;0.005;0.013;0.011;;0.010
Число акций ап, млн;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;16 501;;16 501
Free Float, %;;;;;;;;;;;;;;;;;;17.0%;16.6%;;
Капитализация, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.79;3.20;5.91;3.49;3.54;5.77;6.18;5.29;14.4;9.66;;11.4
EV, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.4;15.7;17.3;17.7;18.5;20.8;19.2;18.7;15.7;16.9;25.2;21.8;;23.8
Баланс стоимость, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.2;12.5;9.72;10.3;15.2;11.0;17.1;27.0;30.1;37.0;19.2;7.51;;10.3
EPS, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;0.00;;0.00
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;;0.00
BV/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.03;0.01;0.01;;0.01
Рентаб EBITDA, %;;;;;;;;9.8%;7.2%;10.8%;12.2%;17.5%;16.2%;21.3%;8.4%;7.1%;10.8%;7.6%;7.2%;;5.6%
Чистая рентаб, %;;;;;;;;-4.1%;-9.0%;-10.4%;-1.3%;13.5%;6.6%;5.0%;-2.8%;-6.6%;1.7%;-29.7%;-6.1%;;-1.0%
Доходность FCF, %;;;;;;;;;;0.0%;0.0%;73.2%;-112.0%;75.0%;72.5%;59.8%;-17.5%;8.3%;82.0%;;35.3%
ROE, %;;;;;;;;-8.7%;-21.7%;-32.5%;-4.2%;32.0%;22.3%;11.9%;-4.5%;-10.0%;2.1%;-78.9%;-44.2%;;-5.5%
ROA, %;;;;;;;;;;-6.3%;-0.8%;8.8%;4.6%;3.2%;-1.7%;-4.1%;1.0%;-26.2%;-7.1%;;-1.3%
P/E;;;;;;;;0.00;0.00;-0.55;-7.17;1.20;1.39;1.68;-4.65;-1.99;6.61;-0.93;-2.78;;-19.3
P/FCF;;;;;;;;;;;;1.39;-0.91;1.36;1.41;1.70;-5.81;12.2;1.24;;2.87
P/S;;;;;;;;0.00;0.00;0.06;0.09;0.16;0.09;0.09;0.13;0.13;0.11;0.28;0.17;;0.19
P/BV;;;;;;;;0.00;0.00;0.18;0.31;0.39;0.32;0.21;0.21;0.21;0.14;0.75;1.29;;1.10
EV/EBITDA;;;;;;;;5.63;7.27;5.14;4.28;2.90;3.41;2.17;5.05;4.71;3.31;6.38;5.32;;7.02
Долг/EBITDA;;;;;;;;5.63;7.27;4.61;3.51;1.98;2.84;1.78;3.49;2.86;2.28;2.74;2.97;;3.66
Персонал, чел;;;;;;;;;;4 259;4 413;4 278;4 140;4 907;980;4 829;4 620;;;;
Производительность труда, млн руб/чел/год;;;;;;;;;;7.33;7.68;8.54;9.11;8.48;44.8;9.73;10.3;;;;
Расходы/чел/год, тыс.р;;;;;;;;;;0.00;816.2;903.5;992.8;1 100;6 633;1 282;1 353;;;;
R&D/CAPEX, %;;;;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
Цена/мощность, руб/кВт;;;;;;;;;;;6 908;7 239;;;;;7 588;11 324;9 799;;
CAPEX/Выручка, %;;;;;;;;0%;0%;0%;0%;2%;6%;4%;4%;4%;2%;3%;4%;;4%
Дата отчета, 29.04.2022;;;;;;;;;;;;;;;;;;;;30.03.2026;
Валюта отчета, RUB;;;;;;;;;;;;;;;;;;;;RUB;
Установленная мощность , ГВт, 2.23;;;;;;;;;;;;;;;;;;;;;
Установл. тепл. мощность , Гкал/ч, 9.00;;;;;;;;;;;;;;;;;;;;;
Выработка электроэнергии , ТВт*ч, 9.12;;;;;;;;;;;;;;;;;;;;;
Отпуск тепл.энергии , млн Гкал, 16.0;;;;;;;;;;;;;;;;;;;;;
Выручка , млрд руб, 47.0;;;;;;;;;;;;;;;;;;;;65.0;
Операционная прибыль , млрд руб, -0.381;;;;;;;;;;;;;;;;;;;;-2.04;
EBITDA , млрд руб, 3.33;;;;;;;;;;;;;;;;;;;;0.182;
Чистая прибыль , млрд руб, -3.10;;;;;;;;;;;;;;;;;;;;3.58;
Опер.денежный поток , млрд руб, 7.26;;;;;;;;;;;;;;;;;;;;17.0;
CAPEX , млрд руб, 1.73;;;;;;;;;;;;;;;;;;;;3.07;
FCF , млрд руб, 3.63;;;;;;;;;;;;;;;;;;;;17.2;
Див доход, ао , %, 0.0%;;;;;;;;;;;;;;;;;;;;0.0%;
Див доход, ап , %, 0.0%;;;;;;;;;;;;;;;;;;;;0.0%;
Дивиденды/прибыль , %, 0%;;;;;;;;;;;;;;;;;;;;0;
Опер. расходы , млрд руб, 47.4;;;;;;;;;;;;;;;;;;;;63.7;
Амортизация , млрд руб, 2.4;;;;;;;;;;;;;;;;;;;;2.2;
Расх на персонал , млрд руб, 6.19;;;;;;;;;;;;;;;;;;;;8.36;
Процентные расходы , млрд руб, 1.41;;;;;;;;;;;;;;;;;;;;2.81;
Активы , млрд руб, 75.4;;;;;;;;;;;;;;;;;;;;67.5;
Чистые активы , млрд руб, 31.0;;;;;;;;;;;;;;;;;;;;20.6;
Долг , млрд руб, 10.2;;;;;;;;;;;;;;;;;;;;13.0;
Наличность , млрд руб, 0.711;;;;;;;;;;;;;;;;;;;;5.66;
Чистый долг , млрд руб, 9.51;;;;;;;;;;;;;;;;;;;;7.37;
Цена акции ао , руб, 0.004;;;;;;;;;;;;;;;;;;;;0.007;
Число акций ао , млн, 1 458 405;;;;;;;;;;;;;;;;;;;;1 458 405;
Цена акции ап , руб, 0.007;;;;;;;;;;;;;;;;;;;;0.010;
Число акций ап , млн, 16 501;;;;;;;;;;;;;;;;;;;;16 501;
Капитализация , млрд руб, 6.18;;;;;;;;;;;;;;;;;;;;9.83;
EV , млрд руб, 15.7;;;;;;;;;;;;;;;;;;;;17.2;
Баланс стоимость , млрд руб, 30.1;;;;;;;;;;;;;;;;;;;;20.3;
EPS , руб, 0.00;;;;;;;;;;;;;;;;;;;;0.00;
FCF/акцию , руб, 0.00;;;;;;;;;;;;;;;;;;;;0.01;
BV/акцию , руб, 0.02;;;;;;;;;;;;;;;;;;;;0.01;
Рентаб EBITDA , %, 7.1%;;;;;;;;;;;;;;;;;;;;0.3%;
Чистая рентаб , %, -6.6%;;;;;;;;;;;;;;;;;;;;5.5%;
Доходность FCF , %, 59.8%;;;;;;;;;;;;;;;;;;;;177.8%;
ROE , %, -10.0%;;;;;;;;;;;;;;;;;;;;17.4%;
ROA , %, -4.1%;;;;;;;;;;;;;;;;;;;;5.3%;
P/E, -1.99;;;;;;;;;;;;;;;;;;;;2.75;
P/FCF, 1.70;;;;;;;;;;;;;;;;;;;;0.57;
P/S, 0.13;;;;;;;;;;;;;;;;;;;;0.15;
P/BV, 0.21;;;;;;;;;;;;;;;;;;;;0.48;
EV/EBITDA, 4.71;;;;;;;;;;;;;;;;;;;;94.5;
Долг/EBITDA, 2.86;;;;;;;;;;;;;;;;;;;;40.5;
R&D/CAPEX , %, 0.00%;;;;;;;;;;;;;;;;;;;;0;
Цена/мощность , руб/кВт, 7 588;;;;;;;;;;;;;;;;;;;;;
CAPEX/Выручка , %, 4%;;;;;;;;;;;;;;;;;;;;5%;
