;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;10.07.2018;10.07.2018;01.07.2018;01.07.2018;04.05.2018;03.04.2019;31.03.2020;31.03.2021;18.04.2022;10.04.2023;04.04.2024;02.04.2025;13.04.2026;01.09.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;;0.650;0.650;0.650;0.650;0.650;0.650;0.650;0.650;0.650;;0.650
Установл. тепл. мощность, Гкал/ч;;;;;3 121;3 121;3 125;3 125;3 131;3 121;3 121;3 986;;3 986
Выработка электроэнергии, ТВт*ч;;;;;2.72;2.85;2.78;2.70;2.78;3.00;3.13;3.47;;1.67
Выручка, млрд руб;10.8;11.3;11.7;12.4;12.6;13.1;12.8;12.8;13.0;14.4;17.8;19.3;21.6;20.7
Операционная прибыль, млрд руб;;;;;0.715;0.290;0.510;0.593;0.376;0.970;2.19;2.74;1.73;2.78
EBITDA, млрд руб;0.227;1.23;1.66;2.82;1.60;1.55;1.75;1.85;1.43;1.93;3.00;3.78;3.10;3.78
Чистая прибыль, млрд руб;-1.47;0.143;0.546;1.75;0.393;0.032;0.297;0.317;0.127;0.560;1.65;1.76;0.238;1.52
Операционный денежный поток, млрд руб;;;;;1.41;1.43;1.89;1.81;1.59;3.15;4.83;4.22;1.59;3.24
CAPEX, млрд руб;;;0.765;0.912;1.07;0.918;1.42;0.987;1.18;1.11;1.79;3.73;5.08;5.81
FCF, млрд руб;;;;;0.274;0.510;0.410;0.776;0.364;2.05;3.60;0.970;-1.95;-1.39
Див.выплата, млрд руб;;;;;0.000;;;;;0.670;1.75;1.55;;0.935
Дивиденд, руб/акцию;;;;;0;;;;;0,00049;0,00128;0,00114464;;0,0006
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;19.6%;11.1%;16.1%;0.0%;8.1%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;120%;106%;88%;0%;61%
Опер. расходы, млрд руб;;;;;11.9;12.8;12.3;12.2;12.7;13.4;14.8;16.6;19.9;17.9
Амортизация, млрд руб;;;;;;;;;;0.9;0.9;1.1;1.4;1.2
Расх на персонал, млрд руб;;;3.48;3.40;3.63;3.86;3.63;3.83;3.89;4.30;4.44;4.80;5.12;4.98
Процентные расходы, млрд руб;;;0.402;0.314;0.348;0.210;0.180;0.170;0.130;0.150;0.560;1.12;2.97;1.72
Активы, млрд руб;;;;;11.9;12.8;12.1;12.2;12.5;13.4;21.6;23.8;34.0;35.1
Чистые активы, млрд руб;2.74;2.95;3.49;5.21;5.59;5.93;6.20;6.54;6.72;4.36;7.66;7.10;6.42;6.57
Долг, млрд руб;3.72;2.50;3.54;3.31;3.71;2.67;2.78;2.19;2.07;4.57;8.28;9.62;19.7;22.3
Наличность, млрд руб;0.231;0.608;0.316;0.244;0.909;0.384;0.362;0.620;0.900;0.530;5.00;3.76;8.20;11.4
Чистый долг, млрд руб;3.49;1.89;3.23;3.07;2.80;2.29;2.42;1.57;1.17;4.04;3.28;5.86;11.5;10.9
Цена акции ао, руб;;;0.001;0.004;0.005;0.005;0.004;0.003;0.003;0.003;0.011;0.007;0.005;0.007
Число акций ао, млн;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946;1 357 946
Free Float, %;;;;;;;;;;;7.00%;24.4%;9.00%;9.00%
Капитализация, млрд руб;0.00;0.00;1.58;5.01;7.07;6.95;5.58;4.03;3.52;3.39;15.6;9.63;7.25;10.0
EV, млрд руб;3.49;1.89;4.81;8.08;9.87;9.24;8.00;5.60;4.69;7.43;18.9;15.5;18.7;20.9
Баланс стоимость, млрд руб;2.74;2.95;3.49;5.21;5.59;5.90;6.17;6.50;6.58;4.24;6.97;6.44;5.71;5.93
EPS, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
BV/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00
Рентаб EBITDA, %;2.1%;10.8%;14.2%;22.7%;12.7%;11.8%;13.6%;14.5%;11.0%;13.4%;16.9%;19.6%;14.3%;18.3%
Чистая рентаб, %;-13.7%;1.3%;4.7%;14.1%;3.1%;0.2%;2.3%;2.5%;1.0%;3.9%;9.3%;9.1%;1.1%;7.4%
Доходность FCF, %;;;0.0%;0.0%;3.9%;7.3%;7.3%;19.2%;10.3%;60.4%;23.1%;10.1%;-26.9%;-13.9%
ROE, %;-53.8%;4.8%;15.7%;33.6%;7.0%;0.5%;4.8%;4.8%;1.9%;12.8%;21.5%;24.8%;3.7%;23.2%
ROA, %;;;;;3.3%;0.2%;2.5%;2.6%;1.0%;4.2%;7.6%;7.4%;0.7%;4.3%
P/E;0.00;0.00;2.90;2.86;18.0;217.3;18.8;12.7;27.7;6.06;9.46;5.47;30.5;6.57
P/FCF;;;;;25.8;13.6;13.6;5.20;9.66;1.66;4.33;9.93;-3.72;-7.21
P/S;0.00;0.00;0.14;0.40;0.56;0.53;0.43;0.32;0.27;0.24;0.88;0.50;0.34;0.48
P/BV;0.00;0.00;0.45;0.96;1.26;1.18;0.90;0.62;0.53;0.80;2.24;1.50;1.27;1.69
EV/EBITDA;15.4;1.54;2.90;2.87;6.16;5.96;4.57;3.03;3.28;3.85;6.29;4.10;6.04;5.52
Долг/EBITDA;15.4;1.54;1.95;1.09;1.75;1.48;1.38;0.85;0.82;2.09;1.09;1.55;3.70;2.87
Персонал, чел;;;;;;;;;;4 702;4 530;3 978;;
Производительность труда, млн руб/чел/год;;;;;;;;;;3.05;3.92;4.85;;
Расходы/чел/год, тыс.р;;;;;;;;;;914.5;980.1;1 207;;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
Цена/мощность, руб/кВт;;;;12 430;15 189;14 218;12 309;8 620;7 211;11 438;29 050;23 827;;32 105
CAPEX/Выручка, %;0%;0%;7%;7%;8%;7%;11%;8%;9%;8%;10%;19%;23%;28%
