;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;10.07.2018;10.07.2018;01.07.2018;01.07.2018;10.07.2018;30.04.2019;04.05.2020;20.05.2021;29.04.2022;02.05.2024;02.05.2024;30.04.2025;17.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;102.5;150.2;179.5;195.3;212.3;222.7;231.8;236.3;256.6;265.0;282.2;307.9;347.8;323.9
Операционная прибыль, млрд руб;;;;;2.67;5.67;5.74;-2.30;7.90;10.2;11.6;13.1;24.8;13.9
EBITDA, млрд руб;6.41;9.25;5.71;3.84;3.14;6.43;6.35;-1.65;8.71;10.8;12.1;13.8;25.7;14.6
Чистая прибыль, млрд руб;4.17;3.96;1.95;0.767;-0.477;0.518;1.37;-3.96;3.39;5.00;9.37;10.6;19.2;11.6
Операционный денежный поток, млрд руб;;;;;-2.55;0.295;-0.242;2.68;5.75;8.83;13.2;9.81;13.2;11.4
CAPEX, млрд руб;;;0.726;0.595;0.570;0.900;0.700;0.630;1.23;1.04;1.46;1.86;3.36;2.45
FCF, млрд руб;;;;;-2.52;-0.484;-0.852;2.21;4.80;8.29;13.1;12.1;15.6;14.4
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;112.9;165.1;199.1;218.9;239.8;247.4;254.8;257.9;278.3;284.0;300.8;328.7;371.0;343.7
Амортизация, млрд руб;;;;;;;;;;0.6;0.5;0.7;0.9;0.7
Расх на персонал, млрд руб;;;;;6.42;6.23;6.58;6.33;5.70;6.22;7.28;8.63;9.56;8.76
Процентные расходы, млрд руб;;;;;3.00;4.12;4.11;3.54;3.26;3.29;2.26;1.23;0.098;0.679
Активы, млрд руб;;;;;68.7;72.7;76.7;79.4;74.3;73.7;75.4;81.5;104.0;84.7
Чистые активы, млрд руб;2.88;7.24;8.64;6.86;5.43;3.82;2.34;-1.66;0.324;2.10;9.00;20.6;39.6;30.2
Долг, млрд руб;16.7;19.3;19.8;21.7;22.7;24.3;1.55;0.042;0.022;12.6;7.31;1.04;0.254;0.040
Наличность, млрд руб;0.446;2.98;1.78;2.58;1.95;1.31;1.43;4.84;2.64;3.39;9.28;17.6;32.2;21.7
Чистый долг, млрд руб;16.3;16.3;18.0;19.1;20.7;23.0;0.12;-4.80;-2.62;9.19;-1.97;-16.6;-31.9;-21.6
Цена акции ао, руб;;;1 495;1 520;1 270;1 245;1 000;1 005;910.0;600.0;3 365;2 315;3 625;3 680
Число акций ао, млн;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7
Free Float, %;;;;16.1%;;;;;;;;;;
Капитализация, млрд руб;0.00;0.00;20.4;20.8;17.4;17.0;13.7;13.7;12.4;8.20;46.0;31.6;49.5;50.3
EV, млрд руб;16.3;16.3;38.5;39.9;38.1;40.0;13.8;8.94;9.82;17.4;44.0;15.1;17.7;28.7
Баланс стоимость, млрд руб;2.88;7.24;-11.7;-13.5;-15.2;-16.8;-18.2;-22.2;-20.0;-17.4;-11.6;-0.02;19.0;9.66
EPS, руб;304.8;290.0;142.4;56.1;-34.9;37.9;100.2;-289.7;248.0;365.8;685.5;777.7;1 402;851.5
FCF/акцию, руб;0.00;0.00;0.00;0.00;-184.4;-35.4;-62.3;161.7;351.2;606.5;958.4;881.6;1 144;1 050
BV/акцию, руб;210.6;529.9;-853.2;-987.5;-1 110;-1 226;-1 334;-1 626;-1 462;-1 272;-848.3;-1.39;1 387;706.5
Рентаб EBITDA, %;6.3%;6.2%;3.2%;2.0%;1.5%;2.9%;2.7%;-0.7%;3.4%;4.1%;4.3%;4.5%;7.4%;4.5%
Чистая рентаб, %;4.1%;2.6%;1.1%;0.4%;-0.2%;0.2%;0.6%;-1.7%;1.3%;1.9%;3.3%;3.5%;5.5%;3.6%
Доходность FCF, %;;;0.0%;0.0%;-14.5%;-2.8%;-6.2%;16.1%;38.6%;101.1%;28.5%;38.1%;31.5%;28.5%
ROE, %;144.7%;54.7%;22.5%;11.2%;-8.8%;13.6%;58.5%;238.6%;1 046.3%;238.1%;104.1%;51.7%;48.4%;38.5%
ROA, %;;;;;-0.7%;0.7%;1.8%;-5.0%;4.6%;6.8%;12.4%;13.0%;18.4%;13.7%
P/E;0.00;0.00;10.5;27.1;-36.4;32.9;9.98;-3.47;3.67;1.64;4.91;2.98;2.59;4.32
P/FCF;;;;;-6.89;-35.2;-16.0;6.22;2.59;0.99;3.51;2.63;3.17;3.50
P/S;0.00;0.00;0.11;0.11;0.08;0.08;0.06;0.06;0.05;0.03;0.16;0.10;0.14;0.16
P/BV;0.00;0.00;-1.75;-1.54;-1.14;-1.02;-0.75;-0.62;-0.62;-0.47;-3.97;-1 665;2.61;5.21
EV/EBITDA;2.54;1.77;6.73;10.4;12.1;6.22;2.17;-5.42;1.13;1.61;3.65;1.10;0.69;1.96
Долг/EBITDA;2.54;1.77;3.16;4.98;6.60;3.57;0.02;2.91;-0.30;0.85;-0.16;-1.20;-1.24;-1.48
Персонал, чел;;;;;;;;;;;;187;192;
Производительность труда, млн руб/чел/год;;;;;;;;;;;;1 647;1 811;
Расходы/чел/год, тыс.р;;;;;;;;;;;;46 166;49 781;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;1%;1%;1%;1%
