;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;08.06.2018;08.06.2018;08.06.2018;08.06.2018;08.06.2018;20.03.2019;13.03.2020;10.03.2021;16.03.2022;22.03.2023;15.03.2024;18.03.2025;;18.11.2024
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
Установленная мощность, ГВт;;;;;3.19;3.92;3.94;3.95;4.00;4.16;4.16;4.19;;
Ср. цена реализации э/э, руб/кВт*ч;;;;;;1.49;1.50;1.59;1.67;1.80;2.07;2.14;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;4.99;4.81;4.87;4.24;4.53;4.76;4.68;4.71;;
Протяженность ЛЭП, тыс.км;;;;;19.1;18.4;18.6;18.7;18.8;18.9;18.9;19.0;;
Выручка, млрд руб;6.57;7.18;5.89;6.19;6.40;6.68;7.18;6.62;7.30;8.41;9.32;9.97;;11.1
Операционная прибыль, млрд руб;;;;0.354;0.217;0.065;0.308;-0.413;0.012;0.430;0.454;0.325;;0.303
EBITDA, млрд руб;0.632;0.642;1.23;0.732;0.600;0.551;0.735;0.089;0.520;0.970;0.970;0.860;;0.842
Чистая прибыль, млрд руб;0.088;0.182;0.866;0.343;0.189;0.152;0.262;-0.340;0.022;0.327;0.388;0.220;;0.174
Операционный денежный поток, млрд руб;;;;0.678;0.904;0.496;0.713;0.239;0.405;0.910;0.927;0.777;;0.719
CAPEX, млрд руб;0.430;0.457;0.524;0.524;0.619;0.707;0.940;0.590;0.558;0.610;0.827;0.957;;0.912
FCF, млрд руб;;;;0.206;0.360;-0.197;-0.177;-0.339;-0.171;0.303;0.143;-0.138;;-0.179
Див.выплата, млрд руб;0.055;0.042;0.423;0.076;0.033;0.048;0.044;;;0.155;;0.092;;0.092
Дивиденд, руб/акцию;0,0113;0,0086;0,0962;0,0157;0,00603;0,011;0,0091;;;0,0352;0,0236;0,021;;0,021
Див доход, ао, %;3.2%;2.5%;38.2%;3.3%;1.6%;3.4%;2.1%;0.0%;0.0%;12.3%;3.6%;3.7%;;2.4%
Дивиденд ап, руб/акцию;0,0202;0,015;0,0962;0,0276;0,0172;0,011;0,0161;;;0,0352;0,0325;0,021;;0,021
Див доход, ап, %;10.6%;6.3%;35.0%;7.1%;4.6%;3.7%;5.2%;0.0%;0.0%;15.0%;7.5%;4.7%;;3.9%
Дивиденды/прибыль, %;62%;23%;49%;22%;17%;32%;17%;0%;0%;47%;0%;42%;;53%
Опер. расходы, млрд руб;6.30;6.97;5.64;5.85;6.20;6.63;6.89;7.02;7.29;8.00;8.86;9.62;;10.8
Амортизация, млрд руб;;;;;;;;;;0.5;0.5;0.5;;0.5
Расх на персонал, млрд руб;1.04;1.08;1.18;1.24;1.32;1.22;1.36;1.40;1.30;1.57;1.76;1.90;;2.17
Процентные расходы, млрд руб;;;;;;;;0.001;0.006;0.010;0.000;0.000;;0.000
Активы, млрд руб;;;;4.57;4.76;4.73;5.02;4.66;4.71;5.17;5.40;5.69;;5.88
Чистые активы, млрд руб;2.61;2.48;3.43;3.35;3.47;3.59;3.79;3.40;3.42;3.74;4.00;4.10;;4.24
Долг, млрд руб;0.000;0.000;0.000;0.000;0.000;0.000;0.064;0.077;0.195;0.065;0.065;0.135;;0.116
Наличность, млрд руб;0.528;0.814;0.900;0.689;0.975;0.745;0.520;0.138;0.088;0.257;0.260;0.018;;0.107
Чистый долг, млрд руб;-0.53;-0.81;-0.90;-0.69;-0.98;-0.75;-0.46;-0.06;0.11;-0.19;-0.20;0.12;;0.01
