;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;10.07.2018;10.07.2018;10.07.2018;28.04.2018;28.04.2018;29.04.2019;10.04.2020;16.04.2021;29.04.2022;28.04.2023;27.04.2024;29.04.2025;29.08.2025;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;7.17;7.46;7.90;8.21;8.57;9.20;9.55;9.80;9.94;10.3;10.9;11.6;11.9;11.9
Операционная прибыль, млрд руб;;;;;;;;0.607;0.860;1.27;2.42;2.97;2.81;2.00;1.81;1.61;1.61
EBITDA, млрд руб;;;;2.49;0.362;2.24;2.51;2.38;2.54;2.91;3.93;4.30;4.17;3.54;3.31;3.11;3.11
Чистая прибыль, млрд руб;;;;0.596;-1.99;-0.262;0.155;0.205;0.402;0.810;1.86;2.49;2.64;2.62;2.24;2.13;2.13
Операционный денежный поток, млрд руб;;;;;;;;1.83;2.10;2.82;3.62;4.22;3.47;3.00;2.73;2.84;2.84
CAPEX, млрд руб;;;;;;;1.56;0.964;1.24;1.10;0.910;0.970;1.11;1.76;1.92;2.03;2.03
FCF, млрд руб;;;;;;;;0.600;0.900;1.61;2.64;3.30;2.58;1.59;1.57;1.78;1.78
Див.выплата, млрд руб;;;;;;;0.190;0.400;0.403;0.421;0.820;0.893;1.06;1.02;0.780;1.19;0.780
Дивиденд, руб/акцию;0,00944;0,01016;0,0106;0,0107;0,005;0,01136;0,0091;0,019222;0,01932;0,02021;0,0393;0,04285;0,05085;0,04887;0,03775;0.05725;0,03775
Див доход, ао, %;;;;;;8.1%;6.1%;13.3%;11.1%;8.8%;9.4%;7.4%;10.0%;4.9%;5.2%;8.5%;6.0%
Дивиденды/прибыль, %;;;;0%;0%;0%;123%;195%;100%;52%;44%;36%;40%;39%;35%;56%;37%
Опер. расходы, млрд руб;;;;6.24;6.75;7.13;7.49;7.96;8.34;8.29;7.38;6.97;7.52;8.92;9.81;10.3;10.3
