;2022;2023;2024;2025
Дата отчета;27.04.2024;27.04.2024;28.04.2025;27.04.2026
Валюта отчета;RUB;RUB;RUB;RUB
Выручка, млрд руб;5.78;10.9;13.2;4.19
Операционная прибыль, млрд руб;0.400;0.620;0.537;-0.562
EBITDA, млрд руб;0.418;0.636;0.565;-0.531
Чистая прибыль, млрд руб;0.318;0.508;0.484;-0.542
Операционный денежный поток, млрд руб;-0.077;-0.134;1.03;-0.920
CAPEX, млрд руб;0.007;0.080;0.072;0.007
FCF, млрд руб;-0.087;-0.231;0.934;-0.977
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%
Опер. расходы, млрд руб;;0.277;0.389;0.374
Себестоимость, млрд руб;5.40;10.00;12.4;4.47
Амортизация, млрд руб;0.0;0.0;0.0;0.0
Расх на персонал, млрд руб;0.780;1.28;1.53;0.928
Процентные расходы, млрд руб;0.002;0.014;0.000;0.029
Активы, млрд руб;2.00;4.07;4.60;2.43
Чистые активы, млрд руб;0.600;1.12;1.60;1.06
Долг, млрд руб;0.088;0.319;0.000;0.398
Наличность, млрд руб;;0.000;0.614;0.029
Чистый долг, млрд руб;0.09;0.32;-0.61;0.37
Цена акции ао, руб;91.5;190.0;199.5;124.5
Число акций ао, млн;8.22;8.22;8.22;8.22
Капитализация, млрд руб;0.75;1.56;1.64;1.02
EV, млрд руб;0.84;1.88;1.03;1.39
Баланс стоимость, млрд руб;0.60;1.12;1.60;1.05
EPS, руб;38.7;61.8;58.9;-65.9
FCF/акцию, руб;-10.6;-28.1;113.6;-118.9
BV/акцию, руб;73.0;136.3;194.3;128.2
Рентаб EBITDA, %;7.2%;5.8%;4.3%;-12.7%
Чистая рентаб, %;5.5%;4.7%;3.7%;-12.9%
Доходность FCF, %;-11.6%;-14.8%;57.0%;-95.5%
ROE, %;53.0%;45.4%;30.2%;-51.1%
ROA, %;15.9%;12.5%;10.5%;-22.3%
P/E;2.37;3.07;3.39;-1.89
P/FCF;-8.65;-6.76;1.76;-1.05
P/S;0.13;0.14;0.12;0.24
P/BV;1.25;1.39;1.03;0.97
EV/EBITDA;2.01;2.96;1.82;-2.62
Долг/EBITDA;0.21;0.50;-1.09;-0.69
Персонал, чел;;1 460;1 591;1 158
Производительность труда, млн руб/чел/год;;7.47;8.27;3.62
Расходы/чел/год, тыс.р;;876.7;963.5;801.4
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;0%;1%;1%;0%
