;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";27.04.2018;15.05.2020;15.05.2020;28.04.2021;29.04.2022;10.04.2024;10.04.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";32.6;33.2;36.3;27.6;40.1;58.4;45.4;39.3;33.2
"Операционная прибыль, млрд руб";6.27;5.48;6.61;-3.07;15.7;24.2;7.84;-8.62;-21.6
"EBITDA, млрд руб";8.12;7.53;8.26;-1.43;17.3;26.2;10.2;-5.48;-18.3
"Чистая прибыль, млрд руб";3.41;-7.60;6.70;-20.6;13.8;15.9;1.80;-17.1;-28.7
"Операционный денежный поток, млрд руб";0.186;12.8;10.9;8.96;11.8;23.5;8.25;42.8;55.8
"CAPEX, млрд руб";0.667;0.440;0.690;0.780;1.53;3.72;3.83;2.20;0.971
"FCF, млрд руб";-7.89;3.66;0.086;0.723;2.97;12.0;-3.73;5.25;3.71
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";6.36;7.60;5.79;7.00;7.92;10.6;11.1;10.1;10.9
"Себестоимость, млрд руб";19.9;20.1;23.9;23.6;19.5;23.7;26.5;34.2;32.7
"Амортизация, млрд руб";;;;;;2.0;2.4;3.1;3.3
"Расх на персонал, млрд руб";1.39;1.40;1.47;1.54;1.57;2.00;2.30;2.55;
"Процентные расходы, млрд руб";8.08;9.91;10.2;7.72;9.85;8.40;6.80;10.00;10.8
"Активы, млрд руб";125.0;127.2;133.3;121.6;76.5;71.3;61.6;66.2;59.9
"Чистые активы, млрд руб";-12.7;-20.6;-14.2;-34.7;-21.0;-5.00;-9.62;-44.1;-89.7
"Долг, млрд руб";128.0;133.4;127.0;139.2;77.0;60.0;55.7;50.4;50.6
"Наличность, млрд руб";0.015;0.059;0.210;0.140;0.100;0.730;0.000;0.003;0.016
"Чистый долг, млрд руб";127.9;133.3;126.8;139.0;76.9;59.3;55.7;50.4;50.5
"Цена акции ао, руб";770.0;520.0;522.0;514.0;"1 344";"1 222";"1 606";"1 074";922.0
"Число акций ао, млн";36.1;36.1;36.1;36.1;36.1;36.1;36.1;36.1;36.1
"Капитализация, млрд руб";27.8;18.8;18.8;18.6;48.5;44.1;58.0;38.8;33.3
"EV, млрд руб";155.7;152.1;145.7;157.6;125.4;103.4;113.7;89.2;83.9
"Баланс стоимость, млрд руб";-12.7;-24.2;-17.8;-35.6;-21.8;-5.80;-10.4;-44.9;-90.4
"EPS, руб";94.5;-210.5;185.5;-569.7;381.6;441.2;49.8;-473.0;-795.1
"FCF/акцию, руб";-218.5;101.4;2.38;20.0;82.3;333.4;-103.3;145.1;102.7
"BV/акцию, руб";-350.9;-670.7;-492.1;-986.2;-602.9;-160.6;-288.6;"-1 242";"-2 501"
"Рентаб EBITDA, %";25.0%;22.7%;22.7%;-5.2%;43.2%;44.8%;22.4%;-14.0%;-55.0%
"Чистая рентаб, %";10.5%;-22.9%;18.4%;-74.6%;34.4%;27.3%;4.0%;-43.5%;-86.6%
"Доходность FCF, %";-28.4%;19.5%;0.5%;3.9%;6.1%;27.3%;-6.4%;13.5%;11.1%
"ROE, %";-26.9%;36.9%;-47.3%;59.2%;-65.7%;-318.6%;-18.7%;38.7%;32.0%
"ROA, %";2.7%;-6.0%;5.0%;-16.9%;18.0%;22.3%;2.9%;-25.8%;-48.0%
P/E;8.14;-2.47;2.81;-0.90;3.52;2.77;32.2;-2.27;-1.16
P/FCF;-3.52;5.13;219.2;25.7;16.3;3.66;-15.5;7.40;8.98
P/S;0.85;0.57;0.52;0.67;1.21;0.76;1.28;0.99;1.00
P/BV;-2.19;-0.78;-1.06;-0.52;-2.23;-7.61;-5.57;-0.86;-0.37
EV/EBITDA;19.2;20.2;17.6;-110.2;7.25;3.95;11.1;-16.3;-4.59
Долг/EBITDA;15.7;17.7;15.4;-97.2;4.44;2.27;5.46;-9.19;-2.77
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";2%;1%;2%;3%;4%;6%;8%;6%;3%
