;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";03.07.2018;03.07.2018;26.06.2018;26.06.2018;17.06.2019;17.06.2019;08.05.2020;30.04.2021;29.04.2022;12.05.2024;27.04.2024;28.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";220.1;294.5;346.1;416.9;451.8;411.6;351.3;431.9;468.2;362.0;477.0;538.9;599.9
"Операционная прибыль, млрд руб";;;;;;3.60;-26.5;-112.3;1.11;-25.0;-28.3;-4.02;4.46
"EBITDA, млрд руб";17.2;26.0;-50.8;29.6;43.9;38.7;22.4;45.0;31.9;-19.0;-18.0;18.4;
"Чистая прибыль, млрд руб";-13.5;-13.7;-82.4;-2.50;-1.39;-28.7;-57.7;-152.0;-17.2;-26.2;-35.8;-15.3;-12.8
"Операционный денежный поток, млрд руб";;;;;;-71.7;19.9;11.8;25.5;;-2.96;-74.3;-47.3
"CAPEX, млрд руб";;;17.5;29.7;26.0;50.0;70.3;52.7;73.2;33.1;87.2;116.2;132.5
"FCF, млрд руб";;;;;;-122.5;-48.8;-41.4;-50.4;-98.5;-94.0;-191.4;-182.8
"Див.выплата, млрд руб";;;;0.000;;;;;;;;;
"Дивиденд, руб/акцию";;;;0;;;;;;;;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;106.5;99.4;231.9;138.8;;57.4;75.8;86.9
"Себестоимость, млрд руб";176.7;246.8;313.6;338.3;358.2;315.4;278.4;312.0;328.2;341.0;436.0;461.0;508.1
"Амортизация, млрд руб";;;;;;;;17.2;7.7;6.2;10.0;14.5;18.8
"НИОКР, млрд руб";;;0.542;0.958;1.86;0.117;;;;2.75;2.16;2.33;1.89
"Расх на персонал, млрд руб";;;67.4;78.2;83.9;86.9;70.4;77.0;83.6;95.4;120.1;177.3;105.5
"Процентные расходы, млрд руб";;;33.9;38.8;36.5;37.9;44.3;31.4;17.8;31.9;43.6;80.8;92.5
"Активы, млрд руб";;;;;836.6;986.6;"1 021";978.0;"1 214";"1 409";"1 847";"2 289";"2 447"
"Чистые активы, млрд руб";108.8;128.5;177.3;131.9;169.8;185.3;-19.0;-151.6;-153.0;-187.5;66.4;74.8;94.5
"Долг, млрд руб";260.8;355.0;303.0;370.0;397.6;518.8;535.4;581.9;697.2;859.8;754.0;879.8;828.3
"Наличность, млрд руб";59.1;92.7;155.2;172.7;157.3;179.7;146.2;180.4;289.1;288.3;332.0;337.6;282.0
"Чистый долг, млрд руб";201.7;262.3;147.8;197.3;240.3;339.0;389.2;401.5;408.0;571.5;422.0;542.2;546.3
"Цена акции ао, руб";;;0.475;0.580;0.770;0.788;0.635;0.398;0.620;0.559;1.30;0.650;0.485
"Число акций ао, млн";"310 891";"310 891";"202 843";"310 891";"310 891";"310 891";"310 891";"310 891";"310 891";"310 891";"532 939";"994 436";"1 009 367"
"Капитализация, млрд руб";0.00;0.00;96.4;180.2;239.4;245.0;197.4;123.7;192.6;173.6;693.6;645.9;489.5
"EV, млрд руб";201.7;262.3;244.1;377.4;479.6;584.0;586.6;525.2;600.6;745.1;"1 116";"1 188";"1 036"
"Баланс стоимость, млрд руб";108.8;128.5;88.9;47.5;70.8;38.5;-92.2;-212.8;-220.9;-290.7;-78.6;-93.6;-91.1
"EPS, руб";-0.04;-0.04;-0.41;-0.01;0.00;-0.09;-0.19;-0.49;-0.06;-0.08;-0.07;-0.02;-0.01
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;-0.39;-0.16;-0.13;-0.16;-0.32;-0.18;-0.19;-0.18
"BV/акцию, руб";0.35;0.41;0.44;0.15;0.23;0.12;-0.30;-0.68;-0.71;-0.94;-0.15;-0.09;-0.09
"Рентаб EBITDA, %";7.8%;8.8%;-14.7%;7.1%;9.7%;9.4%;6.4%;10.4%;6.8%;-5.2%;-3.8%;3.4%;0
"Чистая рентаб, %";-6.1%;-4.6%;-23.8%;-0.6%;-0.3%;-7.0%;-16.4%;-35.2%;-3.7%;-7.2%;-7.5%;-2.8%;-2.1%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;-50.0%;-24.7%;-33.5%;-26.2%;-56.7%;-13.6%;-29.6%;-37.3%
"ROE, %";-12.4%;-10.6%;-46.5%;-1.9%;-0.8%;-15.5%;303.8%;100.2%;11.2%;14.0%;-53.9%;-20.4%;-13.5%
"ROA, %";;;;;-0.2%;-2.9%;-5.6%;-15.5%;-1.4%;-1.9%;-1.9%;-0.7%;-0.5%
P/E;0.00;0.00;-1.17;-72.2;-172.1;-8.53;-3.42;-0.81;-11.2;-6.63;-19.4;-42.4;-38.3
P/FCF;;;;;;-2.00;-4.05;-2.99;-3.82;-1.76;-7.38;-3.37;-2.68
P/S;0.00;0.00;0.28;0.43;0.53;0.60;0.56;0.29;0.41;0.48;1.45;1.20;0.82
P/BV;0.00;0.00;1.08;3.79;3.38;6.36;-2.14;-0.58;-0.87;-0.60;-8.83;-6.90;-5.37
EV/EBITDA;11.7;10.1;-4.81;12.8;10.9;15.1;26.2;11.7;18.9;-39.2;-62.0;64.7;
Долг/EBITDA;11.7;10.1;-2.91;6.66;5.48;8.77;17.4;8.92;12.8;-30.1;-23.4;29.5;
"Персонал, чел";;;"96 545";"96 787";;;;;;;"33 193";"33 340";
"Производительность труда, млн руб/чел/год";;;3.59;4.31;;;;;;;14.4;16.2;
"Расходы/чел/год, тыс.р";;;698.5;807.9;;;;;;;"3 618";"5 318";
"R&D/CAPEX, %";;;3.10%;3.23%;7.16%;0.23%;0.00%;0.00%;0.00%;8.31%;2.48%;2.00%;1.43%
"CAPEX/Выручка, %";0%;0%;5%;7%;6%;12%;20%;12%;16%;9%;18%;22%;22%
