;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;12.04.2022;11.04.2022;11.04.2022;11.04.2022;22.04.2024;22.04.2024;17.04.2025;10.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;0.088;0.198;0.090;0.116;0.056;0.298;0.214;0.159;0.160
Операционная прибыль, млрд руб;;-0.136;-0.074;-0.147;-0.252;-0.370;-0.492;-0.688;0.008;-0.594
Чистая прибыль, млрд руб;;0.471;0.125;0.228;0.123;0.138;-0.123;-0.272;0.380;-0.192
Операционный денежный поток, млрд руб;;-0.267;-0.143;-0.183;-0.166;-0.291;-0.335;-0.102;-0.145;-0.125
CAPEX, млрд руб;;;;;;0.110;0.252;0.043;0.009;0.000
FCF, млрд руб;;-0.233;-0.137;-0.217;0.184;-0.390;-0.530;0.001;-0.034;-0.030
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Дивиденды/прибыль, %;;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;0.177;0.218;0.228;0.299;0.315;0.420;0.729;0.182;0.690
Себестоимость, млрд руб;;0.047;0.054;0.050;0.068;0.085;0.330;0.192;0.055;0.066
Расх на персонал, млрд руб;;0.042;0.041;0.035;0.035;0.040;0.042;0.041;0.033;
Процентные расходы, млрд руб;;0.034;0.023;0.034;0.041;0.018;0.028;0.000;0.000;
Активы, млрд руб;7.25;7.71;7.86;8.14;8.19;8.52;4.86;5.08;5.47;5.30
Чистые активы, млрд руб;6.93;7.40;7.15;7.38;7.51;7.64;3.92;3.64;4.02;3.83
Долг, млрд руб;;;;;;;0.000;0.000;0.000;0.000
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
Цена акции ао, руб;2 900;2 400;2 990;7 650;8 160;7 210;7 680;5 300;4 400;5 010
Число акций ао, млн;0.600;0.600;0.600;0.600;0.600;0.600;0.600;0.600;0.600;0.600
Капитализация, млрд руб;1.74;1.44;1.79;4.59;4.89;4.32;4.61;3.18;2.64;3.00
EV, млрд руб;1.74;1.44;1.79;4.59;4.89;4.32;4.61;3.18;2.64;3.00
Баланс стоимость, млрд руб;6.93;7.40;7.15;7.38;7.51;7.64;3.92;3.64;4.02;3.83
EPS, руб;0.00;785.3;208.4;380.2;205.1;230.1;-205.1;-453.5;633.6;-320.1
FCF/акцию, руб;0.00;-388.5;-228.4;-361.8;306.8;-650.3;-883.7;1.67;-56.7;-50.0
BV/акцию, руб;11 547;12 332;11 929;12 309;12 514;12 739;6 536;6 076;6 710;6 393
Рентаб EBITDA, %;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Чистая рентаб, %;;535.2%;63.1%;253.3%;106.0%;246.4%;-41.3%;-127.1%;239.0%;-120.0%
Доходность FCF, %;0.0%;-16.2%;-7.6%;-4.7%;3.8%;-9.0%;-11.5%;0.0%;-1.3%;-1.0%
ROE, %;0.0%;6.4%;1.7%;3.1%;1.6%;1.8%;-3.1%;-7.5%;9.4%;-5.0%
ROA, %;0.0%;6.1%;1.6%;2.8%;1.5%;1.6%;-2.5%;-5.4%;6.9%;-3.6%
P/E;;3.06;14.3;20.1;39.8;31.3;-37.4;-11.7;6.94;-15.6
P/FCF;;-6.18;-13.1;-21.1;26.6;-11.1;-8.69;3 179;-77.6;-100.2
P/S;;16.4;9.06;51.0;42.2;77.2;15.5;14.9;16.6;18.8
P/BV;0.25;0.19;0.25;0.62;0.65;0.57;1.17;0.87;0.66;0.78
Персонал, чел;;;;;;137;189;131;85;
Производительность труда, млн руб/чел/год;;;;;;0.41;1.58;1.63;1.87;
Расходы/чел/год, тыс.р;;;;;;292.0;222.2;313.0;388.2;
R&D/CAPEX, %;;;;;;0.00%;0.00%;0.00%;0.00%;
CAPEX/Выручка, %;;0%;0%;0%;0%;196%;85%;20%;6%;0
Наличность, млрд руб, 0.000;;;;;;;;;;
Наличность, млрд руб;;;;;;;;;0.000;
