;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025;LTM
Дата отчета;10.07.2018;10.07.2018;27.09.2023;24.04.2018;24.04.2018;23.04.2019;22.04.2020;21.04.2021;23.04.2024;16.04.2024;16.04.2025;16.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Чистый операц доход, млрд руб;;;;25.0;27.2;31.5;42.8;29.7;33.0;41.8;34.6;60.2;
Чист. проц. доходы, млрд руб;15.6;16.3;7.08;14.6;18.4;23.3;22.9;22.8;18.2;28.7;27.2;45.2;31.6
Чист. комисс. доход, млрд руб;10.8;11.4;6.38;6.15;6.25;7.89;7.07;7.35;10.9;8.81;8.67;9.17;9.90
Доходы по цб, млрд руб;;;-22.0;4.31;2.51;0.305;12.8;-0.500;3.96;4.25;-1.24;3.38;-4.50
Чистая прибыль, млрд руб;-1.47;-7.23;-49.1;2.13;4.16;6.08;12.8;0.230;4.59;8.13;3.02;4.71;4.56
Чистая прибыль н/с, млрд руб;;;17.6;;;;;;;;;;
Див.выплата, млрд руб;;;0.000;0.000;0.000;0.000;;;;9.86;;;
Дивиденд, руб/акцию;;;0;0;0;0;;;;0,027;;;
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;18.2%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;121%;0%;0%;0
Опер. расходы, млрд руб;;;18.0;17.6;;;;;28.6;31.9;33.6;38.2;17.3
Расх на персонал, млрд руб;;;9.71;8.93;11.9;12.7;14.1;14.4;17.6;19.2;19.1;23.3;
Создание резервов, млрд руб;;;11.0;8.21;1.60;3.40;24.3;24.6;2.25;6.02;2.95;16.7;6.75
Наличность, млрд руб;56.0;77.0;61.3;35.4;46.4;71.9;78.0;114.7;184.7;94.2;188.1;;178.1
Чистый долг, млрд руб;-56.0;-77.0;-61.3;-35.4;-46.4;-71.9;-78.0;-114.7;-184.7;-94.2;-188.1;;-178.1
Активы банка, млрд руб;393.0;407.0;381.6;382.2;496.3;504.3;445.0;505.6;710.9;678.2;862.2;784.8;812.7
Капитал, млрд руб;43.0;39.0;58.4;62.9;75.1;84.3;94.0;95.9;114.1;116.6;109.9;115.4;114.5
Кредитный портфель, млрд руб;31.1;30.3;;132.2;193.1;223.6;221.4;222.8;312.9;373.9;442.8;503.2;443.8
Кредиты юрлицам, млрд руб;;;;58.3;84.4;86.2;65.5;49.2;63.0;95.3;112.9;138.5;127.1
Кредиты физлицам, млрд руб;;;;73.9;103.0;126.4;143.9;161.0;228.2;263.1;306.5;364.7;316.6
Депозиты, млрд руб;263.0;278.0;233.7;227.3;259.6;270.1;278.7;329.1;482.4;442.8;539.9;593.7;568.5
Депозиты юрлиц, млрд руб;;;73.9;70.8;91.3;106.8;115.5;143.9;288.8;243.9;288.6;300.5;307.9
Депозиты физлиц, млрд руб;;;159.8;156.5;168.4;163.3;163.1;185.2;193.6;198.9;251.3;293.3;260.6
Резервы под обесценивание, млрд руб;;;1.66;1.89;13.0;;;;11.7;18.6;23.8;33.7;28.9
Loan-to-deposit ratio, %;12%;11%;0%;58%;74%;83%;79%;68%;65%;84%;82%;85%;78%
Цена акции ао, руб;;;0.108;0.131;0.086;0.059;0.093;0.069;0.069;0.148;0.158;0.114;0.128
Число акций ао, млн;298 240;298 240;298 240;298 240;298 240;298 240;298 240;360 135;360 135;360 135;360 135;360 135;360 135
Капитализация, млрд руб;0.00;0.00;32.2;39.0;25.8;17.6;27.6;24.7;24.7;53.4;57.0;40.9;46.2
EV, млрд руб;-56.0;-77.0;-29.2;3.65;-20.6;-54.3;-50.4;-90.0;-160.0;-40.8;-131.1;40.9;-131.9
EPS, руб;0.00;-0.02;-0.16;0.01;0.01;0.02;0.04;0.00;0.01;0.02;0.01;0.01;0.01
Чистая процентная маржа, %;;;1.90%;3.80%;;;;;;;;;
Рентабельность банка, %;;;;8.52%;15.3%;19.3%;29.8%;0.78%;13.9%;19.5%;8.74%;7.82%;
P/E;0.00;0.00;-0.65;18.3;6.20;2.89;2.16;107.3;5.37;6.57;18.9;8.70;10.1
P/B;0.00;0.00;0.55;0.62;0.34;0.21;0.29;0.26;0.22;0.46;0.52;0.35;0.40
