;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;10.07.2018;10.07.2018;10.07.2018;03.05.2018;03.05.2018;29.04.2019;26.06.2020;30.04.2021;04.05.2022;02.05.2024;02.05.2024;30.04.2025;30.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Пассажиропоток всего, млн чел;;;5.60;6.65;7.30;7.96;7.70;4.80;7.10;;;;
Пассажиропоток внутр, млн чел;;;4.46;5.60;6.10;;;;;;;;
Пассажиропоток м/нар, млн чел;;;;;1.20;;;;;;;;
Занятость пассаж.кресел, %;;;69.9%;71.9%;76.0%;80.0%;83.0%;79.0%;82.3%;;;;
Грузооборот, млн т;;;0.015;0.019;;;;;;;;;
Выручка, млрд руб;82.9;76.6;70.3;75.4;75.8;82.7;86.3;58.3;75.5;81.0;97.7;113.3;121.3
Операционная прибыль, млрд руб;;;;;7.58;4.82;8.81;4.25;9.58;18.4;10.1;8.35;0.368
EBITDA, млрд руб;6.85;-4.28;12.1;13.1;14.1;11.1;19.2;18.5;17.1;26.7;24.6;26.6;22.4
Чистая прибыль, млрд руб;-3.92;-60.7;3.62;5.81;2.37;-21.9;-5.90;3.13;26.8;4.44;2.81;-6.92;2.40
Операционный денежный поток, млрд руб;;;;;5.64;12.4;12.2;19.1;5.40;20.7;19.1;20.4;15.6
CAPEX, млрд руб;;;;2.09;6.60;6.84;5.80;4.97;8.57;10.5;23.6;19.9;11.8
FCF, млрд руб;;;;;-4.07;0.363;-0.141;12.4;-4.20;5.65;-4.56;0.481;2.18
Див.выплата, млрд руб;;;;0.000;;;;;;;;;
Дивиденд, руб/акцию;;;;0;;;;;;;;;
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
Опер. расходы, млрд руб;47.4;52.6;36.9;39.5;39.9;48.3;42.1;51.8;67.2;64.1;89.5;84.0;121.4
Амортизация, млрд руб;;;;;;;;;;8.4;14.5;18.2;22.0
Расх на персонал, млрд руб;;;;12.2;12.1;15.5;16.8;14.9;16.8;18.7;20.2;23.1;26.9
Процентные расходы, млрд руб;;;;6.51;5.52;3.58;2.80;2.10;5.63;3.00;4.18;5.21;4.15
Активы, млрд руб;;;;;77.6;78.2;76.8;86.1;95.5;98.6;123.2;130.3;161.8
Чистые активы, млрд руб;15.2;-44.6;-12.0;-6.81;-9.57;-31.5;-36.8;-25.6;10.8;20.0;22.4;13.9;43.2
Долг, млрд руб;62.8;77.3;42.8;43.1;45.7;71.2;72.0;61.5;25.2;30.0;30.7;31.1;29.0
Наличность, млрд руб;0.571;1.69;0.000;4.35;0.534;1.07;1.95;12.7;7.57;16.8;5.54;5.51;6.82
Чистый долг, млрд руб;62.2;75.6;42.8;38.8;45.2;70.1;70.1;48.8;17.6;13.2;25.2;25.6;22.2
Цена акции ао, руб;;;11.2;10.2;9.03;7.64;7.07;6.70;7.61;7.33;12.4;13.6;11.0
Число акций ао, млн;3 702;3 702;3 702;3 702;3 702;3 702;3 702;3 702;3 702;3 702;7 896;7 896;7 896
Капитализация, млрд руб;0.00;0.00;41.3;37.8;33.4;28.3;26.2;24.8;28.2;27.1;98.0;107.2;86.8
EV, млрд руб;62.2;75.6;84.1;76.5;78.6;98.4;96.3;73.6;45.8;40.3;123.2;132.8;109.0
Баланс стоимость, млрд руб;15.2;-44.6;-12.0;-6.81;-9.57;-31.6;-36.8;-25.7;10.7;20.0;22.3;13.8;43.2
EPS, руб;-1.06;-16.4;0.98;1.57;0.64;-5.92;-1.59;0.85;7.24;1.20;0.36;-0.88;0.30
FCF/акцию, руб;0.00;0.00;0.00;0.00;-1.10;0.10;-0.04;3.35;-1.13;1.53;-0.58;0.06;0.28
BV/акцию, руб;4.11;-12.0;-3.25;-1.84;-2.58;-8.54;-9.95;-6.93;2.89;5.39;2.83;1.75;5.47
Рентаб EBITDA, %;8.3%;-5.6%;17.2%;17.3%;18.5%;13.4%;22.2%;31.8%;22.7%;33.0%;25.2%;23.4%;18.4%
Чистая рентаб, %;-4.7%;-79.3%;5.1%;7.7%;3.1%;-26.5%;-6.8%;5.4%;35.5%;5.5%;2.9%;-6.1%;2.0%
Доходность FCF, %;;;0.0%;0.0%;-12.2%;1.3%;-0.5%;50.0%;-14.9%;20.8%;-4.7%;0.4%;2.5%
ROE, %;-25.8%;136.2%;-30.0%;-85.3%;-24.7%;69.5%;16.0%;-12.2%;248.3%;22.2%;12.6%;-49.9%;5.5%
ROA, %;;;;;3.1%;-28.0%;-7.7%;3.6%;28.1%;4.5%;2.3%;-5.3%;1.5%
P/E;0.00;0.00;11.4;6.50;14.1;-1.29;-4.44;7.92;1.05;6.11;34.9;-15.5;36.2
P/FCF;;;;;-8.21;77.9;-185.6;2.00;-6.71;4.80;-21.5;222.8;39.8
P/S;0.00;0.00;0.59;0.50;0.44;0.34;0.30;0.43;0.37;0.34;1.00;0.95;0.72
P/BV;0.00;0.00;-3.43;-5.55;-3.49;-0.89;-0.71;-0.97;2.63;1.36;4.39;7.76;2.01
