;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;08.07.2018;08.07.2018;28.09.2023;30.06.2018;28.04.2018;30.04.2019;06.05.2020;30.04.2021;29.08.2023;29.08.2023;26.04.2024;28.04.2025;27.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Продажи ТС, шт;;;;;;;;;;1;;;;
Выручка, млрд руб;3.07;17.1;36.9;48.5;62.0;76.4;64.5;79.6;69.6;41.9;82.0;145.0;65.4;128.0
Операционная прибыль, млрд руб;;;;;;;;;-2.90;-11.4;9.65;30.2;19.1;29.9
EBITDA, млрд руб;1.40;3.57;7.04;13.5;12.7;11.7;11.9;13.1;1.80;-1.35;10.9;46.2;21.6;44.2
Чистая прибыль, млрд руб;-5.71;0.557;-9.68;0.568;-4.53;-9.78;3.14;-25.4;-6.30;-18.8;34.0;32.1;21.7;33.1
Чистая прибыль н/с, млрд руб;;;;9.76;;;;;;;;;;
Операционный денежный поток, млрд руб;;;;;;;;;-7.65;5.00;31.8;7.20;3.66;6.26
CAPEX, млрд руб;;;4.09;5.96;2.89;1.99;14.1;0.600;0.690;0.370;1.000;1.26;2.80;1.83
FCF, млрд руб;;;;;;;;;-8.80;4.63;31.7;-12.7;8.69;-14.0
Див.выплата, млрд руб;;;;0.000;;;;;;;;;;
Дивиденд, руб/акцию;;;;0;;;;;;;;;;
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;;;;;;;;3.20;8.80;4.22;14.4;3.97;13.4
Себестоимость, млрд руб;1.69;15.0;32.8;38.6;52.1;66.8;53.3;69.0;69.4;44.6;72.8;90.2;48.0;80.3
Амортизация, млрд руб;;;;;;;;;4.7;4.0;5.3;5.9;2.4;4.0
Расх на персонал, млрд руб;;;4.65;6.59;6.34;9.49;7.42;9.00;8.80;7.46;11.4;16.7;15.4;17.6
Процентные расходы, млрд руб;;;10.1;12.1;15.3;12.6;11.9;7.88;2.68;7.17;5.35;1.71;0.000;0.772
Активы, млрд руб;;;;;;;160.5;97.9;87.6;65.0;113.6;94.9;86.0;94.9
Чистые активы, млрд руб;3.48;7.56;1.62;16.4;13.7;7.50;10.6;-14.8;-19.0;-42.2;27.0;51.7;73.4;73.5
Долг, млрд руб;46.5;61.4;100.2;102.7;82.2;62.1;38.1;37.3;45.7;75.5;15.3;0.000;0.000;0.000
Наличность, млрд руб;0.711;2.39;3.21;2.65;3.80;10.9;11.0;2.30;2.50;8.10;39.2;11.9;20.5;23.7
Чистый долг, млрд руб;45.8;59.1;97.0;100.1;78.4;51.2;27.1;35.0;43.2;67.4;-23.9;-11.9;-20.5;-23.7
Цена акции ао, руб;;;743.0;795.0;789.5;397.0;313.3;142.0;74.2;78.6;41.1;46.9;30.2;31.5
Число акций ао, млн;116.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;2 906;2 906;2 906;2 906
Капитализация, млрд руб;0.00;0.00;86.2;92.2;91.6;46.1;36.3;16.5;8.61;9.12;119.4;136.1;87.8;91.5
EV, млрд руб;45.8;59.1;183.2;192.3;170.0;97.3;63.4;51.5;51.8;76.5;95.5;124.3;67.2;67.9
Баланс стоимость, млрд руб;3.48;7.56;-11.4;2.51;-1.07;-7.39;-4.84;-18.7;-21.8;-44.3;24.8;50.6;72.2;72.3
EPS, руб;-49.3;4.80;-83.4;4.90;-39.0;-84.3;27.0;-219.0;-54.3;-162.1;11.7;11.0;7.46;11.4
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-75.9;39.9;10.9;-4.38;2.99;-4.82
BV/акцию, руб;30.0;65.2;-98.6;21.6;-9.25;-63.7;-41.7;-160.9;-187.9;-381.9;8.53;17.4;24.9;24.9
Рентаб EBITDA, %;45.7%;20.9%;19.1%;27.8%;20.5%;15.3%;18.5%;16.5%;2.6%;-3.2%;13.2%;31.8%;33.1%;34.5%
Чистая рентаб, %;-186.0%;3.3%;-26.3%;1.2%;-7.3%;-12.8%;4.9%;-31.9%;-9.1%;-44.9%;41.4%;22.1%;33.2%;25.9%
Доходность FCF, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-102.2%;50.8%;26.5%;-9.4%;9.9%;-15.3%
ROE, %;-164.2%;7.4%;-597.3%;3.5%;-33.0%;-130.4%;29.5%;172.1%;33.2%;44.5%;125.9%;61.9%;29.5%;45.1%
ROA, %;;;;;;;2.0%;-25.9%;-7.2%;-28.9%;29.9%;33.8%;25.2%;34.9%
P/E;0.00;0.00;-8.91;162.4;-20.2;-4.71;11.6;-0.65;-1.37;-0.48;3.51;4.25;4.05;2.76
P/FCF;;;;;;;;;-0.98;1.97;3.77;-10.7;10.1;-6.53
P/S;0.00;0.00;2.34;1.90;1.48;0.60;0.56;0.21;0.12;0.22;1.46;0.94;1.34;0.72
P/BV;0.00;0.00;-7.53;36.8;-85.3;-6.23;-7.51;-0.88;-0.39;-0.21;4.82;2.69;1.22;1.27
EV/EBITDA;32.6;16.5;26.0;14.2;13.4;8.30;5.33;3.92;28.8;-56.7;8.80;2.69;3.11;1.54
Долг/EBITDA;32.6;16.5;13.8;7.41;6.17;4.37;2.27;2.67;24.0;-49.9;-2.20;-0.26;-0.95;-0.54
Персонал, чел;;;;;;;;;;;8 748;9 934;;
Производительность труда, млн руб/чел/год;;;;;;;;;;;9.37;14.6;;
Расходы/чел/год, тыс.р;;;;;;;;;;;1 300;1 677;;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;11%;12%;5%;3%;22%;1%;1%;1%;1%;1%;4%;1%
