;2020;2021;2022;2023;2024;2025
Дата отчета;17.08.2022;17.08.2022;19.04.2023;23.04.2024;23.04.2025;27.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;24.4;26.2;26.2;29.6;32.0;35.8
Операционная прибыль, млрд руб;;-0.010;0.520;1.79;1.75;2.40
EBITDA, млрд руб;;0.053;0.570;1.86;1.83;2.50
Чистая прибыль, млрд руб;0.143;0.284;0.883;1.77;2.23;2.14
Операционный денежный поток, млрд руб;0.076;0.075;0.433;1.05;1.44;0.272
CAPEX, млрд руб;0.013;0.070;0.090;0.316;0.148;0.277
FCF, млрд руб;0.063;0.028;0.382;0.657;1.24;-0.079
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Див доход, ап, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%
Себестоимость, млрд руб;24.0;25.9;25.0;27.7;30.3;33.5
Амортизация, млрд руб;;;0.1;0.1;0.1;0.1
Расх на персонал, млрд руб;0.790;0.900;0.930;1.18;1.31;1.51
Активы, млрд руб;7.67;6.85;6.04;5.83;7.31;8.59
Чистые активы, млрд руб;-6.52;-6.25;-5.36;-3.59;-1.36;0.771
Долг, млрд руб;0.000;0.000;0.000;0.000;0.000;0.000
Наличность, млрд руб;0.171;0.200;0.380;1.04;2.28;1.90
Чистый долг, млрд руб;-0.17;-0.20;-0.38;-1.04;-2.28;-1.90
Цена акции ао, руб;3.47;3.80;3.44;14.5;10.4;13.4
Число акций ао, млн;319.6;319.6;319.6;319.6;319.6;319.6
Цена акции ап, руб;1.75;2.21;2.06;10.3;8.72;12.3
Число акций ап, млн;80.5;80.5;80.5;80.5;80.5;80.5
Капитализация, млрд руб;1.25;1.39;1.26;5.47;4.03;5.27
EV, млрд руб;1.08;1.19;0.88;4.43;1.75;3.37
Баланс стоимость, млрд руб;-6.52;-6.25;-5.36;-3.59;-1.36;0.77
EPS, руб;0.45;0.89;2.76;5.54;6.98;6.68
FCF/акцию, руб;0.20;0.09;1.20;2.06;3.86;-0.25
BV/акцию, руб;-20.4;-19.6;-16.8;-11.2;-4.27;2.41
Рентаб EBITDA, %;0.0%;0.2%;2.2%;6.3%;5.7%;7.0%
Чистая рентаб, %;0.6%;1.1%;3.4%;6.0%;7.0%;6.0%
Доходность FCF, %;5.7%;2.3%;34.8%;14.1%;37.1%;-1.8%
ROE, %;-2.2%;-4.5%;-16.5%;-49.3%;-163.5%;276.9%
ROA, %;1.9%;4.1%;14.6%;30.4%;30.5%;24.9%
P/E;8.73;4.90;1.43;3.09;1.81;2.47
P/FCF;19.8;49.7;3.31;8.33;3.26;-66.7
P/S;0.05;0.05;0.05;0.19;0.13;0.15
P/BV;-0.19;-0.22;-0.24;-1.52;-2.96;6.83
EV/EBITDA;;22.5;1.55;2.38;0.96;1.35
Долг/EBITDA;;-3.77;-0.67;-0.56;-1.24;-0.76
Персонал, чел;;;;1 102;1 064;1 049
Производительность труда, млн руб/чел/год;;;;26.8;30.0;34.1
Расходы/чел/год, тыс.р;;;;1 071;1 235;1 442
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;0%;0%;0%;1%;0%;1%
Процентные расходы , млрд руб;;;;;;0.034
