;2017;2018;2019;2020;2021;2023;2024;2025
Дата отчета;;;14.12.2023;29.04.2021;13.12.2023;08.04.2024;30.04.2025;30.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;52.3;35.9;;86.2;112.5;64.2
Операционная прибыль, млрд руб;;;5.32;1.50;;19.3;12.9;1.59
EBITDA, млрд руб;;;10.1;5.76;;22.8;17.7;6.68
Чистая прибыль, млрд руб;;;3.97;0.380;;15.4;11.8;-4.45
Операционный денежный поток, млрд руб;;;9.50;10.7;;22.7;16.4;4.37
CAPEX, млрд руб;;;0.019;;;14.4;22.9;10.3
FCF, млрд руб;;;;;;22.4;-3.10;2.32
Див доход, ао, %;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Див доход, ап, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;0%;0%;;0%;0%;0%
Опер. расходы, млрд руб;;;47.0;34.4;;12.2;14.5;14.9
Амортизация, млрд руб;;;6.2;5.4;;3.5;4.8;5.1
Расх на персонал, млрд руб;;;3.05;3.25;;1.85;1.97;2.27
Процентные расходы, млрд руб;;;0.035;0.028;;2.49;2.93;4.55
Активы, млрд руб;;;68.9;70.2;;126.6;150.9;133.7
Чистые активы, млрд руб;;;47.5;47.9;;76.9;88.7;86.1
Долг, млрд руб;;;;;;22.0;25.7;21.3
Наличность, млрд руб;;;;;;0.009;0.001;0.001
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;22.0;25.7;21.3
Цена акции ао, руб;480.0;;687.0;826.0;1 879;2 180;2 510;2 240
Число акций ао, млн;18.1;18.1;18.1;18.1;18.1;18.1;18.1;18.1
Цена акции ап, руб;400.0;284.0;366.0;401.0;780.0;1 120;1 675;1 145
Число акций ап, млн;5.88;5.88;5.88;5.88;5.88;5.88;5.88;5.88
Капитализация, млрд руб;11.0;1.67;14.6;17.3;38.6;46.0;55.3;47.3
EV, млрд руб;11.0;1.67;14.6;17.3;38.6;68.0;81.0;68.5
Баланс стоимость, млрд руб;0.00;0.00;47.0;47.5;0.00;76.9;88.7;86.1
EPS, руб;0.00;0.00;219.5;21.0;0.00;851.3;654.5;-246.2
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;1 240;-171.2;128.2
BV/акцию, руб;0.00;0.00;2 600;2 624;0.00;4 251;4 903;4 760
Рентаб EBITDA, %;;;19.4%;16.0%;;26.5%;15.8%;10.4%
Чистая рентаб, %;;;7.6%;1.1%;;17.9%;10.5%;-6.9%
Доходность FCF, %;0.0%;;0.0%;0.0%;0.0%;56.9%;-6.8%;5.7%
ROE, %;;;8.4%;0.8%;;20.0%;13.3%;-5.2%
ROA, %;;;5.8%;0.5%;;12.2%;7.8%;-3.3%
P/E;;;3.67;45.5;;2.99;4.67;-10.6
P/FCF;;;;;;2.05;-17.8;20.4
P/S;;;0.28;0.48;;0.53;0.49;0.74
P/BV;;;0.31;0.36;;0.60;0.62;0.55
EV/EBITDA;;;1.44;3.00;;2.98;4.57;10.3
Долг/EBITDA;;;0.00;0.00;;0.96;1.45;3.19
R&D/CAPEX, %;;;0.00%;;;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;;0%;0%;;17%;20%;16%
