;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;07.07.2018;07.07.2018;07.07.2018;07.07.2018;07.07.2018;02.11.2020;02.11.2020;30.04.2021;11.05.2022;02.05.2023;02.05.2024;12.05.2025;04.05.2026;02.09.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;2.43;2.35;2.47;2.50;2.63;2.34;2.57;2.58;3.60;3.54;3.90;3.22;1.14;2.27
Операционная прибыль, млрд руб;;;;;;0.043;-0.019;0.077;0.110;0.184;0.350;0.116;0.045;0.063
EBITDA, млрд руб;-0.032;0.025;0.190;0.168;0.142;0.063;0.003;0.095;0.131;0.212;0.410;0.146;0.080;0.100
Чистая прибыль, млрд руб;0.032;-0.052;0.059;0.063;0.048;-0.020;-0.065;0.036;0.480;0.099;0.238;0.048;0.011;0.043
Операционный денежный поток, млрд руб;;;;;;-0.053;-0.072;0.013;-0.210;0.226;-0.134;0.314;0.173;0.983
CAPEX, млрд руб;;;;;;0.016;0.009;0.027;0.015;0.031;0.143;0.225;0.049;0.109
FCF, млрд руб;;;;;;-0.050;-0.041;0.017;-0.125;0.228;-0.274;0.007;0.071;0.786
Див.выплата, млрд руб;;;0.050;0.045;0.025;;;;;;;;;0.100
Дивиденд, руб/акцию;;;10;9;4,9;;;;;;;;;20
Див доход, ао, %;;;;8.1%;5.4%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;8.7%
Дивиденды/прибыль, %;0%;0%;85%;71%;51%;0%;0%;0%;0%;0%;0%;0%;0%;233%
Опер. расходы, млрд руб;;;;;;;;;;;0.136;0.277;0.158;0.228
Себестоимость, млрд руб;2.15;2.12;2.17;2.21;2.35;2.15;2.31;2.29;3.32;3.17;3.18;2.83;0.961;1.98
Амортизация, млрд руб;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
Расх на персонал, млрд руб;;;;;;;;;;;0.169;0.334;0.248;0.299
Процентные расходы, млрд руб;;;;;;0.061;0.047;0.034;0.056;0.055;0.056;0.050;0.038;0.062
Активы, млрд руб;;;;;;1.13;1.07;1.09;1.33;1.21;1.50;1.58;1.08;1.12
Чистые активы, млрд руб;0.399;0.323;0.386;0.403;0.408;0.363;0.281;0.330;0.385;0.520;0.760;0.807;0.818;0.813
Долг, млрд руб;0.478;0.510;0.455;0.555;0.571;0.559;0.500;0.440;0.600;0.326;0.400;0.396;0.000;0.000
Наличность, млрд руб;0.023;0.008;0.033;0.028;0.062;0.018;0.004;0.020;0.051;0.080;0.020;0.028;0.182;0.191
Чистый долг, млрд руб;0.46;0.50;0.42;0.53;0.51;0.54;0.50;0.42;0.55;0.25;0.38;0.37;-0.18;-0.19
Цена акции ао, руб;;;;110.5;90.0;58.0;55.5;70.9;71.3;72.2;233.2;197.0;202.6;229.0
Число акций ао, млн;5.01;5.01;5.01;5.01;5.01;5.01;5.01;5.01;5.01;5.01;5.01;5.01;5.01;5.01
Капитализация, млрд руб;0.00;0.00;0.00;0.55;0.45;0.29;0.28;0.35;0.36;0.36;1.17;0.99;1.01;1.15
EV, млрд руб;0.46;0.50;0.42;1.08;0.96;0.83;0.77;0.77;0.91;0.61;1.55;1.35;0.83;0.96
Баланс стоимость, млрд руб;0.40;0.32;0.39;0.40;0.41;0.36;0.28;0.33;0.39;0.52;0.76;0.80;0.82;0.81
EPS, руб;6.39;-10.4;11.8;12.6;9.59;-4.00;-13.0;7.19;95.9;19.8;47.5;9.59;2.20;8.59
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;-9.99;-8.19;3.40;-25.0;45.5;-54.7;1.40;14.2;157.0
BV/акцию, руб;79.7;64.5;77.1;80.5;81.5;72.5;56.1;65.9;76.9;103.9;151.0;160.6;163.0;162.4
Рентаб EBITDA, %;-1.3%;1.1%;7.7%;6.7%;5.4%;2.7%;0.1%;3.7%;3.6%;6.0%;10.5%;4.5%;7.0%;4.4%
Чистая рентаб, %;1.3%;-2.2%;2.4%;2.5%;1.8%;-0.9%;-2.5%;1.4%;13.3%;2.8%;6.1%;1.5%;1.0%;1.9%
Доходность FCF, %;;;;0.0%;0.0%;-17.2%;-14.8%;4.8%;-35.0%;63.1%;-23.5%;0.7%;7.0%;68.6%
ROE, %;8.0%;-16.1%;15.3%;15.6%;11.8%;-5.5%;-23.1%;10.9%;124.7%;19.0%;31.3%;5.9%;1.3%;5.3%
ROA, %;;;;;;-1.8%;-6.1%;3.3%;36.1%;8.2%;15.9%;3.0%;1.0%;3.8%
P/E;0.00;0.00;0.00;8.78;9.39;-14.5;-4.27;9.85;0.74;3.65;4.90;20.5;92.2;26.7
P/FCF;;;;;;-5.81;-6.78;20.9;-2.85;1.59;-4.26;140.9;14.3;1.46
P/S;0.00;0.00;0.00;0.22;0.17;0.12;0.11;0.14;0.10;0.10;0.30;0.31;0.89;0.50
P/BV;0.00;0.00;0.00;1.37;1.10;0.80;0.99;1.07;0.93;0.70;1.54;1.23;1.24;1.41
EV/EBITDA;-14.2;20.1;2.22;6.43;6.76;13.2;257.9;8.15;6.91;2.87;3.77;9.27;10.4;9.55
Долг/EBITDA;-14.2;20.1;2.22;3.14;3.58;8.59;165.3;4.42;4.19;1.16;0.93;2.52;-2.28;-1.91
Персонал, чел;;;;;;;;403;373;373;386;394;;
