;2021;2022;2023;2024;2025;LTM
Дата отчета;15.07.2024;15.07.2024;15.07.2024;28.04.2025;;17.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;;RUB
Общ. площадь магазинов, тыс. м2;;;432;;401;376
Средний чек, руб;;;5 252;6 047;7 700;7 267
Товарный ассортимент, тыс ед;;;1 520;1 630;1 818;1 745
Количество заказов, млн;;;24.9;27.7;24.7;24.1
Выручка, млрд руб;56.2;86.2;132.3;170.1;;184.1
Операционная прибыль, млрд руб;-0.560;6.49;6.86;6.58;;9.45
EBITDA, млрд руб;2.90;7.50;10.00;12.8;;15.6
Чистая прибыль, млрд руб;0.390;2.79;3.40;2.84;;2.24
Чистая прибыль н/с, млрд руб;;;;1.41;3.37;0.919
Операционный денежный поток, млрд руб;0.886;2.80;1.41;5.81;;14.9
CAPEX, млрд руб;1.19;1.36;1.63;4.95;;5.20
FCF, млрд руб;;2.67;-1.84;-1.78;;-1.93
Див.выплата, млрд руб;;;;;1.50;0.500
Дивиденд, руб/акцию;;;;;3;1
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;;1.3%
Дивиденды/прибыль, %;0%;0%;0%;0%;;22%
Опер. расходы, млрд руб;13.7;20.3;31.6;45.4;;50.3
Себестоимость, млрд руб;43.1;59.4;93.9;118.7;;125.2
Амортизация, млрд руб;;;3.1;4.8;6.2;6.2
Расх на персонал, млрд руб;6.75;9.14;12.2;23.6;;27.5
Процентные расходы, млрд руб;0.322;0.600;0.990;2.44;;4.12
Активы, млрд руб;18.1;35.0;52.7;78.3;;70.6
Чистые активы, млрд руб;2.44;4.10;4.03;2.05;;3.62
Долг, млрд руб;4.96;4.52;9.64;22.1;;13.0
Наличность, млрд руб;0.960;1.69;1.56;9.29;;9.60
Чистый долг, млрд руб;4.00;2.83;8.08;12.8;;3.44
Цена акции ао, руб;210.0;210.0;210.0;84.8;;78.9
Число акций ао, млн;500.0;500.0;500.0;500.0;;500.0
Free Float, %;;;;;13.0%;13.0%
Капитализация, млрд руб;105.0;105.0;105.0;42.4;;39.4
EV, млрд руб;109.0;107.8;113.1;55.2;;42.9
Баланс стоимость, млрд руб;2.44;4.10;3.80;1.71;;3.27
EPS, руб;0.78;5.58;6.80;5.69;;4.48
FCF/акцию, руб;0.00;5.34;-3.68;-3.57;;-3.85
BV/акцию, руб;4.88;8.20;7.60;3.41;;6.53
Рентаб EBITDA, %;5.2%;8.7%;7.6%;7.5%;;8.5%
Чистая рентаб, %;0.7%;3.2%;2.6%;1.7%;;1.2%
Доходность FCF, %;0.0%;2.5%;-1.8%;-4.2%;;-4.9%
ROE, %;16.0%;68.0%;84.4%;138.5%;;61.9%
ROA, %;2.2%;8.0%;6.5%;3.6%;;3.2%
P/E;269.2;37.6;30.9;14.9;;17.6
P/FCF;;39.3;-57.0;-23.8;;-20.5
P/S;1.87;1.22;0.79;0.25;;0.21
P/BV;43.0;25.6;27.6;24.9;;12.1
EV/EBITDA;37.6;14.4;11.3;4.31;;2.75
Долг/EBITDA;1.38;0.38;0.81;1.00;;0.22
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;;0
CAPEX/Выручка, %;2%;2%;1%;3%;;3%
Дата отчета, 15.07.2024;;;;;04.02.2026;
Валюта отчета, RUB;;;;;RUB;
Выручка , млрд руб, 56.2;;;;;182.9;
Операционная прибыль , млрд руб, -0.560;;;;;10.6;
EBITDA , млрд руб, 2.90;;;;;17.6;
Чистая прибыль , млрд руб, 0.390;;;;;4.20;
Опер.денежный поток , млрд руб, 0.886;;;;;15.8;
CAPEX , млрд руб, 1.19;;;;;1.09;
FCF , млрд руб, 2.67;;;;;12.5;
Див доход, ао , %, 0.0%;;;;;4.0%;
Дивиденды/прибыль , %, 0%;;;;;36%;
Опер. расходы , млрд руб, 13.7;;;;;50.0;
Себестоимость , млрд руб, 43.1;;;;;123.4;
Расх на персонал , млрд руб, 6.75;;;;;26.2;
Процентные расходы , млрд руб, 0.322;;;;;3.71;
Активы , млрд руб, 18.1;;;;;68.6;
Чистые активы , млрд руб, 2.44;;;;;5.83;
Долг , млрд руб, 4.96;;;;;11.1;
Наличность , млрд руб, 0.960;;;;;12.9;
Чистый долг , млрд руб, 4.00;;;;;-1.76;
Цена акции ао , руб, 210.0;;;;;74.4;
Число акций ао , млн, 500.0;;;;;500.0;
Капитализация , млрд руб, 105.0;;;;;37.2;
EV , млрд руб, 109.0;;;;;35.4;
Баланс стоимость , млрд руб, 2.44;;;;;5.49;
EPS , руб, 0.78;;;;;8.40;
FCF/акцию , руб, 0.00;;;;;24.9;
BV/акцию , руб, 4.88;;;;;11.0;
Рентаб EBITDA , %, 5.2%;;;;;9.6%;
Чистая рентаб , %, 0.7%;;;;;2.3%;
Доходность FCF , %, 0.0%;;;;;33.5%;
ROE , %, 16.0%;;;;;72.0%;
ROA , %, 2.2%;;;;;6.1%;
P/E, 269.2;;;;;8.86;
P/FCF, 39.3;;;;;2.98;
P/S, 1.87;;;;;0.20;
P/BV, 43.0;;;;;6.78;
EV/EBITDA, 37.6;;;;;2.01;
Долг/EBITDA, 1.38;;;;;-0.10;
R&D/CAPEX , %, 0.00%;;;;;0;
CAPEX/Выручка , %, 2%;;;;;1%;
