;2025
Дата отчета;01.04.2026
Валюта отчета;RUB
Выручка , млрд руб;11.2
Операционная прибыль , млрд руб;1.07
EBITDA , млрд руб;1.34
Чистая прибыль , млрд руб;0.226
Опер.денежный поток , млрд руб;-8.41
CAPEX , млрд руб;0.027
FCF , млрд руб;-8.44
Див доход, ао , %;0.0%
Див доход, ап , %;0.0%
Дивиденды/прибыль , %;0%
Опер. расходы , млрд руб;1.61
Себестоимость , млрд руб;9.37
Амортизация , млрд руб;0.3
Расх на персонал , млрд руб;3.47
Процентные расходы , млрд руб;0.830
Активы , млрд руб;50.4
Чистые активы , млрд руб;-1.85
Долг , млрд руб;12.1
Наличность , млрд руб;10.5
Чистый долг , млрд руб;1.62
Цена акции ао , руб;7 850
Число акций ао , млн;2.88
Цена акции ап , руб;7 850
Число акций ап , млн;0.052
Капитализация , млрд руб;23.0
EV , млрд руб;24.6
Баланс стоимость , млрд руб;-1.86
EPS , руб;78.4
FCF/акцию , руб;-2 928
BV/акцию , руб;-643.7
Рентаб EBITDA , %;12.0%
Чистая рентаб , %;2.0%
Доходность FCF , %;-37.3%
ROE , %;-12.2%
ROA , %;0.4%
P/E;101.9
P/FCF;-2.73
P/S;2.07
P/BV;-12.4
EV/EBITDA;18.4
Долг/EBITDA;1.21
Персонал , чел;
Произв.труда , млн руб/чел/год;
Расходы/чел/год , тыс.р;
R&D/CAPEX , %;0.00%
CAPEX/Выручка , %;0%
