;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";28.04.2017;04.04.2018;30.04.2019;18.05.2020;01.03.2021;04.03.2022;01.04.2024;01.04.2024;02.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";5.40;11.8;7.46;5.26;4.54;7.42;8.20;11.9;16.3;12.1
"Операционная прибыль, млрд руб";-1.03;0.295;-0.970;-1.23;-1.53;-1.27;-0.800;-0.775;1.06;-0.329
"EBITDA, млрд руб";;;;;;;-0.788;-0.527;1.33;-0.060
"Чистая прибыль, млрд руб";-1.04;0.126;-1.11;-1.61;-1.94;-1.12;-1.66;-0.522;1.03;-0.183
"Операционный денежный поток, млрд руб";-1.60;-0.860;-1.25;-3.97;2.35;4.74;4.83;2.77;-7.92;-8.75
"CAPEX, млрд руб";0.034;0.046;0.064;0.018;0.161;0.118;0.092;0.056;0.033;0.028
"FCF, млрд руб";-1.64;-0.900;-1.31;-3.98;2.19;4.62;4.74;2.71;-7.95;-8.78
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Див доход, ап, %";;;;;;;;;;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";0.650;1.12;1.30;1.58;1.41;1.68;;0.026;0.059;0.051
"Себестоимость, млрд руб";5.79;10.4;7.13;4.92;3.73;7.04;9.37;12.9;17.3;13.2
"Амортизация, млрд руб";;;;;;;0.0;0.2;0.3;0.3
"Расх на персонал, млрд руб";1.05;1.23;1.85;1.85;2.02;2.60;3.03;3.62;3.31;3.47
"Процентные расходы, млрд руб";0.242;0.292;0.280;0.400;0.020;0.220;;1.06;1.51;1.18
"Активы, млрд руб";12.2;7.45;12.1;12.6;23.9;38.6;49.3;53.1;48.7;47.1
"Чистые активы, млрд руб";-3.22;-2.80;-3.75;-5.35;-5.94;-7.06;-8.30;-8.86;-2.54;-3.55
"Долг, млрд руб";3.37;3.08;4.40;7.32;8.14;10.4;11.6;11.8;8.45;8.93
"Наличность, млрд руб";1.22;0.320;1.21;0.076;6.38;13.2;19.6;22.1;16.0;9.13
"Чистый долг, млрд руб";2.15;2.76;3.19;7.24;1.76;-2.84;-8.00;-10.3;-7.51;-0.20
"Цена акции ао, руб";"8 100";"3 900";"4 180";"3 460";"3 740";"4 800";"4 700";"12 920";"7 850";"9 000"
"Число акций ао, млн";1.55;1.55;1.55;1.55;1.55;1.55;1.55;1.94;1.94;1.89
"Цена акции ап, руб";;;;;;;;;;"7 950"
"Число акций ап, млн";;;;;;;;;;0.052
"Капитализация, млрд руб";12.6;6.05;6.48;5.36;5.80;7.44;7.29;25.1;15.3;17.4
"EV, млрд руб";14.7;8.81;9.67;12.6;7.56;4.60;-0.72;14.8;7.74;17.2
"Баланс стоимость, млрд руб";-3.22;-2.80;-3.75;-5.35;-5.94;-7.06;-8.30;-8.86;-2.54;-3.55
"EPS, руб";-671.0;81.3;-716.1;"-1 039";"-1 252";-722.6;"-1 071";-268.6;527.5;-96.8
"FCF/акцию, руб";"-1 058";-580.6;-845.2;"-2 568";"1 413";"2 981";"3 058";"1 395";"-4 093";"-4 643"
"BV/акцию, руб";"-2 077";"-1 806";"-2 419";"-3 452";"-3 832";"-4 555";"-5 355";"-4 560";"-1 309";"-1 877"
"Рентаб EBITDA, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-9.6%;-4.4%;8.1%;-0.5%
"Чистая рентаб, %";-19.3%;1.1%;-14.9%;-30.6%;-42.7%;-15.1%;-20.2%;-4.4%;6.3%;-1.5%
"Доходность FCF, %";-13.1%;-14.9%;-20.2%;-74.2%;37.8%;62.1%;65.1%;10.8%;-52.1%;-51.6%
"ROE, %";32.3%;-4.5%;29.6%;30.1%;32.7%;15.9%;20.0%;5.9%;-40.3%;5.2%
"ROA, %";-8.5%;1.7%;-9.2%;-12.8%;-8.1%;-2.9%;-3.4%;-1.0%;2.1%;-0.4%
P/E;-12.1;48.0;-5.84;-3.33;-2.99;-6.64;-4.39;-48.1;14.9;-95.3
P/FCF;-7.66;-6.72;-4.95;-1.35;2.65;1.61;1.54;9.26;-1.92;-1.99
P/S;2.33;0.51;0.87;1.02;1.28;1.00;0.89;2.11;0.94;1.44
P/BV;-3.90;-2.16;-1.73;-1.00;-0.98;-1.05;-0.88;-2.83;-6.00;-4.91
EV/EBITDA;;;;;;;0.91;-28.1;5.84;-287.2
Долг/EBITDA;;;;;;;10.2;19.6;-5.67;3.38
"Персонал, чел";"1 614";"1 781";"1 978";"2 073";"2 108";"2 458";"2 697";"2 661";"2 389";
"Производительность труда, млн руб/чел/год";3.35;6.61;3.77;2.54;2.15;3.02;3.04;4.47;6.82;
"Расходы/чел/год, тыс.р";650.6;690.6;935.3;892.4;958.3;"1 058";"1 123";"1 360";"1 386";
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";1%;0%;1%;0%;4%;2%;1%;0%;0%;0%
