;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;10.07.2018;10.07.2018;;01.07.2018;10.07.2018;31.10.2019;23.07.2020;30.04.2021;04.05.2022;02.05.2023;27.04.2024;30.04.2025;30.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;4.99;5.43;5.64;5.88;6.26;6.31;6.53;6.30;7.79;7.58;8.25;8.68;10.4;9.26
Операционная прибыль, млрд руб;;;;;3.63;1.73;0.833;4.03;2.36;2.99;3.46;2.24;3.89;2.69
EBITDA, млрд руб;2.03;2.21;2.89;2.56;3.98;2.08;2.77;3.17;3.81;3.32;3.49;3.25;4.58;3.55
Чистая прибыль, млрд руб;1.33;1.50;1.85;2.17;2.64;1.35;1.16;0.650;0.943;1.83;2.24;0.698;2.19;0.859
Операционный денежный поток, млрд руб;;;;;2.21;1.86;1.80;0.490;0.955;3.35;3.45;2.29;2.80;2.85
CAPEX, млрд руб;;;1.51;1.56;1.68;0.868;0.780;0.800;4.75;6.38;2.87;2.29;1.80;2.00
FCF, млрд руб;;;;;3.33;0.653;0.693;-1.41;-1.61;-2.13;0.440;-0.617;-0.558;0.058
Див.выплата, млрд руб;;0.343;;;0.303;;;;0.504;;;;;
Дивиденд, руб/акцию;;0,4145;;;0,3676;;;;0,61;;;;;
Див доход, ао, %;;;0.0%;0.0%;4.0%;0.0%;0.0%;0.0%;0.5%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;23%;0%;0%;11%;0%;0%;0%;53%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;;;;0.486;2.00;2.98;1.02;2.57;1.93;1.20;2.04;2.10;1.95
Себестоимость, млрд руб;2.33;2.24;2.07;2.19;2.14;2.71;2.72;2.27;2.86;3.03;3.59;4.08;4.15;4.25
Амортизация, млрд руб;;;;;;;;;0.4;0.6;0.6;0.6;0.6;0.6
Расх на персонал, млрд руб;;;1.06;1.23;1.25;1.84;1.90;1.30;1.50;1.54;1.46;1.72;1.69;1.61
Процентные расходы, млрд руб;;;0.092;;0.640;0.472;0.000;0.500;0.990;1.000;0.730;1.29;1.70;1.40
Активы, млрд руб;;;;;23.5;25.5;28.9;22.9;27.2;29.2;30.8;32.1;33.2;32.0
Чистые активы, млрд руб;4.24;4.93;5.14;6.35;7.85;9.44;11.2;11.9;12.3;14.1;16.4;17.1;19.3;18.2
Долг, млрд руб;3.06;3.43;5.47;7.20;12.7;12.5;14.6;7.30;11.1;9.63;10.3;9.80;8.50;8.12
Наличность, млрд руб;0.354;0.016;0.024;0.019;0.234;0.103;11.5;0.300;3.43;1.95;3.00;1.90;0.226;1.19
Чистый долг, млрд руб;2.70;3.41;5.45;7.19;12.4;12.4;3.05;7.00;7.63;7.68;7.30;7.91;8.28;6.93
Цена акции ао, руб;;;16.0;15.9;9.20;8.36;31.0;53.2;112.0;123.7;88.9;56.0;43.0;48.3
Число акций ао, млн;826.9;826.9;826.9;826.9;826.9;826.9;826.9;826.9;826.9;826.9;826.9;826.9;826.9;826.9
Капитализация, млрд руб;0.00;0.00;13.2;13.1;7.61;6.91;25.7;44.0;92.6;102.3;73.5;46.3;35.6;39.9
EV, млрд руб;2.70;3.41;18.7;20.3;20.0;19.3;28.7;51.0;100.2;110.0;80.8;54.2;43.8;46.9
Баланс стоимость, млрд руб;4.24;4.93;5.14;6.35;7.85;9.44;11.2;11.9;12.3;14.1;16.4;17.0;19.3;18.2
EPS, руб;1.61;1.82;2.24;2.62;3.19;1.63;1.40;0.79;1.14;2.21;2.71;0.84;2.64;1.04
FCF/акцию, руб;0.00;0.00;0.00;0.00;4.03;0.79;0.84;-1.70;-1.95;-2.57;0.53;-0.75;-0.67;0.07
BV/акцию, руб;5.12;5.96;6.22;7.68;9.49;11.4;13.6;14.3;14.9;17.1;19.8;20.6;23.3;22.0
Рентаб EBITDA, %;40.6%;40.6%;51.2%;43.6%;63.6%;33.0%;42.4%;50.3%;48.9%;43.8%;42.3%;37.5%;44.0%;38.3%
