;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;07.04.2023;07.04.2023;10.07.2018;16.04.2019;03.06.2020;08.04.2021;08.04.2022;06.04.2023;09.04.2024;08.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";22.8;26.9;27.9;27.6;20.1;22.0;21.0;20.3;22.6;25.3;32.2;33.6;39.7
"Операционная прибыль, млрд руб";;;3.16;-0.830;-3.55;6.54;1.35;-0.030;-9.43;12.1;7.20;-13.4;-17.8
"EBITDA, млрд руб";3.84;4.31;5.16;3.82;-2.24;7.56;3.46;3.25;4.19;5.30;5.90;-9.84;-14.1
"Чистая прибыль, млрд руб";1.82;1.48;1.44;1.67;-4.77;4.59;-0.780;-2.00;-10.2;8.00;3.00;-20.3;-28.3
"Чистая прибыль н/с, млрд руб";;;;-1.55;;;;;;;;;
"Операционный денежный поток, млрд руб";;;2.77;3.19;3.41;3.61;1.62;1.67;4.43;0.670;5.12;-2.52;-2.00
"CAPEX, млрд руб";;;1.67;1.84;2.52;4.03;4.04;3.15;461.0;5.95;10.3;10.0;9.54
"FCF, млрд руб";;;-0.500;-0.180;0.066;-1.10;-3.95;-3.63;-3.00;-8.51;-9.47;-22.0;-23.5
"Див.выплата, млрд руб";;;;;0.000;0.000;;;;;;;
"Дивиденд, руб/акцию";;;;;0;0;;;;;;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Див доход, ап, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";23.9;27.6;28.9;30.0;31.3;36.3;33.7;34.6;37.5;38.2;47.0;54.2;60.5
"Амортизация, млрд руб";;;;;;;;;;1.9;2.7;3.5;3.7
"Расх на персонал, млрд руб";;;9.19;9.87;10.5;11.2;11.8;11.7;12.1;13.7;15.4;16.8;17.9
"Процентные расходы, млрд руб";;;1.60;1.55;0.978;0.761;0.710;0.850;1.13;1.92;3.10;6.65;9.67
"Активы, млрд руб";;;31.6;30.7;28.2;33.3;57.6;62.4;56.9;52.4;64.5;63.8;67.4
"Чистые активы, млрд руб";8.53;10.1;11.5;9.90;6.14;10.8;3.08;1.06;-8.89;-0.750;7.00;-20.2;-29.5
"Долг, млрд руб";10.4;11.6;12.2;12.1;12.2;13.6;17.4;21.2;24.8;33.0;38.1;58.7;72.2
"Наличность, млрд руб";0.318;0.343;0.426;0.225;0.830;0.928;0.220;0.240;0.540;0.260;0.780;0.497;0.618
"Чистый долг, млрд руб";10.1;11.3;11.7;11.8;11.4;12.7;17.2;21.0;24.3;32.8;37.3;58.2;71.5
"Цена акции ао, руб";;;0.220;0.290;0.262;0.225;0.280;0.380;0.305;0.264;0.609;0.480;0.464
"Число акций ао, млн";"7 964";"7 964";"7 964";"7 964";"7 964";"7 964";"7 964";"7 964";"7 964";"7 964";"10 188";"10 188";"10 188"
"Цена акции ап, руб";;;0.280;0.280;0.248;0.220;0.259;0.363;0.304;0.263;0.610;0.419;0.368
"Число акций ап, млн";"1 333";"1 333";"1 333";"1 333";"1 333";"1 333";"1 333";"1 333";"1 333";"1 333";"1 334";"1 334";"1 333"
"Капитализация, млрд руб";0.00;0.00;2.13;2.68;2.42;2.09;2.57;3.51;2.83;2.45;7.02;5.45;5.22
"EV, млрд руб";10.1;11.3;13.9;14.5;13.8;14.8;19.8;24.5;27.1;35.2;44.3;63.6;76.8
"Баланс стоимость, млрд руб";8.53;10.1;11.5;9.90;6.14;10.8;3.08;1.06;-8.89;-0.75;7.00;-20.2;-29.5
"EPS, руб";0.23;0.19;0.18;0.21;-0.60;0.58;-0.10;-0.25;-1.28;1.00;0.29;-1.99;-2.78
"FCF/акцию, руб";0.00;0.00;-0.06;-0.02;0.01;-0.14;-0.50;-0.46;-0.38;-1.07;-0.93;-2.16;-2.31
"BV/акцию, руб";1.07;1.27;1.44;1.24;0.77;1.36;0.39;0.13;-1.12;-0.09;0.69;-1.98;-2.90
"Рентаб EBITDA, %";16.8%;16.0%;18.5%;13.8%;-11.1%;34.4%;16.5%;16.0%;18.5%;20.9%;18.3%;-29.3%;-35.6%
"Чистая рентаб, %";8.0%;5.5%;5.2%;6.0%;-23.7%;20.9%;-3.7%;-9.9%;-45.2%;31.6%;9.3%;-60.3%;-71.5%
"Доходность FCF, %";;;-28.5%;-7.8%;3.2%;-61.4%;-177.5%;-119.9%;-123.5%;-405.5%;-152.6%;-449.3%;-496.9%
"ROE, %";21.3%;14.6%;12.6%;16.9%;-77.7%;42.5%;-25.3%;-188.7%;115.0%;"-1 066.7%";42.9%;100.4%;96.0%
"ROA, %";;;4.6%;5.4%;-16.9%;13.8%;-1.4%;-3.2%;-18.0%;15.3%;4.7%;-31.8%;-42.0%
P/E;0.00;0.00;1.48;1.61;-0.51;0.45;-3.30;-1.76;-0.28;0.31;2.34;-0.27;-0.18
P/FCF;;;-4.25;-14.9;36.6;-1.90;-0.65;-0.97;-0.94;-0.29;-0.74;-0.25;-0.22
P/S;0.00;0.00;0.08;0.10;0.12;0.09;0.12;0.17;0.13;0.10;0.22;0.16;0.13
P/BV;0.00;0.00;0.19;0.27;0.39;0.19;0.83;3.31;-0.32;-3.27;1.00;-0.27;-0.18
EV/EBITDA;2.63;2.62;2.69;3.80;-6.17;1.96;5.72;7.54;6.47;6.64;7.51;-6.47;-5.44
Долг/EBITDA;2.63;2.62;2.28;3.10;-5.09;1.68;4.98;6.46;5.79;6.18;6.33;-5.91;-5.07
"Персонал, чел";;;;;;;;;;"4 384";"4 283";"4 238";
"Производительность труда, млн руб/чел/год";;;;;;;;;;5.78;7.52;7.92;
"Расходы/чел/год, тыс.р";;;;;;;;;;"3 118";"3 598";"3 959";
"R&D/CAPEX, %";;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;6%;7%;13%;18%;19%;16%;"2 037%";23%;32%;30%;24%
