;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;10.07.2018;10.07.2018;10.07.2018;10.07.2018;10.07.2018;06.05.2020;06.05.2020;21.09.2021;29.04.2022;02.05.2024;02.05.2024;30.04.2025;17.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;12.2;12.7;12.9;14.1;15.2;15.9;16.7;16.7;17.8;17.9;18.6;20.2;23.0;21.2
Операционная прибыль, млрд руб;;;;0.101;0.169;0.062;0.443;-1.87;0.359;0.880;1.09;0.846;1.59;1.04
EBITDA, млрд руб;0.205;0.115;0.191;0.101;0.169;0.062;0.440;-1.87;0.359;0.970;1.18;0.950;1.71;1.15
Чистая прибыль, млрд руб;0.138;0.094;0.067;0.004;-0.038;-0.230;0.100;-1.73;0.120;0.510;0.620;0.520;0.863;0.676
Операционный денежный поток, млрд руб;;;;0.103;-0.294;-0.208;-0.254;0.270;0.601;0.430;0.760;0.587;0.320;0.218
CAPEX, млрд руб;;;;0.016;0.041;0.212;0.220;0.170;0.244;0.165;0.150;0.146;0.131;0.124
FCF, млрд руб;;;;0.102;-0.325;-0.410;-0.462;0.238;0.357;0.285;0.630;0.473;0.189;0.165
Див доход, ао, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Див доход, ап, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;13.8;14.0;14.3;15.6;17.1;17.6;18.0;18.2;19.6;19.4;20.2;21.6;24.2;22.3
Амортизация, млрд руб;;;;;;;;;;0.1;0.1;0.1;0.1;0.1
Расх на персонал, млрд руб;;;;;;0.287;0.300;0.310;0.296;0.306;0.350;0.551;0.612;0.573
Процентные расходы, млрд руб;;;;0.144;0.200;0.204;0.238;0.280;0.238;0.260;0.260;0.180;0.115;0.167
Активы, млрд руб;;;;;4.19;4.75;6.18;5.51;5.00;;5.71;5.48;6.05;4.85
Чистые активы, млрд руб;0.313;0.403;0.442;0.227;0.087;-0.250;-0.260;-1.90;-1.65;;0.359;0.452;1.55;1.08
Долг, млрд руб;0.650;0.726;1.22;1.09;1.37;1.80;2.49;2.54;1.89;;1.20;1.000;0.600;0.750
Наличность, млрд руб;0.058;0.159;0.068;0.104;0.065;0.107;0.035;0.360;0.069;;0.307;0.626;0.415;0.133
Чистый долг, млрд руб;0.59;0.57;1.15;0.99;1.31;1.69;2.46;2.18;1.82;0.00;0.89;0.37;0.19;0.62
Цена акции ао, руб;;;;114.0;80.0;73.0;170.0;162.0;206.0;178.0;1 074;694.0;800.0;842.0
Число акций ао, млн;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1
Цена акции ап, руб;;;;68.0;87.0;67.0;88.5;89.5;91.0;82.5;256.0;168.5;185.0;214.0
Число акций ап, млн;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51;4.51
Капитализация, млрд руб;0.00;0.00;0.00;2.26;1.76;1.55;3.31;3.18;3.94;3.42;19.6;12.7;14.5;15.4
EV, млрд руб;0.59;0.57;1.15;3.25;3.07;3.25;5.77;5.36;5.77;3.42;20.5;13.0;14.7;16.0
Баланс стоимость, млрд руб;0.31;0.40;0.44;0.23;0.09;-0.25;-0.26;-1.90;-1.65;0.00;0.36;0.45;1.55;1.08
EPS, руб;8.05;5.48;3.91;0.23;-2.22;-13.4;5.83;-100.9;7.00;29.7;36.2;30.3;50.3;39.4
FCF/акцию, руб;0.00;0.00;0.00;5.95;-19.0;-23.9;-26.9;13.9;20.8;16.6;36.7;27.6;11.0;9.62
BV/акцию, руб;18.3;23.5;25.8;13.2;5.07;-14.6;-15.3;-111.0;-96.4;0.00;20.9;26.4;90.4;63.0
Рентаб EBITDA, %;1.7%;0.9%;1.5%;0.7%;1.1%;0.4%;2.6%;-11.2%;2.0%;5.4%;6.4%;4.7%;7.4%;5.4%
Чистая рентаб, %;1.1%;0.7%;0.5%;0.0%;-0.2%;-1.4%;0.6%;-10.4%;0.7%;2.9%;3.3%;2.6%;3.8%;3.2%
Доходность FCF, %;;;;5.2%;-23.7%;-32.8%;-15.9%;8.6%;10.1%;9.3%;3.4%;4.0%;1.4%;1.1%
ROE, %;44.1%;23.3%;15.2%;1.8%;-43.7%;92.0%;-38.5%;91.1%;-7.3%;;172.7%;115.0%;55.7%;62.6%
ROA, %;;;;;-0.9%;-4.8%;1.6%;-31.4%;2.4%;;10.9%;9.5%;14.3%;13.9%
P/E;0.00;0.00;0.00;565.2;-46.4;-6.75;33.1;-1.84;32.8;6.71;31.6;24.3;16.9;22.8
