;2022;2023;2024;2025;LTM
Дата отчета;28.04.2023;29.04.2024;30.04.2025;30.04.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;3.41;2.58;4.48;10.7;5.38
Операционная прибыль, млрд руб;1.86;0.549;2.97;5.58;3.22
EBITDA, млрд руб;;0.666;3.07;6.06;3.36
Чистая прибыль, млрд руб;3.39;-1.10;3.92;3.40;3.16
Операционный денежный поток, млрд руб;1.85;17.3;8.79;7.85;-9.97
CAPEX, млрд руб;0.000;16.2;1.74;8.20;6.94
FCF, млрд руб;1.85;2.24;10.7;-0.227;3.31
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0
Див доход, ап, %;;;0.0%;0.0%;
Дивиденды/прибыль, %;0%;0%;0%;0%;0
Опер. расходы, млрд руб;1.55;2.03;1.50;5.15;2.16
Амортизация, млрд руб;;0.1;0.1;0.5;0.1
Расх на персонал, млрд руб;;0.643;0.451;1.19;0.726
Процентные расходы, млрд руб;;0.091;0.040;0.592;0.000
Активы, млрд руб;44.0;52.4;72.5;103.3;86.5
Чистые активы, млрд руб;34.9;35.5;39.4;41.0;38.7
Долг, млрд руб;5.70;4.93;0.195;0.000;0.000
Наличность, млрд руб;;12.6;25.6;25.3;21.7
Чистый долг, млрд руб;5.70;-7.65;-25.4;-25.3;-21.7
Цена акции ао, руб;2 100;3 040;3 245;4 125;4 410
Число акций ао, млн;2.66;2.66;2.66;2.66;2.66
Цена акции ап, руб;;;1 000;1 000;
Число акций ап, млн;;;0.732;0.732;0.732
Капитализация, млрд руб;5.59;8.09;9.36;11.7;11.7
EV, млрд руб;11.3;0.44;-16.0;-13.6;-9.99
Баланс стоимость, млрд руб;34.9;35.5;39.4;41.0;38.7
EPS, руб;1 274;-411.7;1 473;1 278;1 189
FCF/акцию, руб;695.5;841.7;4 038;-85.3;1 246
BV/акцию, руб;13 120;13 344;14 811;15 398;14 563
Рентаб EBITDA, %;0.0%;25.8%;68.7%;56.5%;62.4%
Чистая рентаб, %;99.4%;-42.5%;87.5%;31.7%;58.8%
Доходность FCF, %;33.1%;27.7%;124.4%;-2.1%;28.3%
ROE, %;9.7%;-3.1%;9.9%;8.3%;8.2%
ROA, %;7.7%;-2.1%;5.4%;3.3%;3.7%
P/E;1.65;-7.38;2.39;3.44;3.71
P/FCF;3.02;3.61;0.87;-51.6;3.54
P/S;1.64;3.14;2.09;1.09;2.18
P/BV;0.16;0.23;0.24;0.29;0.30
EV/EBITDA;;0.66;-5.22;-2.24;-2.97
Долг/EBITDA;;-11.5;-8.26;-4.17;-6.47
Персонал, чел;;;52;179;158
Производительность труда, млн руб/чел/год;;;86.1;59.9;34.1
Расходы/чел/год, тыс.р;;;8 673;6 665;4 595
R&D/CAPEX, %;;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;629%;39%;77%;129%
