;2022;2023;2024;2025
Дата отчета;05.05.2024;02.05.2024;12.05.2025;04.05.2026
Валюта отчета;RUB;RUB;RUB;RUB
Выручка, млрд руб;2.45;3.75;3.56;3.59
Операционная прибыль, млрд руб;-1.23;-0.370;0.000;0.201
EBITDA, млрд руб;;-0.098;0.260;0.400
Чистая прибыль, млрд руб;-1.34;-0.660;-0.453;-0.258
Операционный денежный поток, млрд руб;-1.23;-0.430;0.416;-0.483
CAPEX, млрд руб;0.080;0.061;0.196;0.008
FCF, млрд руб;-1.31;-0.530;0.171;-0.491
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%
Опер. расходы, млрд руб;0.670;0.730;0.837;0.708
Себестоимость, млрд руб;3.14;3.37;3.06;2.40
Амортизация, млрд руб;0.3;0.3;0.3;0.2
Расх на персонал, млрд руб;1.45;1.72;1.98;1.85
Процентные расходы, млрд руб;;0.278;0.355;0.439
Активы, млрд руб;9.78;9.70;11.3;10.9
Чистые активы, млрд руб;-1.90;-2.56;-3.02;-4.15
Долг, млрд руб;3.62;4.50;4.17;4.75
Наличность, млрд руб;0.020;0.110;0.073;0.211
Чистый долг, млрд руб;3.60;4.39;4.10;4.54
Цена акции ао, руб;3.70;9.87;7.50;6.71
Число акций ао, млн;562.0;562.0;562.0;562.0
Капитализация, млрд руб;2.08;5.55;4.22;3.77
EV, млрд руб;5.68;9.94;8.32;8.31
Баланс стоимость, млрд руб;-2.26;-2.76;-3.23;-4.57
EPS, руб;-2.38;-1.17;-0.81;-0.46
FCF/акцию, руб;-2.33;-0.94;0.30;-0.87
BV/акцию, руб;-4.02;-4.91;-5.75;-8.13
Рентаб EBITDA, %;0.0%;-2.6%;7.3%;11.2%
Чистая рентаб, %;-54.7%;-17.6%;-12.7%;-7.2%
Доходность FCF, %;-63.0%;-9.6%;4.1%;-13.0%
ROE, %;70.5%;25.8%;15.0%;6.2%
ROA, %;-13.7%;-6.8%;-4.0%;-2.4%
P/E;-1.55;-8.40;-9.30;-14.6
P/FCF;-1.59;-10.5;24.7;-7.68
P/S;0.85;1.48;1.18;1.05
P/BV;-0.92;-2.01;-1.30;-0.83
EV/EBITDA;;-101.4;32.0;20.8
Долг/EBITDA;;-44.8;15.8;11.4
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;3%;2%;6%;0%
