;2022;2023;2024;LTM
"Дата отчета";04.09.2025;04.09.2025;04.09.2025;19.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB
"Выручка, млрд руб";1.65;3.03;4.60;5.87
"Операционная прибыль, млрд руб";0.923;1.67;2.01;2.25
"EBITDA, млрд руб";1.15;2.04;2.83;3.39
"Чистая прибыль, млрд руб";0.901;1.71;2.04;2.31
"EBITDAC, млрд руб";0.634;0.934;1.73;
"Операционный денежный поток, млрд руб";1.04;1.03;2.15;2.27
"CAPEX, млрд руб";0.338;0.531;1.30;1.37
"FCF, млрд руб";0.651;0.598;0.881;1.15
"Див доход, ао, %";;;;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0
"Опер. расходы, млрд руб";0.147;0.506;0.768;0.981
"Себестоимость, млрд руб";0.506;0.852;1.82;2.59
"Амортизация, млрд руб";0.2;0.3;0.8;1.1
"Расх на персонал, млрд руб";0.182;0.214;0.438;0.658
"Активы, млрд руб";2.39;3.65;5.50;6.20
"Чистые активы, млрд руб";1.88;2.54;3.97;4.73
"Долг, млрд руб";0.000;0.000;0.000;0.000
"Наличность, млрд руб";0.748;0.296;0.444;0.451
"Чистый долг, млрд руб";-0.75;-0.30;-0.44;-0.45
"Цена акции ао, руб";;;;121.0
"Число акций ао, млн";;;;165.0
"Free Float, %";;;;16.7%
"Капитализация, млрд руб";0.00;0.00;0.00;20.0
"EV, млрд руб";-0.75;-0.30;-0.44;19.5
"Баланс стоимость, млрд руб";1.27;1.55;2.60;3.18
"EPS, руб";;;;14.0
"FCF/акцию, руб";;;;6.99
"BV/акцию, руб";;;;19.3
"Рентаб EBITDA, %";69.4%;67.3%;61.5%;57.7%
"Чистая рентаб, %";54.5%;56.4%;44.4%;39.4%
"Доходность FCF, %";;;;5.8%
"ROE, %";48.0%;67.4%;51.5%;48.9%
"ROA, %";37.8%;46.8%;37.1%;37.3%
P/E;0.00;0.00;0.00;8.64
P/FCF;0.00;0.00;0.00;17.3
P/S;0.00;0.00;0.00;3.40
P/BV;0.00;0.00;0.00;6.28
EV/EBITDA;-0.65;-0.15;-0.16;5.76
Долг/EBITDA;-0.65;-0.15;-0.16;-0.13
"Персонал, чел";162;234;364;434
"Производительность труда, млн руб/чел/год";10.2;12.9;12.6;13.5
"Расходы/чел/год, тыс.р";"1 123";914.5;"1 203";"1 516"
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";20%;18%;28%;23%
