;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";02.06.2023;02.06.2023;02.06.2023;02.06.2023;02.06.2023;06.07.2018;06.07.2018;27.06.2018;27.06.2018;03.06.2023;27.04.2020;27.04.2020;20.04.2021;;27.04.2024;27.04.2024;30.04.2025;03.09.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча коксующегося угля, млн т";;3.46;4.21;4.08;3.95;3.47;3.66;3.58;3.42;0.000;0.000;;;;;;;
"Экспортная цена на уголь, $/т";;65;;;;;;;;;;;;;;;;
"Добыча энерг. угля, млн т";;2.46;3.20;0.000;0.000;0.000;0.000;;;;;;;;;;;
"Реализация угля, млн т";2.95;2.48;;;;;;;;;;;;;;;;
"Выручка, млрд руб";27.9;14.3;20.6;23.1;17.6;13.8;12.2;12.4;4.73;0.286;0.006;0.006;0.006;;0.006;0.006;0.006;0.006
"Операционная прибыль, млрд руб";5.46;-0.060;4.30;2.87;;;;;;;;;;;;0.010;0.010;0.004
"EBITDA, млрд руб";4.71;1.73;;;;1.24;0.114;1.04;-1.23;;;;;;;;;
"Чистая прибыль, млрд руб";3.06;-1.32;2.51;1.83;0.000;-1.98;-1.04;-1.07;-0.410;0.088;0.068;0.076;0.084;;3.43;1.11;-2.04;-1.48
"CAPEX, млрд руб";;;;4.00;2.24;2.42;1.53;1.95;2.00;;;;;;;;;
"Див.выплата, млрд руб";0.195;;;;;;;;;;;;;;;;;
"Дивиденд, руб/акцию";1,332;;;;;;;;;;;;;;;;;
"Див доход, ао, %";;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";6%;0%;0%;0%;;0%;0%;0%;0%;0%;0%;0%;0%;;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;0.004;0.004;
"Себестоимость, млрд руб";11.3;18.6;14.9;19.2;;10.2;10.3;10.4;13.4;;0.002;0.001;0.001;;;;;
"Расх на персонал, млрд руб";;;1.96;2.38;2.56;2.58;2.39;2.24;1.50;;;;;;;;;
"Процентные расходы, млрд руб";;;;;;;;0.752;0.126;;;;;;;;;
