;2021;2022;2023;2024;LTM
"Дата отчета";29.04.2022;30.05.2023;03.04.2024;30.04.2025;14.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB
"Чистая прибыль, млрд руб";0.250;0.390;0.647;0.325;-0.138
"Операционный денежный поток, млрд руб";-0.230;0.087;0.286;0.122;-1.01
"CAPEX, млрд руб";;;;;0.573
"Див.выплата, млрд руб";;;;;0.233
"Дивиденд, руб/акцию";;;;;0,08
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;5.1%
"Дивиденды/прибыль, %";0%;0%;0%;0%;-169%
"Опер. расходы, млрд руб";1.000;0.880;1.18;1.32;1.55
"Расх на персонал, млрд руб";;0.371;0.411;0.478;0.459
"Процентные расходы, млрд руб";0.440;0.470;0.400;0.484;0.735
"Активы, млрд руб";;;;8.33;10.1
"Чистые активы, млрд руб";;;;4.03;5.32
"Долг, млрд руб";6.85;7.37;7.62;3.56;3.91
"Наличность, млрд руб";0.150;0.200;0.330;0.350;0.553
"Чистый долг, млрд руб";6.70;7.17;7.29;3.21;3.36
"Цена акции ао, руб";3.00;3.00;2.26;1.46;1.57
"Число акций ао, млн";"1 898";"1 898";"1 898";"2 203";"2 918"
"Free Float, %";;;30.0%;;
"Капитализация, млрд руб";5.69;5.69;4.29;3.22;4.59
"EV, млрд руб";12.4;12.9;11.6;6.43;7.95
"Баланс стоимость, млрд руб";0.00;0.00;0.00;2.17;2.91
"EPS, руб";0.13;0.21;0.34;0.15;-0.05
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0
"BV/акцию, руб";0.00;0.00;0.00;0.99;1.00
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%
"ROE, %";;;;8.1%;-2.6%
"ROA, %";;;9.4%;3.9%;-1.4%
P/E;22.8;14.6;6.64;9.92;-33.3
P/BV;;;;1.48;1.58
"Персонал, чел";;292;303;475;560
"Производительность труда, млн руб/чел/год";;6.71;8.28;0.00;0
"Расходы/чел/год, тыс.р";;"1 271";"1 356";"1 006";819.6
"R&D/CAPEX, %";;;;;0
"IR рейтинг";;;5.0;5.0;5.0
"Качество фин.отчетности";;;5;5;5
"Презентации для инвесторов";;;5;5;5
"Присутствие на смартлабе";;;5;5;5
"Годовой отчет";;;5;5;5
"Сайт для инвесторов";;;5;5;5
"Календарь инвесторов";;;5;5;5
"Обратная связь";;;5;5;5
