;2015;2016;2017;2018;2019;2020;2021;2022
"Дата отчета";;31.05.2021;28.04.2018;;;;;
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";121.2;150.2;164.6;;;;;
"EBITDA, млрд руб";9.85;13.5;14.8;;;;;
"Чистая прибыль, млрд руб";-2.20;0.894;3.29;;;;;
"Чистая прибыль н/с, млрд руб";-2.21;8.12;;;;;;
"CAPEX, млрд руб";5.51;4.94;5.39;;;;;
"FCF, млрд руб";;;-11.3;;;;;
"Див.выплата, млрд руб";0.002;0.002;0.006;0.006;0.007;0.006;;
"Дивиденд, руб/акцию";;0;0;;;;;
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденд ап, руб/акцию";1,34;1,58;4,39;3,92;5,13;4,27;;
"Див доход, ап, %";;0.4%;;1.1%;1.3%;1.3%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;;;;;
"Себестоимость, млрд руб";99.0;124.1;133.1;;;;;
"НИОКР, млрд руб";0.002;0.045;0.055;;;;;
"Расх на персонал, млрд руб";19.3;20.6;20.4;;;;;
"Процентные расходы, млрд руб";9.83;8.35;7.45;;;;;
"Чистые активы, млрд руб";-8.39;-2.60;1.28;;;;;
"Долг, млрд руб";63.5;57.9;53.1;;;;;
"Наличность, млрд руб";4.59;7.94;6.78;;;;;
"Чистый долг, млрд руб";58.9;50.0;46.4;0.00;0.00;0.00;0.00;0.00
"Цена акции ао, руб";440.0;559.0;800.0;471.0;439.0;387.0;455.0;357.0
"Число акций ао, млн";17.6;17.6;17.6;17.6;17.6;17.6;17.6;17.6
"Цена акции ап, руб";;440.0;;348.0;390.0;321.0;355.0;239.5
"Число акций ап, млн";1.45;1.45;1.45;1.45;1.45;1.45;1.45;1.45
"Капитализация, млрд руб";7.76;10.5;14.1;8.82;8.31;7.29;8.54;6.65
"EV, млрд руб";66.7;60.5;60.5;8.82;8.31;7.29;8.54;6.65
"Баланс стоимость, млрд руб";-12.0;-7.21;-5.07;0.00;0.00;0.00;0.00;0.00
"EPS, руб";-124.8;50.7;186.2;0.00;0.00;0.00;0.00;0.00
"FCF/акцию, руб";0.00;0.00;-640.5;0.00;0.00;0.00;0.00;0.00
"BV/акцию, руб";-682.6;-408.9;-287.1;0.00;0.00;0.00;0.00;0.00
"Рентаб EBITDA, %";8.1%;9.0%;9.0%;;;;;
"Чистая рентаб, %";-1.8%;0.6%;2.0%;;;;;
"Доходность FCF, %";0.0%;0.0%;-80.1%;0.0%;0.0%;0.0%;0.0%;0.0%
"ROE, %";26.2%;-34.4%;256.7%;;;;;
P/E;-3.53;11.7;4.30;;;;;
P/FCF;;;-1.25;;;;;
P/S;0.06;0.07;0.09;;;;;
P/BV;-0.64;-1.46;-2.79;;;;;
EV/EBITDA;6.77;4.48;4.09;;;;;
Долг/EBITDA;5.98;3.70;3.13;;;;;
"R&D/CAPEX, %";0.04%;0.91%;1.02%;;;;;
"CAPEX/Выручка, %";5%;3%;3%;;;;;
