;2019;2020;2021;2022;2023;2024
"Дата отчета";08.05.2020;30.04.2021;22.04.2022;28.04.2023;22.04.2024;29.04.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Операционная прибыль, млрд руб";-0.015;-0.015;-0.200;-0.021;-0.024;-0.027
"Чистая прибыль, млрд руб";0.650;0.760;0.470;1.21;0.022;2.23
"Див.выплата, млрд руб";;0.700;;;;2.03
"Дивиденд, руб/акцию";;1,5;;;;4,29894
"Див доход, ао, %";;;;0.0%;;4.3%
"Дивиденды/прибыль, %";0%;92%;0%;0%;0%;91%
"Активы, млрд руб";38.9;37.2;40.5;36.3;38.1;42.9
"Чистые активы, млрд руб";38.9;37.2;40.5;36.3;38.1;42.8
"Наличность, млрд руб";;;;;0.567;0.792
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;-0.57;-0.79
"Цена акции ао, руб";;;;88.5;;100.0
"Число акций ао, млн";;;;;;471.4
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;47.1
"EV, млрд руб";0.00;0.00;0.00;0.00;-0.57;46.4
"Баланс стоимость, млрд руб";38.9;37.2;40.5;36.3;38.1;42.8
"EPS, руб";;;;;;4.73
"FCF/акцию, руб";;;;;;0.00
"BV/акцию, руб";;;;;;90.9
"Доходность FCF, %";;;;0.0%;;0.0%
"ROE, %";1.7%;2.0%;1.2%;3.3%;0.1%;5.2%
"ROA, %";1.7%;2.0%;1.2%;3.3%;0.1%;5.2%
P/E;0.00;0.00;0.00;0.00;0.00;21.1
P/BV;0.00;0.00;0.00;0.00;0.00;1.10
