;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";07.07.2018;07.07.2018;28.06.2018;07.06.2018;26.04.2019;26.04.2019;27.11.2020;26.04.2021;04.05.2022;03.05.2023;27.04.2024;28.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";60.7;65.6;84.5;108.9;82.9;59.1;65.2;118.0;209.7;;;;
"Операционная прибыль, млрд руб";;;;;1.37;0.823;-51.4;-43.2;14.5;;;;
"EBITDA, млрд руб";6.38;5.03;4.51;12.7;6.20;5.08;-45.8;19.5;27.9;;;;
"Чистая прибыль, млрд руб";1.15;0.048;-2.29;1.21;-1.04;-12.5;-69.2;-68.4;5.74;27.3;-5.39;11.4;2.52
"Чистая прибыль н/с, млрд руб";;;9.39;-7.30;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;28.9;3.69;23.5;-6.20;28.1;;;;
"CAPEX, млрд руб";;;5.03;7.05;9.54;16.2;15.1;11.1;10.5;;;;
"FCF, млрд руб";;;;;23.5;-18.0;2.10;-15.8;8.77;;;;
"Див.выплата, млрд руб";;;;1.11;1.52;;;;;;;;
"Дивиденд, руб/акцию";;;;0,9;1,14;;;;;;;;
"Див доход, ао, %";;;0.0%;9.7%;8.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;92%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;20.9;14.4;67.3;82.0;49.7;;;;
"Себестоимость, млрд руб";44.8;52.4;70.9;78.9;60.7;43.8;49.2;79.3;145.5;;;;
"НИОКР, млрд руб";;;0.190;0.476;0.003;0.065;0.130;0.990;1.000;;;;
"Расх на персонал, млрд руб";;;14.7;16.9;18.2;18.6;18.4;23.4;21.0;;;;
"Процентные расходы, млрд руб";;;2.45;9.02;6.39;5.04;5.63;5.69;5.47;;;;
"Активы, млрд руб";;;;;196.9;238.9;141.5;233.4;306.8;389.1;596.7;633.0;647.9
"Чистые активы, млрд руб";26.4;43.2;52.6;47.7;47.3;31.4;-39.3;-102.3;-0.250;47.3;65.9;97.8;108.8
"Долг, млрд руб";27.9;50.4;75.9;135.5;105.8;139.5;119.2;190.6;142.8;;;;
"Наличность, млрд руб";13.0;24.5;24.0;58.7;36.6;25.7;14.4;19.0;48.7;;;;
"Чистый долг, млрд руб";14.9;25.9;51.9;76.9;69.2;113.8;104.8;171.6;94.1;0.00;0.00;0.00;0
"Цена акции ао, руб";;;10.4;9.29;14.3;35.4;34.9;24.8;22.2;38.4;62.0;27.2;27.4
"Число акций ао, млн";"1 230";"1 230";"1 230";"1 230";"1 230";"1 332";"1 332";"3 084";"6 786";"10 430";"10 430";"12 052";"12 362"
"Капитализация, млрд руб";0.00;0.00;12.7;11.4;17.5;47.2;46.5;76.5;150.8;400.5;646.6;327.8;338.7
"EV, млрд руб";14.9;25.9;64.6;88.3;86.8;161.0;151.3;248.1;244.8;400.5;646.6;327.8;338.7
"Баланс стоимость, млрд руб";26.4;43.2;25.0;20.9;7.63;-21.2;-54.0;-102.3;-0.27;46.9;65.9;97.8;108.8
"EPS, руб";0.93;0.04;-1.86;0.98;-0.85;-9.37;-51.9;-22.2;0.85;2.61;-0.52;0.94;0.20
"FCF/акцию, руб";0.00;0.00;0.00;0.00;19.1;-13.5;1.58;-5.13;1.29;0.00;0.00;0.00;0
"BV/акцию, руб";21.4;35.1;20.3;17.0;6.20;-15.9;-40.6;-33.2;-0.04;4.49;6.32;8.11;8.80
"Рентаб EBITDA, %";10.5%;7.7%;5.3%;11.7%;7.5%;8.6%;-70.3%;16.5%;13.3%;;;;
"Чистая рентаб, %";1.9%;0.1%;-2.7%;1.1%;-1.3%;-21.1%;-106.2%;-58.0%;2.7%;;;;
"Доходность FCF, %";;;0.0%;0.0%;133.8%;-38.2%;4.5%;-20.7%;5.8%;0.0%;0.0%;0.0%;0.0%
"ROE, %";4.3%;0.1%;-4.4%;2.5%;-2.2%;-39.8%;176.3%;66.9%;"-2 296.0%";57.6%;-8.2%;11.6%;2.3%
"ROA, %";;;;;-0.5%;-5.2%;-48.9%;-29.3%;1.9%;7.0%;-0.9%;1.8%;0.4%
P/E;0.00;0.00;-5.56;9.47;-16.9;-3.78;-0.67;-1.12;26.3;14.7;-120.0;28.8;134.5
P/FCF;;;;;0.75;-2.62;22.2;-4.83;17.2;;;;
P/S;0.00;0.00;0.15;0.10;0.21;0.80;0.71;0.65;0.72;;;;
P/BV;0.00;0.00;0.51;0.55;2.30;-2.22;-0.86;-0.75;-550.3;8.55;9.81;3.35;3.11
EV/EBITDA;2.34;5.16;14.3;6.94;14.0;31.7;-3.30;12.7;8.78;;;;
Долг/EBITDA;2.34;5.16;11.5;6.04;11.2;22.4;-2.29;8.81;3.37;;;;
"Персонал, чел";;;;"12 500";;;;;;;;;
"Производительность труда, млн руб/чел/год";;;;8.71;;;;;;;;;
"Расходы/чел/год, тыс.р";;;;"1 355";;;;;;;;;
"R&D/CAPEX, %";;;3.78%;6.75%;0.03%;0.40%;0.86%;8.94%;9.57%;;;;
"CAPEX/Выручка, %";0%;0%;6%;6%;12%;27%;23%;9%;5%;;;;
