;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";19.06.2025;19.06.2025;19.06.2025;27.11.2020;28.06.2018;28.06.2018;28.06.2018;03.05.2018;03.05.2018;25.04.2019;24.04.2020;19.04.2021;07.04.2022;02.04.2024;02.04.2024;01.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство авто, тыс шт";;;;46.1;41.3;37.2;27.1;33.9;37.3;35.3;33.3;37.0;44.6;;53.0;54.6;
"Продажи авто, тыс шт";25.9;32.3;45.3;45.5;43.8;38.7;29.7;34.5;33.1;32.7;30.5;37.0;;;;;
"Доля рынка, %";39.0%;37.0%;33.0%;30.0%;35.0%;41.0%;51.0%;56.0%;45.2%;40.9%;44.2%;48.0%;44.0%;;;;
"Продажи авто экспорт, тыс шт";3.89;4.04;6.17;6.33;5.74;6.09;6.59;6.20;5.04;4.07;5.00;4.40;;;;;
"Выручка, млрд руб";60.9;73.8;110.0;118.5;114.3;110.6;97.5;132.3;156.0;186.2;190.4;213.3;269.2;292.3;370.3;393.7;360.0
"Операционная прибыль, млрд руб";;;;;;;;2.47;7.00;4.75;4.35;9.25;12.3;30.7;28.9;22.8;-10.2
"EBITDA, млрд руб";0.828;4.66;7.01;11.4;9.05;5.61;;6.15;10.8;9.29;9.67;15.7;19.5;38.0;34.4;33.1;1.51
"Чистая прибыль, млрд руб";-2.58;-0.652;20.0;6.06;4.27;0.211;-2.38;0.635;3.37;1.16;-1.86;3.30;4.05;18.7;19.7;-0.178;-34.4
"Операционный денежный поток, млрд руб";;;;;;;;5.85;8.80;-10.4;6.44;10.8;4.62;29.4;52.0;-53.8;-7.01
"CAPEX, млрд руб";4.27;2.98;4.17;4.22;5.46;6.19;5.99;8.07;13.4;14.3;13.1;13.8;15.6;16.3;31.8;29.0;28.2
"FCF, млрд руб";;;;;;;;-5.24;-7.20;-30.3;-12.6;-8.91;-16.6;4.93;14.2;-100.4;-63.9
"Див.выплата, млрд руб";;;;;;;;0.297;0.750;;;0.380;;1.30;3.18;;
"Дивиденд, руб/акцию";;;;;;;;0,42;1,06;;;0,54;;1,84;4,49;;
"Див доход, ао, %";;;;;;;0.0%;0.9%;2.0%;0.0%;0.0%;0.8%;0.0%;2.2%;2.3%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;47%;22%;0%;0%;12%;0%;7%;16%;0%;0
"Опер. расходы, млрд руб";;;;;;;;12.6;17.6;16.6;17.0;20.0;21.1;20.0;34.5;37.2;36.8
"Себестоимость, млрд руб";;;;;97.4;95.8;89.7;0.119;134.1;167.9;172.5;187.7;238.4;243.7;311.9;332.2;317.2
"Амортизация, млрд руб";;;;;;;;;;;;;;7.3;9.2;10.8;12.2
"НИОКР, млрд руб";;;;;;;;;;;;;;2.43;7.20;8.83;
"Расх на персонал, млрд руб";;;;;;;;23.7;26.0;31.4;33.9;34.8;36.8;42.5;58.9;75.2;
"Процентные расходы, млрд руб";1.58;1.45;0.523;0.732;0.652;0.794;1.66;4.67;4.82;7.00;7.61;7.30;6.68;9.70;8.84;20.7;18.6
"Активы, млрд руб";;;;;;;;133.5;160.1;194.8;206.0;228.5;271.3;339.0;468.3;556.5;565.7
"Чистые активы, млрд руб";;;;;37.2;38.9;36.5;36.7;35.4;41.9;40.8;49.0;55.5;89.8;114.8;118.6;85.6
"Долг, млрд руб";23.0;22.0;14.9;15.4;16.5;23.8;35.1;47.5;58.8;94.5;100.6;95.1;108.5;120.6;144.0;225.6;220.9
"Наличность, млрд руб";10.1;11.2;11.3;5.36;1.48;2.30;10.8;8.92;4.49;2.67;3.94;18.3;17.8;55.1;91.6;65.4;79.4
"Чистый долг, млрд руб";12.9;10.8;3.60;10.0;15.0;21.5;24.4;38.6;54.3;91.8;96.7;76.8;90.7;65.5;52.4;160.2;141.5
"Цена акции ао, руб";;;;;;;26.0;49.0;52.7;53.6;60.4;64.7;105.0;83.2;193.4;109.7;91.8
"Число акций ао, млн";707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2;707.2
"Free Float, %";;;;;;;;;11.4%;;;;;;;4.00%;4.00%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;18.4;34.7;37.3;37.9;42.7;45.8;74.3;58.8;136.8;77.6;64.9
"EV, млрд руб";12.9;10.8;3.60;10.0;15.0;21.5;42.7;73.3;91.5;129.7;139.4;122.5;165.0;124.4;189.2;237.8;206.4
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;37.2;38.9;36.5;30.9;27.7;31.8;28.6;37.0;43.8;77.6;98.0;96.5;64.5
"EPS, руб";-3.65;-0.92;28.3;8.56;6.03;0.30;-3.37;0.90;4.76;1.64;-2.62;4.67;5.72;26.4;27.8;-0.25;-48.7
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;-7.40;-10.2;-42.9;-17.9;-12.6;-23.5;6.97;20.1;-142.0;-90.3
"BV/акцию, руб";0.00;0.00;0.00;0.00;52.6;55.0;51.5;43.7;39.1;44.9;40.4;52.3;61.9;109.7;138.6;136.4;91.2
"Рентаб EBITDA, %";1.4%;6.3%;6.4%;9.7%;7.9%;5.1%;0.0%;4.6%;6.9%;5.0%;5.1%;7.4%;7.2%;13.0%;9.3%;8.4%;0.4%
"Чистая рентаб, %";-4.2%;-0.9%;18.2%;5.1%;3.7%;0.2%;-2.4%;0.5%;2.2%;0.6%;-1.0%;1.5%;1.5%;6.4%;5.3%;0.0%;-9.6%
"Доходность FCF, %";;;;;;;0.0%;-15.1%;-19.3%;-80.0%;-29.6%;-19.5%;-22.4%;8.4%;10.4%;-129.4%;-98.3%
"ROE, %";;;;;11.5%;0.5%;-6.5%;1.7%;9.5%;2.8%;-4.5%;6.7%;7.3%;20.8%;17.1%;-0.2%;-40.2%
"ROA, %";;;;;;;;0.5%;2.1%;0.6%;-0.9%;1.4%;1.5%;5.5%;4.2%;0.0%;-6.1%
P/E;0.00;0.00;0.00;0.00;0.00;0.00;-7.72;54.6;11.1;32.6;-23.0;13.9;18.3;3.15;6.95;-435.9;-1.89
P/FCF;;;;;;;;-6.62;-5.17;-1.25;-3.38;-5.13;-4.47;11.9;9.63;-0.77;-1.02
P/S;0.00;0.00;0.00;0.00;0.00;0.00;0.19;0.26;0.24;0.20;0.22;0.21;0.28;0.20;0.37;0.20;0.18
P/BV;;;;;0.00;0.00;0.50;1.12;1.35;1.19;1.50;1.24;1.70;0.76;1.40;0.80;1.01
EV/EBITDA;15.6;2.32;0.51;0.88;1.66;3.84;;11.9;8.48;14.0;14.4;7.81;8.46;3.27;5.51;7.18;136.7
Долг/EBITDA;15.6;2.32;0.51;0.88;1.66;3.84;;6.28;5.02;9.88;9.99;4.89;4.65;1.72;1.52;4.84;93.7
"Персонал, чел";"48 000";"53 000";"57 000";"62 000";"40 700";"38 995";"36 667";"35 759";"34 492";"34 109";"33 152";"32 405";;"31 369";"30 316";"27 919";
"Производительность труда, млн руб/чел/год";1.27;1.39;1.93;1.91;2.81;2.84;2.66;3.70;4.52;5.46;5.74;6.58;;9.32;12.2;14.1;
"Расходы/чел/год, тыс.р";0.00;0.00;0.00;0.00;0.00;0.00;0.00;662.8;754.8;919.7;"1 024";"1 074";;"1 355";"1 944";"2 692";
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;14.88%;22.63%;30.47%;0
"CAPEX/Выручка, %";7%;4%;4%;4%;5%;6%;6%;6%;9%;8%;7%;6%;6%;6%;9%;7%;8%
