;2013;2014;2022;2023;2024
"Дата отчета";22.04.2014;17.04.2015;03.06.2024;25.04.2024;28.04.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";12.6;15.0;;12.7;13.8
"Операционная прибыль, млрд руб";3.60;7.30;;0.190;0.943
"EBITDA, млрд руб";5.39;8.63;;2.55;3.46
"Чистая прибыль, млрд руб";2.88;5.42;;-0.037;0.051
"Операционный денежный поток, млрд руб";6.46;7.28;;3.07;4.32
"CAPEX, млрд руб";4.60;1.78;;2.89;4.20
"FCF, млрд руб";1.19;4.90;;0.185;0.122
"Див.выплата, млрд руб";;;0.097;0.060;
"Див доход, ао, %";;;0.0%;0.0%;0.0%
"Дивиденд ап, руб/акцию";;;391,54;240,67;
"Див доход, ап, %";;;3.8%;2.1%;0.0%
"Дивиденды/прибыль, %";0%;0%;;0%;0%
"Опер. расходы, млрд руб";9.00;7.68;;12.5;9.64
"Амортизация, млрд руб";1.8;1.3;;2.4;2.5
"Расх на персонал, млрд руб";1.32;1.32;;;
"Процентные расходы, млрд руб";0.640;0.540;;;
"Активы, млрд руб";24.4;25.5;;57.6;58.3
"Чистые активы, млрд руб";11.7;16.9;;47.7;47.7
"Долг, млрд руб";8.16;3.47;;;
"Чистый долг, млрд руб";8.16;3.47;0.00;0.00;0.00
"Цена акции ао, руб";;;"8 500";"11 350";"9 100"
"Число акций ао, млн";0.748;0.748;0.748;0.748;0.748
"Цена акции ап, руб";;;"10 400";"11 620";"7 780"
"Число акций ап, млн";0.249;0.249;0.249;0.249;0.249
"Капитализация, млрд руб";0.00;0.00;8.95;11.4;8.74
"EV, млрд руб";8.16;3.47;8.95;11.4;8.74
"Баланс стоимость, млрд руб";11.7;16.9;0.00;47.7;47.7
"EPS, руб";"3 850";"7 246";0.00;-49.5;68.2
"FCF/акцию, руб";"1 591";"6 551";0.00;247.3;163.1
"BV/акцию, руб";"15 642";"22 594";0.00;"63 810";"63 797"
"Рентаб EBITDA, %";42.8%;57.5%;;20.1%;25.1%
"Чистая рентаб, %";22.9%;36.1%;;-0.3%;0.4%
"Доходность FCF, %";;;0.0%;2.2%;1.8%
"ROE, %";24.6%;32.1%;;-0.1%;0.1%
"ROA, %";11.8%;21.2%;;-0.1%;0.1%
P/E;0.00;0.00;;-307.7;171.5
P/FCF;0.00;0.00;;61.5;71.7
P/S;0.00;0.00;;0.90;0.63
P/BV;0.00;0.00;;0.24;0.18
EV/EBITDA;1.51;0.40;;4.47;2.53
Долг/EBITDA;1.51;0.40;;0.00;0.00
"R&D/CAPEX, %";0.00%;0.00%;;0.00%;0.00%
"CAPEX/Выручка, %";37%;12%;;23%;30%
