;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;;;;;;;;;;29.03.2022;29.03.2022;09.05.2024;03.05.2024;02.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;;;;;;;;;;8.65;9.90;8.65;10.2;17.6;20.2
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;0.910;1.82;-0.246;0.181;2.62;4.77
"EBITDA, млрд руб";;;;;;;;;;;;;;;1.48;2.31;;0.383;2.99;5.18
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;0.660;1.53;-0.672;-0.020;3.00;4.69
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;-3.16;0.400;-1.19;6.45;2.65;1.15
"CAPEX, млрд руб";;;;;;;;;;;;;;;0.493;0.405;0.430;0.450;0.888;0.970
"FCF, млрд руб";;;;;;;;;;;;;;;-3.61;0.024;-1.62;6.11;1.84;0.245
"Див.выплата, млрд руб";0.008;0.030;0.038;0.020;0.002;0.031;0.028;0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;0.000;0.000;0.000;
"Дивиденд, руб/акцию";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;;0.0%;;;
"Дивиденд ап, руб/акцию";0,1064;0,4155;0,5315;0,2746;0,028;0,4361;0,3944;0,1872;0;0;0;0;0;0;0;;0;0;0;
"Див доход, ап, %";1.4%;5.6%;7.2%;3.7%;0.4%;5.9%;4.1%;2.9%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;;;;;;;;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;0.830;0.000;0.902;0.778;0.989;1.05
"Себестоимость, млрд руб";;;;;;;;;;;;;;;6.91;8.13;7.86;9.35;13.3;13.8
"Амортизация, млрд руб";;;;;;;;;;;;;;;0.6;0.5;0.3;0.4;0.4;0.4
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;1.75;1.60;;2.56;3.25;3.54
"Процентные расходы, млрд руб";;;;;;;;;;;;;;;2.08;0.580;0.445;0.403;0.208;0.148
"Активы, млрд руб";;;;;;;;;;;;;;;11.4;15.4;16.4;20.9;25.8;25.6
"Чистые активы, млрд руб";;;;;;;;;;;;;;;4.50;11.3;3.48;4.58;7.27;9.52
"Долг, млрд руб";;;;;;;;;;;;;;;4.74;4.93;6.16;0.000;0.000;0.000
"Наличность, млрд руб";;;;;;;;;;;;;;;0.300;0.800;0.560;1.41;2.97;0.534
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.44;4.13;5.60;-1.41;-2.97;-0.53
"Цена акции ао, руб";7.40;7.40;7.40;7.40;7.40;7.40;9.60;6.50;2.28;2.04;6.16;4.61;4.69;4.84;;;9.21;;;
"Число акций ао, млн";863.3;863.3;863.3;863.3;863.3;863.3;863.3;213.3;213.3;213.3;213.3;213.3;213.3;213.3;863.3;863.3;863.3;863.3;863.3;863.3
"Цена акции ап, руб";7.40;7.40;7.40;7.40;7.40;7.40;9.60;6.50;2.28;2.04;6.16;4.61;4.69;4.84;8.71;10.1;9.21;14.4;13.1;14.3
"Число акций ап, млн";71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1;71.1
"Капитализация, млрд руб";6.91;6.91;6.91;6.91;6.91;6.91;8.97;1.85;0.65;0.58;1.75;1.31;1.33;1.37;0.62;0.71;8.61;1.02;0.93;1.02
"EV, млрд руб";6.91;6.91;6.91;6.91;6.91;6.91;8.97;1.85;0.65;0.58;1.75;1.31;1.33;1.37;5.06;4.84;14.2;-0.39;-2.04;0.48
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.50;11.3;3.29;4.39;7.08;9.33
