;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;08.07.2018;08.07.2018;08.07.2018;08.07.2018;21.05.2020;21.05.2020;30.04.2021;28.04.2022;28.04.2023;27.04.2024;30.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;11.6;15.1;14.5;14.1;14.7;14.6;14.1;15.8;18.2;21.4;24.3;23.7
"Операционная прибыль, млрд руб";;;;-0.200;1.18;0.830;0.400;-0.281;-1.15;1.56;1.94;-0.592;-2.25
"EBITDA, млрд руб";;1.67;1.69;0.262;1.67;1.28;0.800;0.090;-0.820;1.68;2.05;-0.479;-2.12
"Чистая прибыль, млрд руб";;0.402;0.900;0.188;1.06;0.660;0.350;-0.200;-0.210;0.570;1.77;0.004;-1.68
"Операционный денежный поток, млрд руб";;;;0.165;0.382;0.970;-0.105;-0.350;-0.990;0.530;1.55;-1.33;-1.09
"CAPEX, млрд руб";;;;0.085;0.089;0.058;0.320;0.200;0.124;0.070;0.112;0.114;0.170
"FCF, млрд руб";;;;0.090;0.260;0.944;-0.424;-0.563;-1.14;-0.194;1.53;-0.823;-0.680
"Див.выплата, млрд руб";;;;0.003;;0.000;0.001;;0.000;1.81;3.52;;
"Дивиденд, руб/акцию";;;;0,3;;0;0,1;;;0,1;0,1;;
"Див доход, ао, %";;;;0.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденд ап, руб/акцию";;;;0,39;;;0,13;;0,1;0,13;0,13;;
"Див доход, ап, %";;;;0.3%;0.0%;0.0%;0.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";;0%;0%;2%;0%;0%;0%;0%;0%;318%;199%;0%;0
"Опер. расходы, млрд руб";;;;1.000;0.965;1.000;0.740;1.45;2.02;0.915;1.02;1.38;1.63
"Себестоимость, млрд руб";;9.50;13.0;13.7;12.0;12.9;13.4;13.0;14.9;15.7;18.2;24.1;24.2
"Амортизация, млрд руб";;;;;;;;;0.3;0.1;0.1;0.1;0.1
"Расх на персонал, млрд руб";;;;1.47;1.62;1.84;1.92;2.10;2.50;2.33;2.87;3.46;3.56
"Процентные расходы, млрд руб";;;;;;;;;;;;0.017;0.220
"Активы, млрд руб";;;;13.4;12.8;11.0;11.9;12.4;13.2;16.8;19.0;21.2;20.3
"Чистые активы, млрд руб";;6.63;7.53;7.72;8.76;7.18;8.14;7.97;9.97;10.5;14.2;11.0;9.28
"Долг, млрд руб";;0.930;1.04;1.01;0.186;0.050;0.017;0.000;0.000;0.000;0.000;2.61;2.83
"Наличность, млрд руб";;0.066;0.199;0.146;0.056;0.069;0.091;0.125;0.260;0.066;0.153;0.048;0.054
"Чистый долг, млрд руб";0.00;0.86;0.84;0.86;0.13;-0.02;-0.07;-0.13;-0.26;-0.07;-0.15;2.56;2.78
"Цена акции ао, руб";;;;305.0;451.0;307.0;306.0;370.5;390.5;504.5;"2 398";"1 533";"1 458"
"Число акций ао, млн";9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22
"Цена акции ап, руб";;;;130.0;350.0;257.0;249.0;264.5;289.0;312.0;586.0;500.0;560.0
"Число акций ап, млн";1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.81;1.81;1.81;1.81
"Капитализация, млрд руб";0.00;0.00;0.00;3.00;4.67;3.21;3.19;3.81;4.03;5.21;23.2;15.0;14.5
"EV, млрд руб";0.00;0.86;0.84;3.87;4.80;3.19;3.11;3.68;3.77;5.15;23.0;17.6;17.2
"Баланс стоимость, млрд руб";0.00;6.63;7.53;7.72;8.76;7.18;8.14;7.97;9.96;10.5;14.2;10.9;9.27
"EPS, руб";0.00;43.6;97.6;20.4;115.2;71.6;38.0;-21.7;-22.8;61.8;191.5;0.43;-181.7
"FCF/акцию, руб";0.00;0.00;0.00;9.76;28.2;102.4;-46.0;-61.1;-123.7;-21.0;166.3;-89.3;-73.8
"BV/акцию, руб";0.00;719.6;816.8;837.2;950.5;778.9;883.1;864.7;"1 080";"1 141";"1 541";"1 187";"1 005"
"Рентаб EBITDA, %";;14.4%;11.2%;1.8%;11.8%;8.7%;5.5%;0.6%;-5.2%;9.2%;9.6%;-2.0%;-9.0%
"Чистая рентаб, %";;3.5%;6.0%;1.3%;7.5%;4.5%;2.4%;-1.4%;-1.3%;3.1%;8.2%;0.0%;-7.1%
"Доходность FCF, %";;;;3.2%;6.3%;33.4%;-15.0%;-16.5%;-31.7%;-4.2%;6.9%;-5.8%;-5.1%
"ROE, %";;6.1%;12.0%;2.4%;12.1%;9.2%;4.3%;-2.5%;-2.1%;5.4%;12.4%;0.0%;-18.0%
"ROA, %";;;;1.4%;8.3%;6.0%;3.0%;-1.6%;-1.6%;3.4%;9.3%;0.0%;-8.3%
P/E;;0.00;0.00;16.0;4.40;4.86;9.11;-19.0;-19.2;9.15;13.1;"3 758";-8.63
P/FCF;;;;33.4;18.0;3.40;-7.52;-6.76;-3.53;-26.9;15.1;-18.3;-21.3
P/S;;0.00;0.00;0.21;0.33;0.22;0.22;0.27;0.26;0.29;1.08;0.62;0.61
P/BV;;0.00;0.00;0.39;0.53;0.45;0.39;0.48;0.40;0.50;1.63;1.37;1.56
EV/EBITDA;;0.52;0.49;14.8;2.88;2.49;3.89;40.9;-4.59;3.07;11.2;-36.7;-8.12
Долг/EBITDA;;0.52;0.49;3.29;0.08;-0.01;-0.09;-1.39;0.32;-0.04;-0.07;-5.35;-1.31
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;0%;0%;1%;1%;0%;2%;1%;1%;0%;1%;0%;1%
