;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;LTM
"Дата отчета";;04.07.2018;04.07.2018;26.06.2018;26.06.2018;27.07.2018;07.06.2021;07.06.2021;07.06.2021;29.04.2022;19.05.2023;04.09.2024;28.08.2023
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;0.245;0.378;0.331;0.661;0.724;0.349;0.291;0.370;0.440;0.380;0.380;0.344
"Операционная прибыль, млрд руб";;;;;;;;;-0.500;-0.640;-0.168;-0.246;-0.266
"EBITDA, млрд руб";;;;-0.326;-0.549;-2.79;-0.490;-2.00;-0.460;-0.610;-0.121;;-0.219
"Чистая прибыль, млрд руб";;-0.147;-0.205;-0.355;-0.898;-2.52;-0.400;-1.80;-0.525;-0.700;-0.207;-0.277;-0.304
"Операционный денежный поток, млрд руб";;;;;;;;;-0.233;-0.063;-0.003;-0.465;-0.326
"CAPEX, млрд руб";;;;;;;;;0.010;0.000;0.003;0.106;0.036
"FCF, млрд руб";;;;;;;;;-0.226;-0.064;-0.015;-0.571;-0.375
"Див.выплата, млрд руб";;;;;0.000;;;;;;;;
"Дивиденд, руб/акцию";;;;;0;;;;;;;;
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;0.660;0.800;0.248;0.363;0.341
"Себестоимость, млрд руб";;0.133;0.161;0.157;0.256;0.395;0.264;0.195;0.210;0.280;0.299;0.255;0.271
"Амортизация, млрд руб";;;;;;;;;;;;;0.0
"НИОКР, млрд руб";;;;0.291;0.399;0.332;0.070;0.006;0.046;;0.017;0.025;
"Расх на персонал, млрд руб";;;;0.303;0.335;0.348;0.350;0.220;0.214;0.210;0.182;0.248;
"Процентные расходы, млрд руб";;;;;;;;;;;0.037;0.034;0.001
"Активы, млрд руб";;;;;;;4.55;2.43;2.05;1.43;1.34;1.54;1.72
"Чистые активы, млрд руб";;1.72;2.32;2.13;4.60;1.76;3.47;1.36;1.01;0.345;0.121;0.479;0.640
"Долг, млрд руб";;0.060;0.128;0.001;0.040;0.052;0.066;0.250;0.400;0.486;0.500;0.735;0.470
"Наличность, млрд руб";;0.505;0.111;0.000;0.371;0.327;0.005;0.067;0.010;0.015;0.009;0.026;0.257
"Чистый долг, млрд руб";0.00;-0.45;0.02;0.00;-0.33;-0.28;0.06;0.18;0.39;0.47;0.49;0.71;0.21
"Цена акции ао, руб";;;;10.8;16.6;12.0;5.58;4.15;6.85;5.60;4.20;5.12;3.32
"Число акций ао, млн";151.7;151.7;151.7;151.7;151.7;151.7;151.7;151.7;151.7;151.7;301.0;440.4;151.7
"Капитализация, млрд руб";0.00;0.00;0.00;1.64;2.51;1.82;0.85;0.63;1.04;0.85;1.26;2.25;0.50
"EV, млрд руб";0.00;-0.45;0.02;1.64;2.18;1.55;0.91;0.81;1.43;1.32;1.76;2.96;0.72
"Баланс стоимость, млрд руб";0.00;1.72;2.32;1.79;3.38;0.69;3.09;1.00;0.59;-0.06;-0.27;0.08;0.25
"EPS, руб";0.00;-0.97;-1.35;-2.34;-5.92;-16.6;-2.64;-11.9;-3.46;-4.61;-0.69;-0.63;-2.00
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.49;-0.42;-0.05;-1.30;-2.47
"BV/акцию, руб";0.00;11.4;15.3;11.8;22.3;4.55;20.4;6.59;3.89;-0.36;-0.91;0.19;1.63
"Рентаб EBITDA, %";;0.0%;0.0%;-98.5%;-83.1%;-385.5%;-140.4%;-687.3%;-124.3%;-138.6%;-31.8%;0.0%;-63.7%
"Чистая рентаб, %";;-60.0%;-54.2%;-107.3%;-135.9%;-348.3%;-114.6%;-618.6%;-141.9%;-159.1%;-54.5%;-72.9%;-88.4%
"Доходность FCF, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;-21.7%;-7.5%;-1.1%;-25.3%;-74.5%
"ROE, %";;-8.5%;-8.8%;-16.7%;-19.5%;-143.4%;-11.5%;-132.4%;-52.0%;-202.9%;-171.1%;-57.8%;-47.5%
"ROA, %";;;;;;;-8.8%;-74.1%;-25.6%;-49.1%;-15.4%;-17.9%;-17.7%
P/E;;0.00;0.00;-4.62;-2.80;-0.72;-2.12;-0.35;-1.98;-1.21;-6.11;-8.14;-1.65
P/FCF;;;;;;;;;-4.60;-13.3;-87.2;-3.95;-1.34
P/S;;0.00;0.00;4.95;3.80;2.51;2.43;2.16;2.81;1.93;3.33;5.93;1.46
P/BV;;0.00;0.00;0.91;0.74;2.64;0.27;0.63;1.76;-15.4;-4.61;26.8;2.04
EV/EBITDA;;;;-5.03;-3.97;-0.55;-1.85;-0.41;-3.11;-2.16;-14.5;;-3.27
Долг/EBITDA;;;;0.00;0.60;0.10;-0.12;-0.09;-0.85;-0.77;-4.06;;-0.97
"Персонал, чел";;;;;;;;;263;;;;
"Производительность труда, млн руб/чел/год";;;;;;;;;1.41;;;;
"Расходы/чел/год, тыс.р";;;;;;;;;813.7;;;;
"R&D/CAPEX, %";;;;;;;;;460.00%;;566.67%;23.58%;0
"CAPEX/Выручка, %";;0%;0%;0%;0%;0%;0%;0%;3%;0%;1%;28%;10%
