;2013;2014;2015;2016;2017;2018;2019;2020;2023;2024
"Дата отчета";08.07.2018;08.07.2018;30.06.2018;30.06.2018;;27.04.2020;27.04.2020;28.04.2021;27.04.2024;30.04.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";121.3;125.5;141.7;141.6;;186.5;185.1;73.9;198.9;213.8
"Операционная прибыль, млрд руб";;;;;;20.0;13.7;-10.3;7.93;16.3
"EBITDA, млрд руб";22.1;19.6;24.7;33.1;;;;;22.3;29.2
"Чистая прибыль, млрд руб";10.6;1.37;12.2;17.5;;15.2;9.55;-10.5;-3.04;-5.76
"Операционный денежный поток, млрд руб";;;;;;8.91;12.7;11.0;11.2;29.3
"CAPEX, млрд руб";;;;;;21.3;13.6;13.3;32.2;31.2
"FCF, млрд руб";;;;;;-11.8;-5.06;-4.26;-27.3;5.45
"Дивиденд, руб/акцию";;;0;;;;;;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%
"Див доход, ап, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;;0%;0%;0%;0%;0%
"Опер. расходы, млрд руб";109.0;116.8;122.8;122.5;;166.9;172.0;84.9;191.3;197.9
"Амортизация, млрд руб";;;;;;14.1;16.3;10.3;14.4;13.0
"Расх на персонал, млрд руб";;;4.68;5.20;;4.98;5.71;5.64;;
"Процентные расходы, млрд руб";;;0.751;1.77;;3.36;4.84;3.71;6.31;10.8
"Активы, млрд руб";;;;;230.5;276.2;285.7;262.5;296.2;289.2
"Чистые активы, млрд руб";105.0;106.6;118.8;136.3;149.7;165.0;174.3;163.7;174.8;166.2
"Долг, млрд руб";20.9;24.4;19.4;15.3;30.8;55.8;49.6;43.6;;
"Наличность, млрд руб";0.698;1.39;1.37;1.27;0.940;1.04;0.910;0.490;;
"Чистый долг, млрд руб";20.2;23.0;18.0;14.0;29.9;54.7;48.7;43.1;0.00;0.00
"Цена акции ао, руб";;;649.0;507.0;429.0;;360.5;309.0;416.5;379.0
"Число акций ао, млн";99.5;99.5;99.5;99.5;99.5;99.5;99.5;99.5;99.5;99.5
"Цена акции ап, руб";;;635.0;418.0;352.0;303.0;339.5;276.0;291.0;255.5
"Число акций ап, млн";33.1;33.1;33.1;33.1;33.1;33.1;33.1;33.1;33.1;33.1
"Капитализация, млрд руб";0.00;0.00;85.6;64.3;54.3;10.0;47.1;39.9;51.1;46.1
"EV, млрд руб";20.2;23.0;103.6;78.3;84.2;64.7;95.8;83.0;51.1;46.1
"Баланс стоимость, млрд руб";105.0;106.6;118.8;136.3;149.7;165.0;174.3;163.7;174.8;166.2
"EPS, руб";106.1;13.8;122.3;175.9;0.00;153.2;96.0;-106.0;-30.5;-57.9
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;-118.8;-50.9;-42.8;-274.7;54.7
"BV/акцию, руб";"1 055";"1 072";"1 194";"1 371";"1 505";"1 659";"1 752";"1 645";"1 757";"1 671"
"Рентаб EBITDA, %";18.2%;15.6%;17.4%;23.4%;;0.0%;0.0%;0.0%;11.2%;13.7%
"Чистая рентаб, %";8.7%;1.1%;8.6%;12.4%;;8.2%;5.2%;-14.3%;-1.5%;-2.7%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;;-14.1%;-13.9%;-66.0%;14.4%
"ROE, %";10.1%;1.3%;10.2%;12.8%;0.0%;9.2%;5.5%;-6.4%;-1.7%;-3.5%
"ROA, %";;;;;0.0%;5.5%;3.3%;-4.0%;-1.0%;-2.0%
P/E;0.00;0.00;7.03;3.67;;0.66;4.93;-3.78;-16.8;-8.01
P/FCF;;;;;;-0.85;-9.31;-9.36;-1.87;8.48
P/S;0.00;0.00;0.60;0.45;;0.05;0.25;0.54;0.26;0.22
P/BV;0.00;0.00;0.72;0.47;0.36;0.06;0.27;0.24;0.29;0.28
EV/EBITDA;0.92;1.17;4.20;2.36;;;;;2.29;1.58
Долг/EBITDA;0.92;1.17;0.73;0.42;;;;;0.00;0.00
"R&D/CAPEX, %";;;;;;0.00%;0.00%;0.00%;0.00%;0.00%
"CAPEX/Выручка, %";0%;0%;0%;0%;;11%;7%;18%;16%;15%
