;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";08.07.2018;08.07.2018;30.06.2018;30.06.2018;08.05.2018;20.03.2019;13.03.2020;11.03.2021;18.03.2022;24.03.2023;18.03.2024;14.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;41.6;41.8;42.2;42.7;42.9;;;;;
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;64.6;60.1;56.7;55.8;54.3;55.7;;;;
"Протяженность ЛЭП, тыс.км";;;;250.2;250.3;251.5;253.8;254.8;;;;;
"Трансформаторная мощность, ГВт";;;;;;;;42.9;;;;;
"Выручка, млрд руб";63.7;60.5;44.7;48.4;53.6;57.1;59.1;57.8;60.7;64.8;69.3;77.6;100.6
"Операционная прибыль, млрд руб";;;;3.14;4.96;3.39;2.96;3.83;3.29;3.81;-0.150;5.96;7.98
"EBITDA, млрд руб";4.19;-6.80;4.86;6.48;8.50;8.19;7.61;9.58;9.70;8.59;7.76;12.8;14.4
"Чистая прибыль, млрд руб";-1.14;-10.5;0.101;0.524;2.35;0.429;0.469;-0.510;0.700;-0.190;-2.95;-0.980;1.06
"Операционный денежный поток, млрд руб";;;;-0.510;2.56;9.18;6.78;4.58;6.51;7.81;8.12;5.42;4.12
"CAPEX, млрд руб";;;5.35;5.13;7.96;12.7;10.7;6.68;8.40;6.37;11.2;11.1;11.9
"FCF, млрд руб";;;;-5.02;-5.02;-3.21;-3.84;-2.24;-2.04;1.42;-3.18;-5.58;-7.60
"Див.выплата, млрд руб";;;0.000;;0.904;0.102;;;;;;;
"Дивиденд, руб/акцию";;;0;;0,0037;0,00102;;;;;;;
"Див доход, ао, %";;;0.0%;0.0%;3.2%;1.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденд ап, руб/акцию";;;;;0,0037;0,00102;;;;;;;
"Дивиденды/прибыль, %";0%;0%;0%;0%;38%;24%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";65.8;73.9;43.7;45.4;50.6;52.1;54.8;56.1;59.7;63.3;68.4;75.5;95.2
"Амортизация, млрд руб";;;;;;4.0;4.9;5.6;5.6;4.8;6.6;6.0;5.5
"Расх на персонал, млрд руб";;;21.8;21.6;10.0;14.2;15.5;16.0;16.9;18.2;21.0;23.2;24.7
"Процентные расходы, млрд руб";;;1.66;2.26;2.37;2.51;2.92;2.52;2.84;4.70;4.27;7.60;9.30
"Активы, млрд руб";;;52.2;58.0;61.2;65.9;72.5;74.3;76.7;82.1;84.6;94.3;99.6
"Чистые активы, млрд руб";23.8;13.3;13.8;14.4;16.8;16.9;17.2;17.3;17.9;17.8;14.9;14.0;13.6
"Долг, млрд руб";11.0;17.3;19.0;23.3;31.0;31.7;36.9;39.4;42.2;42.1;44.6;50.3;50.8
"Наличность, млрд руб";0.231;1.74;0.556;0.196;1.14;1.35;1.30;1.17;1.36;2.82;1.80;2.05;1.07
"Чистый долг, млрд руб";10.7;15.6;18.4;23.1;29.8;30.4;35.6;38.2;40.8;39.2;42.8;48.2;49.8
"Цена акции ао, руб";;;0.049;0.084;0.115;0.103;0.309;0.383;0.350;0.247;0.695;0.568;0.605
"Число акций ао, млн";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815";"94 815"
"Число акций ап, млн";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071";"5 071"
"Free Float, %";;;;;;;;3.83%;;;3.00%;3.00%;
"Капитализация, млрд руб";0.00;0.00;4.63;7.94;10.9;9.72;29.3;36.3;33.1;23.4;65.8;53.9;57.4
"EV, млрд руб";10.7;15.6;23.0;31.0;40.7;40.1;64.9;74.5;74.0;62.6;108.6;102.1;107.1
"Баланс стоимость, млрд руб";23.8;13.3;12.6;13.3;15.8;15.9;16.2;16.4;17.1;17.1;14.4;13.3;12.9
