;2019;2020;2021;2022;2023;2024
"Дата отчета";;29.04.2022;29.04.2022;27.04.2024;27.04.2024;28.04.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;27.2;33.1;24.4;35.2;42.3
"Операционная прибыль, млрд руб";;1.16;0.888;0.900;0.300;0.481
"EBITDA, млрд руб";;1.31;1.05;1.06;0.487;0.710
"Чистая прибыль, млрд руб";;0.767;0.554;0.378;0.105;0.033
"Операционный денежный поток, млрд руб";;0.943;0.602;-1.08;4.62;-2.26
"CAPEX, млрд руб";;0.153;0.295;0.080;0.657;0.667
"FCF, млрд руб";;0.604;0.088;-1.58;3.78;-3.38
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;0%;0%;0%;0%
"Опер. расходы, млрд руб";;0.815;0.968;0.670;1.58;1.35
"Себестоимость, млрд руб";;25.3;31.4;23.6;33.4;40.8
"Амортизация, млрд руб";;;;0.2;0.2;0.2
"НИОКР, млрд руб";;;;;0.024;0.014
"Процентные расходы, млрд руб";;0.165;0.163;0.342;0.117;0.462
"Активы, млрд руб";;8.81;9.35;11.8;19.8;15.4
"Чистые активы, млрд руб";;1.06;1.56;2.00;2.10;2.12
"Долг, млрд руб";;2.00;1.73;3.66;0.000;3.26
"Наличность, млрд руб";;0.262;0.023;1.28;0.500;0.383
"Чистый долг, млрд руб";0.00;1.74;1.71;2.38;-0.50;2.87
"Цена акции ао, руб";124.6;234.0;614.2;232.5;497.5;296.0
"Число акций ао, млн";8.04;8.04;8.04;8.04;8.04;8.04
"Капитализация, млрд руб";1.00;1.88;4.94;1.87;4.00;2.38
"EV, млрд руб";1.00;3.62;6.64;4.25;3.50;5.25
"Баланс стоимость, млрд руб";0.00;1.06;1.56;2.00;2.10;2.08
"EPS, руб";0.00;95.4;68.9;47.0;13.1;4.11
"FCF/акцию, руб";0.00;75.1;10.9;-196.5;470.2;-421.0
"BV/акцию, руб";0.00;131.6;194.1;248.8;261.2;258.5
"Рентаб EBITDA, %";;4.8%;3.2%;4.3%;1.4%;1.7%
"Чистая рентаб, %";;2.8%;1.7%;1.5%;0.3%;0.1%
"Доходность FCF, %";0.0%;32.1%;1.8%;-84.5%;94.5%;-142.2%
"ROE, %";;72.5%;35.5%;18.9%;5.0%;1.6%
"ROA, %";;8.7%;5.9%;3.2%;0.5%;0.2%
P/E;;2.45;8.91;4.94;38.1;72.1
P/FCF;;3.11;56.1;-1.18;1.06;-0.70
P/S;;0.07;0.15;0.08;0.11;0.06
P/BV;;1.78;3.17;0.93;1.90;1.15
EV/EBITDA;;2.76;6.31;4.01;7.19;7.40
Долг/EBITDA;;1.33;1.62;2.25;-1.03;4.05
"Персонал, чел";"5 367";"5 784";"6 004";"5 717";"5 509";"5 352"
"Производительность труда, млн руб/чел/год";0.00;4.70;5.52;4.27;6.39;7.90
"Расходы/чел/год, тыс.р";0.00;0.00;0.00;0.00;0.00;0.00
"R&D/CAPEX, %";;0.00%;0.00%;0.00%;3.65%;2.10%
"CAPEX/Выручка, %";;1%;1%;0%;2%;2%
