;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";08.07.2018;08.07.2018;08.07.2018;08.07.2018;08.07.2018;05.04.2022;05.04.2022;05.04.2022;05.04.2022;11.04.2023;01.04.2024;24.04.2025;03.09.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";33.3;34.9;36.0;37.6;48.1;56.8;47.7;43.0;55.3;19.0;26.0;27.3;22.9
"Операционная прибыль, млрд руб";;;;;;-1.50;0.604;-5.20;5.14;-4.00;0.150;-0.689;-0.766
"EBITDA, млрд руб";3.29;2.51;1.31;2.35;4.36;3.43;2.81;4.68;7.39;;0.900;0.131;-0.021
"Чистая прибыль, млрд руб";0.399;-2.02;-3.51;-3.66;0.158;-3.17;-1.68;-9.64;0.497;13.5;3.46;9.28;11.2
"Операционный денежный поток, млрд руб";;;;;;-5.58;1.76;6.49;0.196;;0.380;-2.27;-6.88
"CAPEX, млрд руб";;;;;;2.18;1.28;0.800;0.962;;2.00;1.82;0.403
"FCF, млрд руб";;;;;;-9.57;-1.51;2.92;-4.25;;-1.90;4.15;1.60
"Див.выплата, млрд руб";;;;;;;;;;0.000;0.000;;
"Див доход, ао, %";;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;;
"Дивиденд ап, руб/акцию";;;;;;;;;;0,012;0,012;;
"Див доход, ап, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;7.28;5.61;11.3;6.24;5.81;4.52;5.61;4.75
"Себестоимость, млрд руб";26.7;29.6;31.4;32.5;40.2;51.0;41.5;36.9;43.9;17.2;21.3;22.3;19.6
"Амортизация, млрд руб";;;;;;;;;;;0.8;0.8;0.7
"Расх на персонал, млрд руб";;;;;;9.01;10.5;10.5;11.6;5.49;5.14;6.21;5.12
"Процентные расходы, млрд руб";;;;;;2.38;2.50;2.58;3.64;;2.32;2.35;2.07
"Активы, млрд руб";;;;;;86.1;80.8;80.0;86.5;54.3;73.7;87.8;91.4
"Чистые активы, млрд руб";13.7;20.7;21.6;18.0;18.6;14.9;10.9;4.46;17.2;25.0;30.2;47.5;48.3
"Долг, млрд руб";17.1;48.4;36.5;31.9;33.0;39.7;41.6;42.8;29.8;18.2;22.4;21.9;23.2
"Наличность, млрд руб";0.802;2.98;5.00;4.10;7.10;4.39;3.96;9.87;6.64;11.0;9.50;20.6;20.0
"Чистый долг, млрд руб";16.3;45.5;31.5;27.8;25.9;35.3;37.6;32.9;23.1;7.20;12.9;1.36;3.17
"Цена акции ао, руб";;;;;"1 720";"1 770";"4 260";"3 530";"4 815";"4 995";0.000;0.000;
"Число акций ао, млн";;;;;"1 784";"1 784";"1 784";"1 784";"1 784";"1 784";"1 784";"1 784";"1 784"
"Цена акции ап, руб";;;;"1 930";"1 720";"1 770";"4 260";"3 530";"4 815";"4 995";"13 700";"9 280";"11 980"
"Число акций ап, млн";2.75;2.75;2.75;2.75;2.75;2.75;2.75;2.75;2.75;2.75;2.75;2.75;2.75
"Free Float, %";;;;;;;;;;;;0.660%;
"Капитализация, млрд руб";0.00;0.00;0.00;5.31;"3 074";"3 163";"7 613";"6 308";"8 605";"8 926";37.7;25.5;32.9
"EV, млрд руб";16.3;45.5;31.5;33.1;"3 100";"3 198";"7 651";"6 341";"8 628";"8 934";50.6;26.9;36.1
"Баланс стоимость, млрд руб";13.7;20.7;21.6;18.0;18.6;12.1;8.41;2.44;15.9;24.7;25.8;39.5;40.3
"EPS, руб";;;;;0.09;-1.78;-0.94;-5.40;0.28;7.55;1.94;5.20;6.26
"FCF/акцию, руб";;;;;0.00;-5.37;-0.84;1.64;-2.38;0.00;-1.06;2.33;0.89
"BV/акцию, руб";;;;;10.4;6.78;4.72;1.37;8.90;13.8;14.5;22.1;22.6
"Рентаб EBITDA, %";9.9%;7.2%;3.6%;6.3%;9.1%;6.0%;5.9%;10.9%;13.4%;0.0%;3.5%;0.5%;-0.1%
"Чистая рентаб, %";1.2%;-5.8%;-9.7%;-9.7%;0.3%;-5.6%;-3.5%;-22.4%;0.9%;70.9%;13.3%;34.0%;48.8%
"Доходность FCF, %";;;;;0.0%;-0.3%;0.0%;0.0%;0.0%;0.0%;;;
"ROE, %";2.9%;-9.8%;-16.2%;-20.3%;0.9%;-21.3%;-15.4%;-216.0%;2.9%;53.9%;11.4%;19.5%;23.1%
"ROA, %";;;;;;-3.7%;-2.1%;-12.1%;0.6%;24.8%;4.7%;10.6%;12.2%
P/E;0.00;0.00;0.00;-1.45;"19 454";-996.6;"-4 523";-654.3;"17 313";662.7;10.9;2.75;2.95
P/FCF;;;;;;-330.4;"-5 055";"2 160";"-2 025";;-19.8;6.14;20.6
P/S;0.00;0.00;0.00;0.14;63.9;55.7;159.6;146.7;155.6;469.8;1.45;0.94;1.44
P/BV;0.00;0.00;0.00;0.29;165.5;261.4;904.8;"2 582";542.1;361.4;1.46;0.65;0.82
EV/EBITDA;4.97;18.1;24.1;14.1;710.6;933.0;"2 721";"1 356";"1 167";;56.2;205.2;"-1 720"
Долг/EBITDA;4.97;18.1;24.1;11.8;5.93;10.3;13.4;7.04;3.13;;14.3;10.4;-151.0
"R&D/CAPEX, %";;;;;;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;0%;0%;4%;3%;2%;2%;0%;8%;7%;2%
