;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;10.07.2018;03.05.2018;03.05.2018;26.04.2019;28.07.2020;30.04.2021;29.04.2022;25.04.2023;29.04.2024;24.04.2025;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";2.65;2.96;2.86;5.93;4.56;3.41;4.75;5.50;9.90;9.57;12.1;16.7;16.6
"Операционная прибыль, млрд руб";;;;;;-0.103;0.498;0.170;0.405;0.220;0.400;0.510;0.458
"EBITDA, млрд руб";0.103;0.119;0.103;0.318;0.113;0.155;0.205;0.170;0.469;0.368;0.544;0.656;0.615
"Чистая прибыль, млрд руб";0.056;0.054;0.012;0.073;0.008;0.022;0.042;0.020;0.176;0.202;0.264;0.422;0.576
"Операционный денежный поток, млрд руб";;;;;;0.106;-0.263;0.120;0.910;0.450;-0.066;1.66;0.376
"CAPEX, млрд руб";;;;;;0.000;0.037;0.032;0.186;0.166;0.094;0.081;0.220
"FCF, млрд руб";;;;;;0.106;-0.300;0.150;0.724;0.283;-0.140;1.50;0.137
"Див.выплата, млрд руб";;;;;;0.000;;;;;;;
"Дивиденд, руб/акцию";;;;;;0;;;;;;;
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;0.206;0.292;0.364;0.300;0.350;0.345;0.475;
"Себестоимость, млрд руб";2.31;2.56;2.39;5.87;4.33;3.31;4.25;4.92;9.18;9.00;11.4;15.8;15.6
"Амортизация, млрд руб";;;;;;;;;;0.1;0.1;0.1;0.2
"Расх на персонал, млрд руб";;;;0.258;0.302;0.113;0.220;0.340;0.150;0.440;0.530;0.665;0.775
"Процентные расходы, млрд руб";;;;0.108;0.140;0.106;0.145;0.150;0.160;0.079;0.075;0.060;0.026
"Активы, млрд руб";;;;;12.4;12.1;12.7;4.16;4.24;4.51;4.74;7.04;7.13
"Чистые активы, млрд руб";0.399;0.454;0.919;10.7;10.7;10.7;10.7;1.44;1.62;1.82;2.10;2.38;2.61
"Долг, млрд руб";0.000;0.000;0.000;0.000;1.06;0.892;1.33;1.70;1.23;0.790;0.960;0.766;0.002
"Наличность, млрд руб";0.035;0.143;0.024;0.010;0.002;0.026;0.051;0.022;0.020;0.065;0.071;1.35;0.017
"Чистый долг, млрд руб";-0.04;-0.14;-0.02;-0.01;1.06;0.87;1.28;1.68;1.21;0.73;0.89;-0.58;-0.02
"Цена акции ао, руб";;;;4.57;3.80;1.28;1.49;1.59;1.89;2.13;5.89;4.18;4.59
"Число акций ао, млн";838.3;838.3;838.3;838.3;838.3;838.3;838.3;838.3;838.3;838.3;838.3;838.3;838.3
"Капитализация, млрд руб";0.00;0.00;0.00;3.83;3.19;1.07;1.25;1.33;1.58;1.79;4.94;3.51;3.85
"EV, млрд руб";-0.04;-0.14;-0.02;3.82;4.24;1.94;2.53;3.01;2.79;2.51;5.83;2.92;3.84
"Баланс стоимость, млрд руб";0.40;0.45;0.92;10.7;10.7;10.7;10.7;1.44;1.62;1.82;2.10;2.38;2.61
"EPS, руб";0.07;0.06;0.01;0.09;0.01;0.03;0.05;0.02;0.21;0.24;0.31;0.50;0.69
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.13;-0.36;0.18;0.86;0.34;-0.17;1.79;0.16
"BV/акцию, руб";0.48;0.54;1.10;12.8;12.8;12.7;12.8;1.72;1.93;2.17;2.51;2.84;3.11
"Рентаб EBITDA, %";3.9%;4.0%;3.6%;5.4%;2.5%;4.5%;4.3%;3.1%;4.7%;3.8%;4.5%;3.9%;3.7%
"Чистая рентаб, %";2.1%;1.8%;0.4%;1.2%;0.2%;0.6%;0.9%;0.4%;1.8%;2.1%;2.2%;2.5%;3.5%
"Доходность FCF, %";;;;0.0%;0.0%;9.9%;-24.1%;11.3%;45.8%;15.8%;-2.8%;42.7%;3.6%
"ROE, %";14.0%;11.9%;1.3%;0.7%;0.1%;0.2%;0.4%;1.4%;10.9%;11.1%;12.6%;17.7%;22.1%
"ROA, %";;;;;0.1%;0.2%;0.3%;0.5%;4.1%;4.5%;5.6%;6.0%;8.1%
P/E;0.00;0.00;0.00;52.4;398.2;48.7;29.7;66.6;8.98;8.86;18.7;8.31;6.69
P/FCF;;;;;;10.1;-4.16;8.87;2.18;6.32;-35.3;2.34;28.1
P/S;0.00;0.00;0.00;0.65;0.70;0.31;0.26;0.24;0.16;0.19;0.41;0.21;0.23
P/BV;0.00;0.00;0.00;0.36;0.30;0.10;0.12;0.92;0.98;0.98;2.35;1.47;1.48
EV/EBITDA;-0.34;-1.20;-0.23;12.0;37.6;12.5;12.3;17.7;5.95;6.83;10.7;4.46;6.24
Долг/EBITDA;-0.34;-1.20;-0.23;-0.03;9.36;5.59;6.24;9.87;2.58;1.97;1.63;-0.89;-0.02
"Персонал, чел";;;;800;593;328;;;493;456;;;
"Производительность труда, млн руб/чел/год";;;;7.41;7.69;10.4;;;20.1;21.0;;;
"Расходы/чел/год, тыс.р";;;;322.5;509.3;344.5;;;304.3;964.9;;;
"R&D/CAPEX, %";;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;0%;0%;0%;1%;1%;2%;2%;1%;0%;1%
