;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
"Дата отчета";;;;09.07.2018;09.07.2018;12.05.2020;12.05.2020;27.04.2021;25.05.2022;;21.07.2025;21.07.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чист. проц. доходы, млрд руб";1.19;1.38;0.346;0.268;0.031;0.094;0.170;0.310;0.975;;2.02;-1.19
"Чист. комисс. доход, млрд руб";0.878;1.03;0.942;0.990;0.917;0.930;0.920;0.560;0.712;;0.757;0.271
"Доходы по цб, млрд руб";;;;;;;;;;;0.394;-0.303
"Число клиентов, млн";;;;;;;;;;;1.0;
"Операционная прибыль, млрд руб";;;;;;;;;;;2.29;-2.25
"Чистая прибыль, млрд руб";;;;0.015;0.399;0.390;0.830;0.450;0.655;;1.76;-1.17
"Див.выплата, млрд руб";;;;;0.125;0.250;0.200;0.225;0.328;1.20;0.500;
"Дивиденд, руб/акцию";;;;;500;1000;800;901;1310;4800;2000;
"Див доход, ао, %";;;;0.0%;;12.5%;5.5%;3.8%;3.4%;13.8%;5.9%;0.0%
"Дивиденды/прибыль, %";;;;0%;31%;64%;24%;50%;50%;;28%;0%
"Опер. расходы, млрд руб";;;;;;;;;;;2.06;2.28
"Создание резервов, млрд руб";;;;;;;;;;;0.075;0.096
"Наличность, млрд руб";2.69;5.63;7.59;8.07;6.78;7.09;5.76;6.44;;;5.65;4.11
"Чистый долг, млрд руб";-2.69;-5.63;-7.59;-8.07;-6.78;-7.09;-5.76;-6.44;0.00;0.00;-5.65;-4.11
"Активы банка, млрд руб";23.9;26.1;29.4;26.2;28.7;32.3;34.3;35.2;40.3;;74.7;83.6
"Капитал, млрд руб";2.36;2.99;2.49;2.35;2.85;3.11;3.81;4.10;4.46;;8.30;5.21
"Кредитный портфель, млрд руб";12.1;14.4;9.38;4.79;5.29;6.31;9.13;9.79;;;19.7;22.0
"Кредиты юрлицам, млрд руб";;;;;;;;;;;17.5;18.1
"Кредиты физлицам, млрд руб";;;;;;;;;;;2.20;3.88
"Депозиты, млрд руб";19.5;22.3;25.9;23.6;25.6;27.7;29.7;30.1;34.7;;39.8;41.2
"Депозиты юрлиц, млрд руб";;;;;;;;;;;16.2;11.1
"Депозиты физлиц, млрд руб";;;;;;;;;;;23.6;30.1
"Резервы под обесценивание, млрд руб";;;;;;;;;;;1.57;1.04
"Loan-to-deposit ratio, %";62%;65%;36%;20%;21%;23%;31%;32%;0%;;50%;53%
"Цена акции ао, руб";;;;"6 140";;"8 000";"14 600";"24 000";"38 200";"34 800";"33 800";"26 600"
"Число акций ао, млн";0.250;0.250;0.250;0.250;0.250;0.250;0.250;0.250;0.250;0.250;0.250;0.250
"Капитализация, млрд руб";0.00;0.00;0.00;1.54;0.00;2.00;3.65;6.00;9.55;8.70;8.45;6.65
"EV, млрд руб";-2.69;-5.63;-7.59;-6.54;-6.78;-5.09;-2.11;-0.44;9.55;8.70;2.81;2.54
"EPS, руб";0.00;0.00;0.00;60.0;"1 596";"1 560";"3 320";"1 800";"2 620";0.00;"7 024";"-4 680"
P/E;;;;102.3;0.00;5.13;4.40;13.3;14.6;;4.81;-5.68
P/B;0.00;0.00;0.00;0.65;0.00;0.64;0.96;1.46;2.14;;1.02;1.28
