;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";09.07.2018;09.07.2018;09.07.2018;28.04.2018;28.04.2018;29.03.2019;20.03.2020;10.03.2022;11.03.2022;17.08.2023;14.03.2024;27.02.2025;22.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";112.5;142.9;162.8;140.8;87.7;69.0;93.7;107.5;125.9;81.6;83.7;95.2;98.2
"Чистая прибыль, млрд руб";3.56;3.97;-5.02;-29.2;-58.2;6.11;7.67;7.62;2.45;4.92;4.60;8.03;7.98
"Операционный денежный поток, млрд руб";;;;;;-13.0;10.1;20.6;29.5;0.545;16.9;9.44;7.04
"CAPEX, млрд руб";;;;;;0.516;0.456;1.86;0.572;1.10;2.57;4.68;4.55
"FCF, млрд руб";;;;;;;;18.1;26.9;-2.05;13.8;4.25;2.03
"Див.выплата, млрд руб";;;;;;;;;;2.01;;;
"Дивиденд, руб/акцию";;;;;;;;;;0,0041;;;
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;2.3%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;41%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;10.1;8.72;9.71;7.77;6.83;8.39;8.33
"Амортизация, млрд руб";;;;;;;;;1.2;1.2;1.3;1.5;1.5
"Расх на персонал, млрд руб";;;;3.99;1.46;2.32;2.82;;2.64;2.25;2.34;2.69;2.64
"Процентные расходы, млрд руб";;;;;;;0.065;0.193;0.177;0.178;0.146;0.170;
"Активы, млрд руб";;;;;;141.2;160.4;207.6;187.7;139.2;148.9;128.0;130.2
"Чистые активы, млрд руб";24.2;28.2;24.3;-8.02;38.7;44.9;52.8;48.0;50.3;53.9;57.3;65.7;71.1
"Наличность, млрд руб";8.95;9.59;9.85;3.95;3.65;0.778;1.06;1.29;2.03;0.370;0.560;0.390;0.434
"Чистый долг, млрд руб";-8.95;-9.59;-9.85;-3.95;-3.65;-0.78;-1.06;-1.29;-2.03;-0.37;-0.56;-0.39;-0.43
"Цена акции ао, руб";;;;0.407;0.426;0.167;0.140;0.307;0.182;0.181;0.270;0.214;0.219
"Число акций ао, млн";"488 272";"488 272";"488 272";"464 504";"488 272";"488 272";"489 504";"489 504";"489 504";"489 504";"489 504";"489 504";"489 504"
"Free Float, %";;;;;;;0.560%;;;;;;
"Капитализация, млрд руб";0.00;0.00;0.00;189.1;208.0;81.5;68.6;150.4;89.1;88.8;132.4;104.8;107.2
"EV, млрд руб";-8.95;-9.59;-9.85;185.1;204.4;80.8;67.6;149.1;87.1;88.4;131.8;104.4;106.8
"Баланс стоимость, млрд руб";24.2;28.2;24.3;-9.48;37.8;44.1;51.0;44.8;45.5;48.4;51.1;56.8;60.6
"EPS, руб";0.01;0.01;-0.01;-0.06;-0.12;0.01;0.02;0.02;0.01;0.01;0.01;0.02;0.02
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.06;0.00;0.03;0.01;0.00
"BV/акцию, руб";0.05;0.06;0.05;-0.02;0.08;0.09;0.10;0.09;0.09;0.10;0.10;0.12;0.12
"Рентаб EBITDA, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Чистая рентаб, %";3.2%;2.8%;-3.1%;-20.7%;-66.4%;8.8%;8.2%;7.1%;1.9%;6.0%;5.5%;8.4%;8.1%
"Доходность FCF, %";;;;0.0%;0.0%;0.0%;0.0%;12.0%;30.2%;-2.3%;10.4%;4.1%;1.9%
"ROE, %";14.7%;14.1%;-20.7%;363.5%;-150.2%;13.6%;14.5%;15.9%;4.9%;9.1%;8.0%;12.2%;11.2%
"ROA, %";;;;;;4.3%;4.8%;3.7%;1.3%;3.5%;3.1%;6.3%;6.1%
P/E;0.00;0.00;0.00;-6.48;-3.57;13.4;8.95;19.7;36.4;18.0;28.8;13.0;13.4
P/FCF;;;;;;;;8.33;3.31;-43.3;9.59;24.7;52.9
P/S;0.00;0.00;0.00;1.34;2.37;1.18;0.73;1.40;0.71;1.09;1.58;1.10;1.09
P/BV;0.00;0.00;0.00;-19.9;5.50;1.85;1.35;3.36;1.96;1.83;2.59;1.84;1.77
"Персонал, чел";;;;;;;"17 258";"17 853";;;"12 168";"12 082";
"Производительность труда, млн руб/чел/год";;;;;;;5.43;6.02;;;6.88;7.88;
"Расходы/чел/год, тыс.р";;;;;;;163.3;0.00;;;192.6;222.7;
"R&D/CAPEX, %";;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;0%;0%;1%;0%;2%;0%;1%;3%;5%;5%
