;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;01.07.2018;01.07.2018;10.07.2018;29.04.2019;06.05.2020;29.04.2021;;09.05.2024;24.04.2024;29.04.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";35.5;37.9;36.9;36.2;46.1;40.4;49.6;41.6;;46.8;50.2;50.2;49.8
"Операционная прибыль, млрд руб";;;;;;;;;;1.75;2.11;0.315;0.628
"EBITDA, млрд руб";1.55;-3.54;0.460;5.80;5.43;3.60;3.97;-1.46;;;2.23;1.39;1.75
"Чистая прибыль, млрд руб";-1.58;-5.96;-1.70;1.45;-1.34;0.797;0.330;-6.10;;1.74;0.342;0.467;0.784
"Чистая прибыль н/с, млрд руб";;;-9.53;4.02;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;3.99;-10.1;8.23;8.88
"CAPEX, млрд руб";;;1.26;1.27;0.599;0.868;1.75;1.08;;0.630;1.23;1.39;1.19
"FCF, млрд руб";;;;;;;;;;3.63;-11.3;7.02;7.92
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;3.10;3.27;5.14;4.42
"Себестоимость, млрд руб";28.3;32.7;27.9;29.2;36.3;31.2;38.5;31.6;;41.1;45.7;44.8;45.0
"Амортизация, млрд руб";;;;;;;;;;1.3;1.1;1.1;1.1
"Расх на персонал, млрд руб";;;11.2;11.7;11.9;11.3;12.7;12.7;;16.0;18.3;20.0;20.7
"Процентные расходы, млрд руб";;;0.869;1.67;1.53;1.79;1.65;1.77;;1.21;1.14;1.23;1.28
"Активы, млрд руб";;;;;;;;88.6;;104.4;99.2;112.2;126.9
"Чистые активы, млрд руб";8.08;3.81;-11.6;-6.36;-3.31;-1.70;-1.29;-5.20;;-3.47;-3.10;-1.56;-1.80
"Долг, млрд руб";9.86;10.9;9.50;11.0;15.9;18.7;21.4;19.8;;22.7;24.5;26.5;27.9
"Наличность, млрд руб";8.54;10.4;11.4;29.8;34.0;26.2;18.4;12.4;;18.7;9.81;17.8;17.5
"Чистый долг, млрд руб";1.33;0.56;-1.88;-18.8;-18.1;-7.57;2.95;7.37;0.00;4.00;14.7;8.77;10.4
"Цена акции ао, руб";;;"3 350";"6 050";"5 350";"6 800";"5 080";"7 360";"6 330";"5 920";"24 330";"15 420";"16 950"
"Число акций ао, млн";1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.84;1.84;1.84;1.81;1.84
"Капитализация, млрд руб";0.00;0.00;3.76;6.80;6.01;7.64;5.71;8.27;11.7;10.9;44.9;27.9;31.2
"EV, млрд руб";1.33;0.56;1.88;-12.0;-12.1;0.07;8.66;15.6;11.7;14.9;59.6;36.7;41.6
"Баланс стоимость, млрд руб";8.08;3.81;-13.4;-7.93;-4.50;-2.52;-1.79;-5.86;0.00;-4.07;-3.81;-2.34;-2.51
"EPS, руб";"-1 405";"-5 306";"-1 515";"1 290";"-1 193";709.2;293.7;"-5 428";0.00;943.7;185.5;257.9;425.6
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"1 969";"-6 109";"3 878";"4 300"
"BV/акцию, руб";"7 188";"3 386";"-11 946";"-7 055";"-4 001";"-2 238";"-1 593";"-5 215";0.00;"-2 207";"-2 066";"-1 292";"-1 364"
"Рентаб EBITDA, %";4.4%;-9.3%;1.2%;16.0%;11.8%;8.9%;8.0%;-3.5%;;0.0%;4.4%;2.8%;3.5%
"Чистая рентаб, %";-4.4%;-15.7%;-4.6%;4.0%;-2.9%;2.0%;0.7%;-14.7%;;3.7%;0.7%;0.9%;1.6%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;33.3%;-25.1%;25.2%;25.4%
"ROE, %";-19.5%;-156.7%;14.7%;-22.8%;40.6%;-46.8%;-25.6%;117.3%;;-50.1%;-11.0%;-29.9%;-43.7%
"ROA, %";;;;;;;;-6.9%;;1.7%;0.3%;0.4%;0.6%
P/E;0.00;0.00;-2.21;4.69;-4.48;9.59;17.3;-1.36;;6.27;131.2;59.8;39.8
P/FCF;;;;;;;;;;3.01;-3.98;3.98;3.94
P/S;0.00;0.00;0.10;0.19;0.13;0.19;0.12;0.20;;0.23;0.89;0.56;0.63
P/BV;0.00;0.00;-0.28;-0.86;-1.34;-3.04;-3.19;-1.41;;-2.68;-11.8;-11.9;-12.4
EV/EBITDA;0.86;-0.16;4.09;-2.07;-2.22;0.02;2.18;-10.7;;;26.7;26.4;23.8
Долг/EBITDA;0.86;-0.16;-4.09;-3.24;-3.33;-2.11;0.74;-5.05;;;6.60;6.32;5.96
"Персонал, чел";;;;;;;"7 423";"7 257";;"10 735";"10 691";"10 648";
"Производительность труда, млн руб/чел/год";;;;;;;6.68;5.73;;4.36;4.69;4.72;
"Расходы/чел/год, тыс.р";;;;;;;"1 711";"1 745";;"1 489";"1 713";"1 881";
"R&D/CAPEX, %";;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;3%;3%;1%;2%;4%;3%;;1%;2%;3%;2%
