;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";30.06.2018;09.07.2018;30.06.2018;30.06.2018;30.06.2018;27.03.2019;26.03.2020;26.03.2021;28.03.2022;02.04.2024;25.03.2024;26.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;7.50;7.52;7.61;6.55;5.87;6.68;6.91;;;
"Добыча газа, млрд м3";;;;;;2.60;2.13;1.85;2.17;;;;
"Выручка, млрд руб";135.3;113.6;104.8;105.0;129.2;177.8;187.1;133.2;269.4;290.9;238.7;300.1;272.5
"Операционная прибыль, млрд руб";;;;14.7;12.6;28.7;34.6;-19.9;58.0;34.0;24.4;69.3;51.3
"EBITDA, млрд руб";24.5;28.3;20.9;25.2;29.9;48.6;49.2;26.7;73.4;54.0;40.5;74.2;59.5
"Чистая прибыль, млрд руб";31.4;22.2;-26.0;2.60;11.1;16.8;24.4;-17.0;32.4;20.5;20.4;54.4;36.4
"Чистая прибыль н/с, млрд руб";;;;13.4;7.30;15.0;;;;;;;
"Операционный денежный поток, млрд руб";;;;27.3;32.7;38.8;59.9;32.0;40.1;42.1;60.6;57.6;53.1
"CAPEX, млрд руб";;;10.1;17.8;25.8;24.9;21.9;15.7;18.9;27.0;22.1;43.2;43.4
"FCF, млрд руб";;;;2.71;1.84;7.70;31.5;16.3;20.9;3.14;29.2;5.52;1.42
"Див.выплата, млрд руб";;;;2.30;;2.60;4.46;4.46;4.39;10.6;;8.73;0.000
"Дивиденд, руб/акцию";;;;0;;0;0;0;0;0;0;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденд ап, руб/акцию";;;;;;26,53;45,3;45,3;;;;87,29;0
"Дивиденды/прибыль, %";0%;0%;0%;88%;0%;15%;18%;0%;14%;52%;0%;16%;0
"Опер. расходы, млрд руб";;;;15.9;21.6;24.7;17.8;46.6;18.7;23.7;42.1;21.9;23.2
"Себестоимость, млрд руб";96.1;81.2;79.2;74.4;95.0;124.4;134.7;106.5;192.6;233.2;172.2;208.9;193.3
"Амортизация, млрд руб";;;;;;;;;;15.1;16.1;4.9;5.1
"Расх на персонал, млрд руб";;;8.91;9.21;9.01;9.86;10.6;10.2;10.3;2.80;11.0;12.8;13.8
"Процентные расходы, млрд руб";;;15.1;6.88;5.32;6.47;6.12;7.48;5.91;6.40;10.6;8.81;7.85
"Активы, млрд руб";;;;214.5;225.0;253.0;280.3;275.3;287.0;282.4;320.7;352.1;329.9
"Чистые активы, млрд руб";-66.8;-87.2;-21.0;45.1;51.7;59.4;62.1;36.4;64.2;81.4;91.8;141.0;131.4
"Долг, млрд руб";94.4;171.4;178.9;85.1;81.5;98.8;79.0;93.8;87.7;77.3;82.0;88.3;66.2
"Наличность, млрд руб";1.69;1.42;1.94;3.10;1.96;2.90;2.93;4.23;9.00;2.10;9.70;2.56;3.66
"Чистый долг, млрд руб";92.7;170.0;177.0;82.0;79.5;95.9;76.1;89.6;78.7;75.2;72.3;85.8;62.5
"Цена акции ао, руб";;;558.4;558.4;612.0;528.8;550.2;233.0;153.4;81.3;132.3;117.7;119.7
"Число акций ао, млн";294.0;294.1;294.1;294.1;294.1;294.1;294.1;294.1;294.1;294.1;294.1;294.1;294.1
"Число акций ап, млн";98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0
"Free Float, %";;;;15.0%;;32.2%;;;;;;26.0%;26.0%
"Капитализация, млрд руб";0.00;0.00;164.2;164.2;180.0;155.5;161.8;68.5;45.1;23.9;38.9;34.6;35.2
"EV, млрд руб";92.7;170.0;341.2;246.2;259.5;251.5;237.9;158.1;123.8;99.1;111.2;120.4;97.7
"Баланс стоимость, млрд руб";-66.8;-87.2;-34.7;31.5;38.2;45.9;48.7;24.6;52.4;81.4;81.9;131.8;122.2
"EPS, руб";106.8;75.5;-88.4;8.84;37.7;57.1;82.8;-57.8;110.1;69.5;69.5;184.8;123.9
"FCF/акцию, руб";0.00;0.00;0.00;9.22;6.26;26.2;107.0;55.4;71.1;10.7;99.1;18.8;4.83
"BV/акцию, руб";-227.3;-296.5;-117.9;107.1;129.9;156.0;165.4;83.6;178.2;276.8;278.3;448.2;415.6
"Рентаб EBITDA, %";18.1%;24.9%;19.9%;24.0%;23.1%;27.3%;26.3%;20.0%;27.2%;18.6%;17.0%;24.7%;21.8%
"Чистая рентаб, %";23.2%;19.5%;-24.8%;2.5%;8.6%;9.4%;13.0%;-12.8%;12.0%;7.0%;8.6%;18.1%;13.4%
"Доходность FCF, %";;;0.0%;1.7%;1.0%;5.0%;19.4%;23.8%;46.3%;13.1%;74.9%;15.9%;4.0%
"ROE, %";-47.0%;-25.5%;124.1%;5.8%;21.5%;28.3%;39.2%;-46.7%;50.4%;25.1%;22.3%;38.5%;27.7%
"ROA, %";;;;1.2%;4.9%;6.6%;8.7%;-6.2%;11.3%;7.2%;6.4%;15.4%;11.0%
P/E;0.00;0.00;-6.32;63.2;16.2;9.26;6.64;-4.03;1.39;1.17;1.90;0.64;0.97
P/FCF;;;;60.6;97.7;20.2;5.14;4.20;2.16;7.62;1.33;6.28;24.8
P/S;0.00;0.00;1.57;1.56;1.39;0.87;0.86;0.51;0.17;0.08;0.16;0.12;0.13
P/BV;0.00;0.00;-4.74;5.21;4.71;3.39;3.33;2.79;0.86;0.29;0.48;0.26;0.29
EV/EBITDA;3.78;6.01;16.3;9.77;8.68;5.17;4.84;5.92;1.69;1.84;2.75;1.62;1.64
Долг/EBITDA;3.78;6.01;8.47;3.25;2.66;1.97;1.55;3.35;1.07;1.39;1.78;1.16;1.05
"Персонал, чел";;;"10 555";"9 975";"9 818";"9 394";"9 148";"8 594";"7 978";"7 733";"7 118";"6 033";"6 076"
"Производительность труда, млн руб/чел/год";;;9.93;10.5;13.2;18.9;20.5;15.5;33.8;37.6;33.5;49.7;44.8
"Расходы/чел/год, тыс.р";;;844.1;923.3;917.6;"1 050";"1 164";"1 188";"1 294";362.1;"1 544";"2 120";"2 276"
