;2019;2020;2021;2022
"Дата отчета";26.04.2023;26.04.2023;26.04.2023;26.04.2023
"Валюта отчета";RUB;RUB;RUB;RUB
"Выручка, млрд руб";;7.62;8.72;9.96
"Операционная прибыль, млрд руб";;2.82;3.11;2.23
"Чистая прибыль, млрд руб";;0.770;0.730;1.06
"Операционный денежный поток, млрд руб";;1.53;2.23;4.22
"CAPEX, млрд руб";;1.84;2.16;4.26
"FCF, млрд руб";;-0.310;0.070;0.047
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;0%;0%
"Опер. расходы, млрд руб";;1.31;1.41;1.49
"Себестоимость, млрд руб";;4.80;5.62;6.24
"Активы, млрд руб";22.9;25.2;26.8;32.9
"Чистые активы, млрд руб";16.4;17.6;18.8;21.2
"Долг, млрд руб";1.28;1.92;1.85;3.20
"Чистый долг, млрд руб";1.28;1.92;1.85;3.20
"Цена акции ао, руб";"18 850";"43 450";"31 100";"23 600"
"Число акций ао, млн";0.120;0.120;0.120;0.120
"Капитализация, млрд руб";2.27;5.22;3.74;2.84
"EV, млрд руб";3.55;7.14;5.59;6.04
"Баланс стоимость, млрд руб";16.4;17.6;18.8;21.2
"EPS, руб";0.00;"6 404";"6 071";"8 815"
"FCF/акцию, руб";0.00;"-2 578";582.1;390.9
"BV/акцию, руб";"136 470";"146 616";"156 014";"176 139"
"Рентаб EBITDA, %";;0.0%;0.0%;0.0%
"Чистая рентаб, %";;10.1%;8.4%;10.6%
"Доходность FCF, %";0.0%;-5.9%;1.9%;1.7%
"ROE, %";0.0%;4.4%;3.9%;5.0%
"ROA, %";0.0%;3.1%;2.7%;3.2%
P/E;;6.79;5.12;2.68
P/FCF;;-16.9;53.4;60.4
P/S;;0.69;0.43;0.28
P/BV;0.14;0.30;0.20;0.13
"R&D/CAPEX, %";;0.00%;0.00%;0.00%
"CAPEX/Выручка, %";;24%;25%;43%
