;2018;2019;2020;2022;2023;2024
"Дата отчета";;;;26.03.2024;26.03.2024;31.03.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;21.9;23.7;24.9
"Операционная прибыль, млрд руб";;;;0.210;0.770;0.988
"EBITDA, млрд руб";;;;0.270;0.861;1.10
"Чистая прибыль, млрд руб";;;;0.120;0.640;0.948
"Операционный денежный поток, млрд руб";;;;1.000;0.790;1.15
"CAPEX, млрд руб";;;;0.138;0.196;0.205
"FCF, млрд руб";;;;0.862;0.594;0.871
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Див доход, ап, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;0%;0%;0%
"Опер. расходы, млрд руб";;;;21.3;23.1;24.2
"Амортизация, млрд руб";;;;0.1;0.1;0.1
"Расх на персонал, млрд руб";;;;0.740;0.830;0.888
"Процентные расходы, млрд руб";;;;0.034;0.000;0.000
"Активы, млрд руб";;;2.85;2.50;3.06;4.49
"Чистые активы, млрд руб";;;-0.346;-0.006;0.640;1.59
"Долг, млрд руб";;;0.687;0.000;0.000;0.000
"Наличность, млрд руб";;;0.001;0.430;1.000;1.86
"Чистый долг, млрд руб";0.00;0.00;0.69;-0.43;-1.00;-1.86
"Цена акции ао, руб";0.117;0.118;0.119;0.108;0.518;0.378
"Число акций ао, млн";"4 865";"4 865";"4 865";"4 865";"4 865";"4 865"
"Цена акции ап, руб";0.076;0.079;0.096;0.106;0.281;0.237
"Число акций ап, млн";"1 493";"1 493";"1 493";"1 493";"1 493";"1 493"
"Капитализация, млрд руб";0.68;0.69;0.72;0.68;2.94;2.19
"EV, млрд руб";0.68;0.69;1.41;0.25;1.94;0.33
"Баланс стоимость, млрд руб";0.00;0.00;-0.40;-0.08;0.50;1.42
"EPS, руб";0.00;0.00;0.00;0.02;0.13;0.19
"FCF/акцию, руб";0.00;0.00;0.00;0.18;0.12;0.18
"BV/акцию, руб";0.00;0.00;-0.08;-0.02;0.10;0.29
"Рентаб EBITDA, %";;;;1.2%;3.6%;4.4%
"Чистая рентаб, %";;;;0.5%;2.7%;3.8%
"Доходность FCF, %";0.0%;0.0%;0.0%;164.1%;23.6%;47.4%
"ROE, %";;;0.0%;"-2 000.0%";100.0%;59.7%
"ROA, %";;;0.0%;4.8%;20.9%;21.1%
P/E;;;;5.70;4.59;2.31
P/FCF;;;;0.79;4.95;2.52
P/S;;;;0.03;0.12;0.09
P/BV;;;-1.80;-8.66;5.88;1.54
EV/EBITDA;;;;0.94;2.25;0.30
Долг/EBITDA;;;;-1.59;-1.16;-1.69
"Персонал, чел";;;;728;705;699
"Производительность труда, млн руб/чел/год";;;;30.1;33.7;35.6
"Расходы/чел/год, тыс.р";;;;"1 016";"1 177";"1 270"
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%
"CAPEX/Выручка, %";;;;1%;1%;1%
