;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;01.07.2018;03.05.2018;03.05.2018;30.04.2019;03.07.2020;30.04.2021;29.04.2022;;02.05.2024;23.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";61.3;47.9;38.3;35.6;35.8;39.5;57.8;66.0;91.7;;82.3;91.8;73.1
"Операционная прибыль, млрд руб";;;;;;-1.02;2.34;-0.517;5.35;;6.89;2.85;0.086
"EBITDA, млрд руб";6.38;4.56;4.01;3.90;3.38;0.470;5.00;2.98;8.55;;9.76;5.71;2.93
"Чистая прибыль, млрд руб";3.63;-3.74;3.10;1.60;0.989;0.032;0.128;-2.13;2.43;;4.93;3.73;0.895
"Операционный денежный поток, млрд руб";;;;;;6.24;0.977;-2.00;11.4;;3.34;2.57;4.56
"CAPEX, млрд руб";;;1.31;1.57;1.26;2.25;1.97;3.42;2.59;;4.84;8.24;9.48
"FCF, млрд руб";;;;;;4.15;-0.650;-5.13;9.90;;-3.70;-3.27;-3.53
"Див.выплата, млрд руб";;;;;0.000;;;;;1.56;2.90;2.20;2.20
"Дивиденд, руб/акцию";;;;;0;;;;;45,39;89;70;70
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;21.4%;11.2%;10.1%;12.4%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;;59%;59%;246%
"Опер. расходы, млрд руб";;;;;;6.40;5.92;9.40;9.20;;10.6;13.8;13.1
"Себестоимость, млрд руб";49.9;39.7;30.4;28.4;28.6;34.1;49.6;57.1;77.2;;66.7;75.2;60.0
"Амортизация, млрд руб";;;;;;;;;;;2.9;2.9;2.8
"НИОКР, млрд руб";;;0.270;0.981;2.18;3.20;3.80;4.09;4.96;;1.38;2.24;2.74
"Расх на персонал, млрд руб";;;7.29;8.67;8.05;7.97;8.35;8.21;8.88;;;;
"Процентные расходы, млрд руб";;;;0.946;0.708;0.746;1.45;1.22;1.17;;0.100;;
"Активы, млрд руб";;;;;;50.6;65.0;67.6;72.2;;70.6;78.2;90.7
"Чистые активы, млрд руб";15.7;12.4;15.9;17.5;18.5;18.6;18.8;16.6;27.7;;15.1;16.0;12.6
"Долг, млрд руб";9.51;11.9;6.25;7.08;10.8;5.69;7.16;12.3;9.80;;12.3;14.2;8.54
"Наличность, млрд руб";6.02;6.48;0.711;2.34;2.31;0.226;6.69;9.83;15.3;;18.2;11.3;18.8
"Чистый долг, млрд руб";3.49;5.43;5.54;4.74;8.49;5.46;0.47;2.47;-5.54;0.00;-5.91;2.94;-10.3
"Цена акции ао, руб";;;402.0;535.0;622.0;408.0;277.5;265.5;216.5;212.0;793.5;695.0;563.0
"Число акций ао, млн";34.3;34.3;34.3;34.3;34.3;34.3;34.3;34.3;34.3;31.5;31.5;31.5;31.5
"Free Float, %";;;;;;;;;;;;;17.0%
"Капитализация, млрд руб";0.00;0.00;13.8;18.3;21.3;14.0;9.51;9.10;7.42;6.68;25.0;21.9;17.7
"EV, млрд руб";3.49;5.43;19.3;23.1;29.8;19.4;9.98;11.6;1.88;6.68;19.1;24.8;7.43
"Баланс стоимость, млрд руб";15.7;12.4;13.6;14.3;14.4;16.4;14.7;12.9;24.3;0.00;13.1;14.0;10.6
"EPS, руб";105.8;-109.1;90.5;46.7;28.9;0.93;3.74;-62.2;70.9;0.00;156.6;118.4;28.4
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;121.1;-19.0;-149.7;288.9;0.00;-117.6;-103.7;-112.0
"BV/акцию, руб";457.9;360.9;397.7;416.4;420.5;477.1;428.0;377.0;708.5;0.00;417.3;445.3;336.9
"Рентаб EBITDA, %";10.4%;9.5%;10.5%;11.0%;9.4%;1.2%;8.6%;4.5%;9.3%;;11.9%;6.2%;4.0%
"Чистая рентаб, %";5.9%;-7.8%;8.1%;4.5%;2.8%;0.1%;0.2%;-3.2%;2.6%;;6.0%;4.1%;1.2%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;29.7%;-6.8%;-56.4%;133.4%;0.0%;-14.8%;-14.9%;-19.9%
"ROE, %";23.1%;-30.2%;19.5%;9.1%;5.3%;0.2%;0.7%;-12.8%;8.8%;;32.7%;23.3%;7.1%
"ROA, %";;;;;;0.1%;0.2%;-3.2%;3.4%;;7.0%;4.8%;1.0%
P/E;0.00;0.00;4.44;11.5;21.6;436.9;74.3;-4.27;3.05;;5.07;5.87;19.8
P/FCF;;;;;;3.37;-14.6;-1.77;0.75;;-6.75;-6.70;-5.03
P/S;0.00;0.00;0.36;0.51;0.60;0.35;0.16;0.14;0.08;;0.30;0.24;0.24
P/BV;0.00;0.00;1.01;1.28;1.48;0.86;0.65;0.70;0.31;;1.90;1.56;1.67
EV/EBITDA;0.55;1.19;4.82;5.91;8.82;41.4;2.00;3.88;0.22;;1.95;4.34;2.54
Долг/EBITDA;0.55;1.19;1.38;1.21;2.51;11.6;0.09;0.83;-0.65;;-0.61;0.51;-3.52
"R&D/CAPEX, %";;;20.67%;62.48%;172.94%;142.40%;192.89%;119.56%;191.51%;;28.51%;27.15%;28.94%
"CAPEX/Выручка, %";0%;0%;3%;4%;4%;6%;3%;5%;3%;;6%;9%;13%
