;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";17.07.2020;17.07.2020;29.04.2021;08.04.2022;15.04.2024;15.04.2024;15.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";18.3;17.3;10.3;15.1;21.3;21.8;23.5;22.5
"Операционная прибыль, млрд руб";2.25;3.73;0.771;0.926;3.51;5.53;6.67;6.00
"EBITDA, млрд руб";2.64;4.12;1.13;1.27;;5.84;7.00;6.34
"Чистая прибыль, млрд руб";4.23;5.03;2.67;2.08;4.85;6.15;8.88;9.04
"Операционный денежный поток, млрд руб";3.51;0.020;3.52;2.02;1.81;3.10;4.95;6.07
"CAPEX, млрд руб";0.006;0.005;0.021;0.215;0.260;0.480;0.399;0.343
"FCF, млрд руб";3.85;0.128;3.50;1.66;1.23;2.50;-0.046;-0.207
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";1.13;1.19;1.26;1.39;7.64;1.77;1.85;2.05
"Себестоимость, млрд руб";14.9;12.4;8.28;12.8;15.8;14.5;15.0;14.5
"Амортизация, млрд руб";;;;;0.3;0.3;0.3;0.3
"Расх на персонал, млрд руб";0.260;0.240;0.270;0.241;;0.255;0.310;
"Процентные расходы, млрд руб";0.430;0.190;0.140;0.151;0.410;0.185;0.283;0.294
"Активы, млрд руб";29.1;34.7;35.9;39.9;45.7;52.7;62.6;65.5
"Чистые активы, млрд руб";24.0;29.1;31.7;33.8;38.7;44.8;53.7;58.0
"Долг, млрд руб";2.36;2.35;2.24;2.06;1.70;1.57;1.38;1.38
"Наличность, млрд руб";0.023;0.290;0.100;0.126;2.17;0.430;0.194;0.173
"Чистый долг, млрд руб";2.34;2.06;2.14;1.93;-0.47;1.14;1.18;1.20
"Цена акции ао, руб";"7 500";"9 800";"15 880";"16 260";"16 320";"27 300";"31 000";268.4
"Число акций ао, млн";0.548;0.548;0.548;0.548;0.548;0.548;0.548;54.8
"Капитализация, млрд руб";4.11;5.37;8.70;8.91;8.94;15.0;17.0;14.7
"EV, млрд руб";6.45;7.43;10.8;10.8;8.47;16.1;18.2;15.9
"Баланс стоимость, млрд руб";24.0;29.0;31.7;33.8;38.7;44.8;53.7;58.0
"EPS, руб";"7 722";"9 183";"4 874";"3 797";"8 854";"11 228";"16 215";165.0
"FCF/акцию, руб";"7 029";233.7;"6 390";"3 031";"2 246";"4 564";-84.0;-3.78
"BV/акцию, руб";"43 866";"53 018";"57 863";"61 704";"70 651";"81 806";"97 999";"1 059"
"Рентаб EBITDA, %";14.5%;23.8%;11.0%;8.4%;0.0%;26.8%;29.8%;28.2%
"Чистая рентаб, %";23.2%;29.0%;25.9%;13.7%;22.7%;28.2%;37.7%;40.1%
"Доходность FCF, %";93.7%;2.4%;40.2%;18.6%;13.8%;16.7%;-0.3%;-1.4%
"ROE, %";17.6%;17.3%;8.4%;6.2%;12.5%;13.7%;16.5%;15.6%
"ROA, %";14.5%;14.5%;7.4%;5.2%;10.6%;11.7%;14.2%;13.8%
P/E;0.97;1.07;3.26;4.28;1.84;2.43;1.91;1.63
P/FCF;1.07;41.9;2.49;5.37;7.27;5.98;-369.1;-71.0
P/S;0.22;0.31;0.84;0.59;0.42;0.69;0.72;0.65
P/BV;0.17;0.18;0.27;0.26;0.23;0.33;0.32;0.25
EV/EBITDA;2.44;1.80;9.59;8.57;;2.76;2.59;2.51
Долг/EBITDA;0.89;0.50;1.89;1.53;;0.20;0.17;0.19
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;1%;1%;2%;2%;2%
